Disease	MyCancerGenome Gene category	genes	Entrez gene name	Gene ID	Drug name	pubchem drug name	pubchem drug id	Other drug names	clinical trial ID	indication of drug-gene interaction	Interaction type
Chronic Myeloid Leukemia	BCR-ABL1	BCR-ABL	N/A	N/A	Homoharringtonine	homoharringtonine 	285033	N/A	NCT00375219	Official title: Homoharringtonine (Omacetaxine Mepesuccinate) in the Treatment of Patients With Chronic Myeloid Leukemia (CML) With the T315I BCR-ABL Gene Mutation. %Secondary outcome measures: Participants' Degree of Suppression of BCR-ABL transcript levels. %Inclusion criteria: The patient will have the T315I BCR-ABL gene mutation	inhibitor
Chronic Myeloid Leukemia	BCR-ABL1	BCR-ABL	N/A	N/A	Nilotinib	Nilotinib	644241	N/A	NCT01061177	Purpose: assess the efficacy and safety of nilotinib in adult patients with newly diagnosed Philadelphia chromosome positive/BCR-ABL positive chronic myeloid leukaemia in chronic phase. %Inclusion criteria: Ph negative cases or patients with variant translocations who are BCR-ABL positive. Male or female patients with diagnosis of CP-CML with cytogenetic confirmation of Philadelphia (Ph) chromosome	inhibitor
Chronic Myeloid Leukemia	BCR-ABL1	N/A	N/A	N/A	PM01183	N/A	N/A	N/A	NCT01314599	Inclusion criteria: Accelerated or blastic phase chronic myeloid leukemia (CML, with progressive disease despite treatment with BCR-ABL kinase inhibitors), or chronic myelomonocytic leukemia (CMML).	inhibitor
Chronic Myeloid Leukemia	BCR-ABL1	BCR-ABL	N/A	N/A	Nilotinib	Nilotinib	644241	N/A	NCT01316250	Purpose: nilotinib can overcome imatinib resistance because of greater potency to bind to BCR-ABL. %Detailed description: Imatinib mesylate selectively targets the causative BCR-ABL oncogene in CML. nilotinib can overcome imatinib resistance because of greater potency to bind to BCR-ABL. %Inclusion criteria: Newly diagnosed untreated Philadelphia chromosome-positive CML	inhibitor
Chronic Myeloid Leukemia	BCR-ABL1	BCR-ABL	N/A	N/A	Imatinib	Nilotinib	644241	N/A	NCT01400074	Official title: Efficacy of Nilotinib Versus Imatinib in Adult Patients With Ph+ CML. %Detailed description: Imatinib mesylate (imatinib) binds to the inactive conformation of Bcr-Abl tyrosine kinase suppressing the Ph+ clone in CML. Nilotinib is a novel, oral tyrosine kinase inhibitor with improved potency compared with imatinib	inhibitor
Chronic Myeloid Leukemia	BCR-ABL1	BCR-ABL	N/A	N/A	Nilotinib	Nilotinib	644241	N/A	NCT01400074	Official title: Efficacy of Nilotinib Versus Imatinib in Adult Patients With Ph+ CML. %Detailed description: Imatinib mesylate (imatinib) binds to the inactive conformation of Bcr-Abl tyrosine kinase suppressing the Ph+ clone in CML. Nilotinib is a novel, oral tyrosine kinase inhibitor with improved potency compared with imatinib	inhibitor
Chronic Myeloid Leukemia	BCR-ABL1	BCR-ABL	N/A	N/A	Ponatinib	Ponatinib	24826799	N/A	NCT01570868	Purpose: Ponatinib is designed to block the function of BCR-ABL. %Inclusion criteria: Diagnosis of Ph-positive (by cytogenetics or FISH) or Bcr-ABL-positive (by PCR) CML in early chronic phase CML	inhibitor
Chronic Myeloid Leukemia	BCR-ABL1	BCR-ABL	N/A	N/A	Dasatinib	Dasatinib	3062316	N/A	NCT01593254	Inclusion criteria: CP-CML Philadelphia chromosome positive (Ph+) patients with CHR but with BCR-ABL level >10%. %Seconday outcome measures: MR4 = 4- log reduction in BCR-ABL transcript from the standardized baseline	inhibitor
Chronic Myeloid Leukemia	BCR-ABL1	Akt1	Akt1	207	Mk2206	MK2206	46930998	N/A	NCT01604772	Purpose: Akt inhibitor MK2206	inhibitor
Chronic Myeloid Leukemia	BCR-ABL1	BCR-ABL	N/A	N/A	PRI-724	N/A	N/A	N/A	NCT01606579	Inclusion criteria: Patients 18 years or older with Philadelphia chromosome (Ph)-positive or break point cluster region BCR ABL1 positive CML 	inhibitor
Chronic Myeloid Leukemia	BCR-ABL1	BCR-ABL	N/A	N/A	Ponatinib	Ponatinib	24826799	N/A	NCT01650805	Inclusion criteria: Cytogenetic assessment must demonstrate the BCR-ABL fusion by presence of the t(9;22) Philadelphia chromosome. %Keywords: Leukemia, Myelogenous, Chronic, BCR-ABL Positive. %Secondary outcome measures: To compare the proportion of patients achieving a ratio of <10% BCR-ABL to ABL transcript 	inhibitor
Chronic Myeloid Leukemia	BCR-ABL1	BCR-ABL	N/A	N/A	Nilotinib	Nilotinib	644241	N/A	NCT01690065	Exclusion criteria: Patients without bcr-abl gene rearrangement. %Inclusion criteria: Patients with previously-untreated patients having bcr-abl gene rearrangement	inhibitor
Chronic Myeloid Leukemia	BCR-ABL1	Brd	Brd4	23476	OTX015	N/A	N/A	N/A	NCT01713582	Official title: Bromodomain (Brd) Inhibitor OTX015	inhibitor
Chronic Myeloid Leukemia	BCR-ABL1	BCR-ABL	N/A	N/A	Ponatinib	Ponatinib	24826799	N/A	NCT01746836	Purpose: Ponatinib is designed to block the function of BCR-ABL. %Inclusion criteria: Diagnosis of Ph-positive (by cytogenetics or FISH) or Bcr-ABL-positive (by PCR) CML in early chronic phase CML. %Inclusion criteria: Diagnosis of Ph-positive (by cytogenetics or FISH) or BCR-ABL-positive (by PCR) CML in chronic phase.	inhibitor
Chronic Myeloid Leukemia	BCR-ABL1	JAK2	JAK2	3717	Ruxolitinib	Ruxolitinib	25126798	N/A	NCT01751425	Purpose: Ruxolitinib is designed to block a protein called Jak2	inhibitor
Chronic Myeloid Leukemia	BCR-ABL1	mTOR	mTOR	2475	BEZ235	dactolisib	11977753	N/A	NCT01756118	Purpose: To assess pre-treatment phosphatidylinositol 3-kinase (PI3K) pathway-related genes. %Official title: Phosphatidylinositol 3(PI3)-Kinase / Mammilian Target of Rapamycin (mTOR) Inhibitor BEZ235	inhibitor
Chronic Myeloid Leukemia	BCR-ABL1	PI3K	PIK3CA	5290	BEZ235	dactolisib	11977753	N/A	NCT01756118	Purpose: To assess pre-treatment phosphatidylinositol 3-kinase (PI3K) pathway-related genes. %Official title: Phosphatidylinositol 3(PI3)-Kinase / Mammilian Target of Rapamycin (mTOR) Inhibitor BEZ235	inhibitor
Chronic Myeloid Leukemia	BCR-ABL1	PI3K	PIK3CB	5291	BEZ235	dactolisib	11977753	N/A	NCT01756118	Purpose: To assess pre-treatment phosphatidylinositol 3-kinase (PI3K) pathway-related genes. %Official title: Phosphatidylinositol 3(PI3)-Kinase / Mammilian Target of Rapamycin (mTOR) Inhibitor BEZ235	inhibitor
Chronic Myeloid Leukemia	BCR-ABL1	PI3K	PIK3CG	5294	BEZ235	dactolisib	11977753	N/A	NCT01756118	Purpose: To assess pre-treatment phosphatidylinositol 3-kinase (PI3K) pathway-related genes. %Official title: Phosphatidylinositol 3(PI3)-Kinase / Mammilian Target of Rapamycin (mTOR) Inhibitor BEZ235	inhibitor
Chronic Myeloid Leukemia	BCR-ABL1	PI3K	PIK3CD	5293	BEZ235	dactolisib	11977753	N/A	NCT01756118	Purpose: To assess pre-treatment phosphatidylinositol 3-kinase (PI3K) pathway-related genes. %Official title: Phosphatidylinositol 3(PI3)-Kinase / Mammilian Target of Rapamycin (mTOR) Inhibitor BEZ235	inhibitor
Chronic Myeloid Leukemia	BCR-ABL1	PI3K	PIK3R1	5295	BEZ235	dactolisib	11977753	N/A	NCT01756118	Purpose: To assess pre-treatment phosphatidylinositol 3-kinase (PI3K) pathway-related genes. %Official title: Phosphatidylinositol 3(PI3)-Kinase / Mammilian Target of Rapamycin (mTOR) Inhibitor BEZ235	inhibitor
Chronic Myeloid Leukemia	BCR-ABL1	PI3K	PIK3R2	5296	BEZ235	dactolisib	11977753	N/A	NCT01756118	Purpose: To assess pre-treatment phosphatidylinositol 3-kinase (PI3K) pathway-related genes. %Official title: Phosphatidylinositol 3(PI3)-Kinase / Mammilian Target of Rapamycin (mTOR) Inhibitor BEZ235	inhibitor
Chronic Myeloid Leukemia	BCR-ABL1	PI3K	PIK3R3	8503	BEZ235	dactolisib	11977753	N/A	NCT01756118	Purpose: To assess pre-treatment phosphatidylinositol 3-kinase (PI3K) pathway-related genes. %Official title: Phosphatidylinositol 3(PI3)-Kinase / Mammilian Target of Rapamycin (mTOR) Inhibitor BEZ235	inhibitor
Chronic Myeloid Leukemia	BCR-ABL1	PI3K	PIK3R4	30849	BEZ235	dactolisib	11977753	N/A	NCT01756118	Purpose: To assess pre-treatment phosphatidylinositol 3-kinase (PI3K) pathway-related genes. %Official title: Phosphatidylinositol 3(PI3)-Kinase / Mammilian Target of Rapamycin (mTOR) Inhibitor BEZ235	inhibitor
Chronic Myeloid Leukemia	BCR-ABL1	PI3K	PIK3R5	23533	BEZ235	dactolisib	11977753	N/A	NCT01756118	Purpose: To assess pre-treatment phosphatidylinositol 3-kinase (PI3K) pathway-related genes. %Official title: Phosphatidylinositol 3(PI3)-Kinase / Mammilian Target of Rapamycin (mTOR) Inhibitor BEZ235	inhibitor
Chronic Myeloid Leukemia	BCR-ABL1	PI3K	PIK3R6	146850	BEZ235	dactolisib	11977753	N/A	NCT01756118	Purpose: To assess pre-treatment phosphatidylinositol 3-kinase (PI3K) pathway-related genes. %Official title: Phosphatidylinositol 3(PI3)-Kinase / Mammilian Target of Rapamycin (mTOR) Inhibitor BEZ235	inhibitor
Chronic Myeloid Leukemia	BCR-ABL1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	NCT01787487	Inclusion criteria: BCR-ABL1 negative	inhibitor
Colorectal cancer	AKT1	Akt	Akt1	207	Perifosine	Perifosine	148177	N/A	NCT00776867	Purpose: perifosine- a drug that inhibits the protein AKT	inhibitor
Colorectal cancer	AKT1	Hsp90	HSP90AA1	3320	AUY922A	N/A	N/A	N/A	NCT01024283	Official title: Administration of the Heat Shock Protein 90 Inhibitor AUY922A	inhibitor
Colorectal cancer	AKT1	Hsp90	HSP90AB1	3326	AUY922A	N/A	N/A	N/A	NCT01024283	Official title: Administration of the Heat Shock Protein 90 Inhibitor AUY922A	inhibitor
Colorectal cancer	AKT1	Etar	EDNRA	1909	zibotentan	ZD4054	9910224	N/A	NCT01205711	Official title: Addition of an Endothelin Receptor Antagonist	inhibitor
Colorectal cancer	AKT1	PDGFR	PDGFRA	5156	Sorafenib	Sorafenib	406563	BAY 43-9006	NCT01303341	Purpose: Sorafenib tosylate may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.	inhibitor
Colorectal cancer	AKT1	PDGFR	PDGFRB	5159	Sorafenib	Sorafenib	406563	BAY 43-9006	NCT01303341	Purpose: Sorafenib tosylate may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.	inhibitor
Colorectal cancer	AKT1	RAF	BRAF	673	Sorafenib	Sorafenib	406563	BAY 43-9006	NCT01303341	Purpose: Sorafenib tosylate may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.	inhibitor
Colorectal cancer	AKT1	RAF	RAF1	5894	Sorafenib	Sorafenib	406563	BAY 43-9006	NCT01303341	Purpose: Sorafenib tosylate may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.	inhibitor
Colorectal cancer	AKT1	VEGFR	KDR	3791	Sorafenib	Sorafenib	406563	BAY 43-9006	NCT01303341	Purpose: Sorafenib tosylate may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.	inhibitor
Colorectal cancer	AKT1	VEGFR	KDR	3791	Sorafenib	Sorafenib	406563	BAY 43-9006	NCT01303341	Purpose: Sorafenib tosylate may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.	inhibitor
Colorectal cancer	AKT1	VEGFR	FLT4	2324	Sorafenib	Sorafenib	406563	BAY 43-9006	NCT01303341	Purpose: Sorafenib tosylate may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.	inhibitor
Colorectal cancer	AKT1	VEGFR-1	FLT1	2321	Sorafenib	Sorafenib	406563	BAY 43-9006	NCT01303341	Purpose: Sorafenib tosylate may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.	inhibitor
Colorectal cancer	AKT1	VEGFR-3	FLT4	2324	Sorafenib	Sorafenib	406563	BAY 43-9006	NCT01303341	Purpose: Sorafenib tosylate may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.	inhibitor
Colorectal cancer	AKT1	MEK	MAP2k1	5604	AZD6244	AZD6244	10127622	N/A	NCT01333475	Purpose: MK-2206 and AZD6244 are experimental cancer treatment drugs that block the effect of certain proteins that cancer cells need to grow and survive. %Official title:  MK-2206, an AKT Inhibitor, and AZD6244, a MEK Inhibitor	inhibitor
Colorectal cancer	AKT1	MEK	MAP2k2	5605	AZD6244	AZD6244	10127622	N/A	NCT01333475	Purpose: MK-2206 and AZD6244 are experimental cancer treatment drugs that block the effect of certain proteins that cancer cells need to grow and survive. %Official title:  MK-2206, an AKT Inhibitor, and AZD6244, a MEK Inhibitor	inhibitor
Colorectal cancer	AKT1	MEK	MAP2K3	5606	AZD6244	AZD6244	10127622	N/A	NCT01333475	Purpose: MK-2206 and AZD6244 are experimental cancer treatment drugs that block the effect of certain proteins that cancer cells need to grow and survive. %Official title:  MK-2206, an AKT Inhibitor, and AZD6244, a MEK Inhibitor	inhibitor
Colorectal cancer	AKT1	MEK	MAP2K4	6416	AZD6244	AZD6244	10127622	N/A	NCT01333475	Purpose: MK-2206 and AZD6244 are experimental cancer treatment drugs that block the effect of certain proteins that cancer cells need to grow and survive. %Official title:  MK-2206, an AKT Inhibitor, and AZD6244, a MEK Inhibitor	inhibitor
Colorectal cancer	AKT1	MEK	MAP2K5	5607	AZD6244	AZD6244	10127622	N/A	NCT01333475	Purpose: MK-2206 and AZD6244 are experimental cancer treatment drugs that block the effect of certain proteins that cancer cells need to grow and survive. %Official title:  MK-2206, an AKT Inhibitor, and AZD6244, a MEK Inhibitor	inhibitor
Colorectal cancer	AKT1	MEK	MAP2k6	5608	AZD6244	AZD6244	10127622	N/A	NCT01333475	Purpose: MK-2206 and AZD6244 are experimental cancer treatment drugs that block the effect of certain proteins that cancer cells need to grow and survive. %Official title:  MK-2206, an AKT Inhibitor, and AZD6244, a MEK Inhibitor	inhibitor
Colorectal cancer	AKT1	MEK	MAP2k7	5609	AZD6244	AZD6244	10127622	N/A	NCT01333475	Purpose: MK-2206 and AZD6244 are experimental cancer treatment drugs that block the effect of certain proteins that cancer cells need to grow and survive. %Official title:  MK-2206, an AKT Inhibitor, and AZD6244, a MEK Inhibitor	inhibitor
Colorectal cancer	AKT1	Akt	Akt1	207	MK-2206	MK2206	46930998	N/A	NCT01333475	Purpose: MK-2206 and AZD6244 are experimental cancer treatment drugs that block the effect of certain proteins that cancer cells need to grow and survive. %Official title:  MK-2206, an AKT Inhibitor, and AZD6244, a MEK Inhibitor	inhibitor
Colorectal cancer	AKT1	EGFR	EGFR	1956	Avastin	N/A	N/A	bevacizumab	NCT01383707	Inclusion criteria: No previous chemotherapy for metastatic disease or treatment with drugs targeting VEGF or EGFR	inhibitor
Colorectal cancer	AKT1	VEGF	VEGFA	7422	Avastin	N/A	N/A	bevacizumab	NCT01383707	Inclusion criteria: No previous chemotherapy for metastatic disease or treatment with drugs targeting VEGF or EGFR	inhibitor
Colorectal cancer	AKT1	VEGF	VEGFB	7423	Avastin	N/A	N/A	bevacizumab	NCT01383707	Inclusion criteria: No previous chemotherapy for metastatic disease or treatment with drugs targeting VEGF or EGFR	inhibitor
Colorectal cancer	AKT1	VEGF	VEGFC	7424	Avastin	N/A	N/A	bevacizumab	NCT01383707	Inclusion criteria: No previous chemotherapy for metastatic disease or treatment with drugs targeting VEGF or EGFR	inhibitor
Colorectal cancer	AKT1	CD137	TNFRSF9	3604	Urelumab	N/A	N/A	BMS-663513	NCT01471210	Exclusion criteria: Prior treatment with anti-programmed death 1 (anti-PD-1)/Programmed cell death 1 ligand 1 (PD-L1) or anti-CD137	inhibitor
Colorectal cancer	AKT1	Akt	Akt1	207	GSK2110183	N/A	N/A	N/A	NCT01531894	Purpose: GSK2110183 is an orally administered, pan-AKT kinase inhibitor. %Official title: Oral AKT Inhibitor GSK2110183	inhibitor
Colorectal cancer	AKT1	Ang1	ANGPT1	284	trebananib	N/A	N/A	AMG386	NCT01548482	Purpose: Temsirolimus may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.	inhibitor
Colorectal cancer	AKT1	Ang2	ANGPT2	285	trebananib	N/A	N/A	AMG386	NCT01548482	Purpose: Temsirolimus may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.	inhibitor
Colorectal cancer	AKT1	PADI1	PADI1	29943	ADI-PEG 20	N/A	N/A	N/A	NCT01665183	Purpose: Arginine deiminase (ADI) is an enzyme from microbes that degrades arginine. ADI has been formulated with polyethylene glycol, and has been used to treat patients that have cancers that require arginine.	inhibitor
Colorectal cancer	AKT1	PADI2	PADI2	11240	ADI-PEG 20	N/A	N/A	N/A	NCT01665183	Purpose: Arginine deiminase (ADI) is an enzyme from microbes that degrades arginine. ADI has been formulated with polyethylene glycol, and has been used to treat patients that have cancers that require arginine.	inhibitor
