Ensembl	Gene	"Gene synonym"	"Gene description"	Uniprot	"Protein class"
ENSG00000173175	ADCY5	AC5	"Adenylate cyclase 5"	O95622	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000174233	ADCY6	AC6	"Adenylate cyclase 6"	O43306	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000127507	ADGRE2	"CD312, EMR2"	"Adhesion G protein-coupled receptor E2"	Q9UHX3	"CD markers, Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins"
ENSG00000205336	ADGRG1	"GPR56, TM7LN4, TM7XN1"	"Adhesion G protein-coupled receptor G1"	Q9Y653	"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"
ENSG00000173698	ADGRG2	"EDDM6, GPR64, HE6, TM7LN2"	"Adhesion G protein-coupled receptor G2"	Q8IZP9	"Disease related genes, G-protein coupled receptors, Plasma proteins, Potential drug targets, Predicted membrane proteins"
ENSG00000112414	ADGRG6	"FLJ14937, GPR126"	"Adhesion G protein-coupled receptor G6"	Q86SQ4	"Disease related genes, G-protein coupled receptors, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000164199	ADGRV1	"DKFZp761P0710, FEB4, GPR98, KIAA0686, MASS1, USH2C, VLGR1"	"Adhesion G protein-coupled receptor V1"	Q8WXG9	"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000181092	ADIPOQ	"ACDC, ACRP30, adiponectin, AdipoQ, apM1, GBP28"	"Adiponectin, C1Q and collagen domain containing"	Q15848	"Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters"
ENSG00000239900	ADSL		"Adenylosuccinate lyase"	P30566	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000185100	ADSSL1	FLJ38602	"Adenylosuccinate synthase like 1"	Q8N142	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000141385	AFG3L2	"SCA28, SPAX5"	"AFG3 like matrix AAA peptidase subunit 2"	Q9Y4W6	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins"
ENSG00000038002	AGA	ASRG	Aspartylglucosaminidase	P20933	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000273540	AGBL1	"CCP4, FLJ32310"	"ATP/GTP binding protein like 1"	Q96MI9	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000084693	AGBL5	"CCP5, FLJ21839"	"ATP/GTP binding protein like 5"	Q8NDL9	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000006530	AGK	"FLJ10842, MULK"	"Acylglycerol kinase"	Q53H12	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000162688	AGL		"Amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase"	P35573	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins"
ENSG00000169692	AGPAT2	"BSCL, LPAAT-beta"	"1-acylglycerol-3-phosphate O-acyltransferase 2"	O15120	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000018510	AGPS	"ADAP-S, ADAS, ADHAPS, ADPS, ALDHPSY"	"Alkylglycerone phosphate synthase"	O00116	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000172482	AGXT	"AGT, AGT1, AGXT1, PH1, SPAT, SPT"	"Alanine-glyoxylate aminotransferase"	P21549	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000101444	AHCY	SAHH	Adenosylhomocysteinase	P23526	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000111732	AICDA	"AID, ARP2, CDA2, HIGM2"	"Activation induced cytidine deaminase"	Q9GZX7	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000106992	AK1		"Adenylate kinase 1"	P00568	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000004455	AK2		"Adenylate kinase 2"	P54819	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000198610	AKR1C4	"3-alpha-HSD, C11, CDR, CHDR, DD4, HAKRA, MGC22581"	"Aldo-keto reductase family 1 member C4"	P17516	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000142208	AKT1	"AKT, PKB, PRKBA, RAC"	"AKT serine/threonine kinase 1"	P31749	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"
ENSG00000105221	AKT2		"AKT serine/threonine kinase 2"	P31751	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"
ENSG00000117020	AKT3	"PKBG, PRKBG, RAC-gamma"	"AKT serine/threonine kinase 3"	Q9Y243	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"
ENSG00000158578	ALAS2	ASB	"5'-aminolevulinate synthase 2"	P22557	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000059573	ALDH18A1	"GSAS, P5CS, PYCS, SPG9"	"Aldehyde dehydrogenase 18 family member A1"	P54886	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000184254	ALDH1A3	"ALDH6, RALDH3"	"Aldehyde dehydrogenase 1 family member A3"	P47895	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000072210	ALDH3A2	"ALDH10, FALDH, SLS"	"Aldehyde dehydrogenase 3 family member A2"	P51648	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000159423	ALDH4A1	"ALDH4, P5CDh"	"Aldehyde dehydrogenase 4 family member A1"	P30038	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000112294	ALDH5A1	"SSADH, SSDH"	"Aldehyde dehydrogenase 5 family member A1"	P51649	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000119711	ALDH6A1	MMSDH	"Aldehyde dehydrogenase 6 family member A1"	Q02252	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000164904	ALDH7A1	"ATQ1, EPD, PDE"	"Aldehyde dehydrogenase 7 family member A1"	P49419	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000149925	ALDOA		"Aldolase, fructose-bisphosphate A"	P04075	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000285043	ALDOA		"Aldolase, fructose-bisphosphate A"	P04075	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000136872	ALDOB		"Aldolase, fructose-bisphosphate B"	P05062	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000033011	ALG1	"CDG1K, HMAT1, HMT-1, Mat-1"	"ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase"	Q9BT22	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000253710	ALG11	"CDG1P, KIAA0266"	"ALG11, alpha-1,2-mannosyltransferase"	Q2TAA5	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000182858	ALG12	"CDG1G, ECM39"	"ALG12, alpha-1,6-mannosyltransferase"	Q9BV10	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000101901	ALG13	"CDG1S, CXorf45, FLJ23018, GLT28D1, MDS031, TDRD13, YGL047W"	"ALG13, UDP-N-acetylglucosaminyltransferase subunit"	Q9NP73	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000119523	ALG2	"CDG1I, CDGIi, FLJ14511, hALPG2, NET38"	"ALG2, alpha-1,3/1,6-mannosyltransferase"	Q9H553	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000214160	ALG3	"CDGS4, D16Ertd36e, Not56, NOT56L"	"ALG3, alpha-1,3- mannosyltransferase"	Q92685	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000088035	ALG6		"ALG6, alpha-1,3-glucosyltransferase"	Q9Y672	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000159063	ALG8	MGC2840	"ALG8, alpha-1,3-glucosyltransferase"	Q9BVK2	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000086848	ALG9	DIBD1	"ALG9, alpha-1,2-mannosyltransferase"	Q9H6U8	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000108839	ALOX12	12S-LOX	"Arachidonate 12-lipoxygenase, 12S type"	P18054	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000161905	ALOX15	15-LOX-1	"Arachidonate 15-lipoxygenase"	P16050	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000179148	ALOXE3	"E-LOX, eLOX3"	"Arachidonate lipoxygenase 3"	Q9BYJ1	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000136383	ALPK3	"KIAA1330, MAK, Midori"	"Alpha kinase 3"	Q96L96	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000162551	ALPL	"HOPS, TNSALP"	"Alkaline phosphatase, liver/bone/kidney"	P05186	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000242110	AMACR	"P504S, RACE"	"Alpha-methylacyl-CoA racemase"	Q9UHK6	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000135409	AMHR2	"MISR2, MISRII"	"Anti-Mullerian hormone receptor type 2"	Q16671	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000116748	AMPD1	"MAD, MADA"	"Adenosine monophosphate deaminase 1"	P23109	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000116337	AMPD2	SPG63	"Adenosine monophosphate deaminase 2"	Q01433	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000133805	AMPD3		"Adenosine monophosphate deaminase 3"	Q01432	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000145020	AMT	"GCST, NKH"	Aminomethyltransferase	P48728	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000029534	ANK1	"ANK, SPH1"	"Ankyrin 1"	P16157	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000145362	ANK2	LQT4	"Ankyrin 2"	Q01484	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000154122	ANKH	"ANK, CCAL2, CMDJ, CPPDD, HANK, SLC62A1"	"ANKH inorganic pyrophosphate transport regulator"	Q9HCJ1	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000160746	ANO10	"FLJ10375, MGC47890, SCAR10, TMEM16K"	"Anoctamin 10"	Q9NW15	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000134343	ANO3	"C11orf25, DYT23, GENX-3947, TMEM16C"	"Anoctamin 3"	Q9BYT9	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000171714	ANO5	"GDD1, LGMD2L, TMEM16E"	"Anoctamin 5"	Q75V66	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000177119	ANO6	"DKFZp313M0720, TMEM16F"	"Anoctamin 6"	Q4KMQ2	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000164111	ANXA5	"ANX5, ENX2"	"Annexin A5"	P08758	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000106367	AP1S1	"AP19, CLAPS1, EKV3, SIGMA1A, WUGSC:H_DJ0747G18.2"	"Adaptor related protein complex 1 sigma 1 subunit"	P61966	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000132703	APCS	"MGC88159, PTX2, SAP"	"Amyloid P component, serum"	P02743	"Disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters"
ENSG00000198931	APRT		"Adenine phosphoribosyltransferase"	P07741	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000137074	APTX	"AOA, AOA1, AXA1, EAOH, EOAHA, FLJ20157"	Aprataxin	Q7Z2E3	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000167580	AQP2		"Aquaporin 2"	P41181	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000161798	AQP5		"Aquaporin 5"	P55064	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000118520	ARG1		"Arginase 1"	P05089	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000100299	ARSA		"Arylsulfatase A"	P15289	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000113273	ARSB		"Arylsulfatase B"	P15848	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000173409	ARV1		"ARV1 homolog, fatty acid homeostasis modulator"	Q9H2C2	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000104763	ASAH1	"AC, ACDase, ASAH, FLJ21558, PHP32"	"N-acylsphingosine amidohydrolase 1"	Q13510	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000126522	ASL		"Argininosuccinate lyase"	P04424	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000070669	ASNS		"Asparagine synthetase (glutamine-hydrolyzing)"	P08243	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000108381	ASPA	"ACY2, ASP"	Aspartoacylase	P45381	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000198363	ASPH	"BAH, CASQ2BP1, HAAH, JCTN"	"Aspartate beta-hydroxylase"	Q12797	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000130707	ASS1	"ASS, CTLN1"	"Argininosuccinate synthase 1"	P00966	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000085978	ATG16L1	"APG16L, ATG16A, ATG16L, FLJ10035, WDR30"	"Autophagy related 16 like 1"	Q676U5	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000057663	ATG5	"APG5, APG5L, ASP, hAPG5"	"Autophagy related 5"	Q9H1Y0	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000149311	ATM	"ATA, ATC, ATD, ATDC, TEL1, TELO1"	"ATM serine/threonine kinase"	Q13315	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000206190	ATP10A	"ATP10C, ATPVA, ATPVC, KIAA0566"	"ATPase phospholipid transporting 10A (putative)"	O60312	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000159363	ATP13A2	"CLN12, HSA9947, PARK9"	"ATPase 13A2"	Q9NQ11	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000127249	ATP13A4	"DKFZp761I1011, FLJ37958"	"ATPase 13A4"	Q4VNC1	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000018625	ATP1A2	"FHM2, MHP2"	"ATPase Na+/K+ transporting subunit alpha 2"	P50993	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000105409	ATP1A3	DYT12	"ATPase Na+/K+ transporting subunit alpha 3"	P13637	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000196296	ATP2A1	"ATP2A, SERCA1"	"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1"	O14983	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000174437	ATP2A2	"ATP2B, DAR, SERCA2"	"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2"	P16615	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
