tax_id	GeneID	Symbol	LocusTag	Synonyms	dbXrefs	chromosome	map_location	description	gene_type	symbol_from_authority	full_name	nomenclature_status	other_designations	modification_date	class
9606	624	BDKRB2	-	B2R|BK-2|BK2|BKR2|BRB2	HGNC:1030|MIM:113503|Ensembl:ENSG00000168398|HPRD:00213|Vega:OTTHUMG00000171408	14	14q32.1-q32.2	bradykinin receptor B2	protein-coding	BDKRB2	bradykinin receptor B2	O	B2 bradykinin receptor|BK-2 receptor	20120623	GPCR
9606	680	BRS3	RP1-196E23.3	-	HGNC:1113|MIM:300107|Ensembl:ENSG00000102239|HPRD:02116|Vega:OTTHUMG00000022726	X	Xq26.3	bombesin-like receptor 3	protein-coding	BRS3	bombesin-like receptor 3	O	BRS-3|G-protein coupled receptor|bombesin receptor subtype 3|bombesin receptor subtype-3	20120610	GPCR
9606	719	C3AR1	-	AZ3B|C3AR|HNFAG09	HGNC:1319|MIM:605246|Ensembl:ENSG00000171860|HPRD:05581|Vega:OTTHUMG00000168569	12	12p13.31	complement component 3a receptor 1	protein-coding	C3AR1	complement component 3a receptor 1	O	C3a anaphylatoxin chemotactic receptor|C3a-R|complement component 3 receptor 1	20120619	GPCR
9606	728	C5AR1	-	C5A|C5AR|C5R1|CD88	HGNC:1338|MIM:113995|Ensembl:ENSG00000197405|HPRD:00224	19	19q13.3-q13.4	complement component 5a receptor 1	protein-coding	C5AR1	complement component 5a receptor 1	O	C5a anaphylatoxin chemotactic receptor|C5a anaphylatoxin receptor|C5a ligand|C5a-R|complement component 5 receptor 1	20120623	GPCR
9606	799	CALCR	-	CRT|CT-R|CTR|CTR1	HGNC:1440|MIM:114131|Ensembl:ENSG00000004948|HPRD:00239|Vega:OTTHUMG00000023599	7	7q21.3	calcitonin receptor	protein-coding	CALCR	calcitonin receptor	O	-	20120622	GPCR
9606	10203	CALCRL	-	CGRPR|CRLR	HGNC:16709|MIM:114190|Ensembl:ENSG00000064989|HPRD:11809|Vega:OTTHUMG00000132636	2	2q32.1	calcitonin receptor-like	protein-coding	CALCRL	calcitonin receptor-like	O	CGRP type 1 receptor|calcitonin gene-related peptide type 1 receptor|calcitonin receptor-like receptor	20120623	GPCR
9606	846	CASR	-	CAR|EIG8|FHH|FIH|GPRC2A|HHC|HHC1|NSHPT|PCAR1	HGNC:1514|MIM:601199|Ensembl:ENSG00000036828|HPRD:03122|Vega:OTTHUMG00000159491	3	3q13	calcium-sensing receptor	protein-coding	CASR	calcium-sensing receptor	O	extracellular calcium-sensing receptor|parathyroid Ca(2+)-sensing receptor 1|parathyroid cell calcium-sensing receptor	20120622	GPCR
9606	1238	CCBP2	-	CCR10|CCR9|CMKBR9|D6|hD6	HGNC:1565|MIM:602648|Ensembl:ENSG00000144648|HPRD:09095|Vega:OTTHUMG00000133040	3	3p21.3	chemokine binding protein 2	protein-coding	CCBP2	chemokine binding protein 2	O	C-C chemokine receptor D6|CC-chemokine-binding receptor JAB61|chemokine (C-C motif) receptor 9|chemokine (C-C) receptor 9|chemokine receptor CCR-10|chemokine receptor CCR-9|chemokine receptor D6|chemokine-binding protein 2|chemokine-binding protein D6	20120622	GPCR
9606	886	CCKAR	-	CCK-A|CCK1-R|CCKRA	HGNC:1570|MIM:118444|Ensembl:ENSG00000163394|HPRD:00322|Vega:OTTHUMG00000128567	4	4p15.1-p15.2	cholecystokinin A receptor	protein-coding	CCKAR	cholecystokinin A receptor	O	CCK-A receptor|CCK-AR|cholecystokinin receptor type A|cholecystokinin type-A receptor|cholecystokinin-1 receptor	20120616	GPCR
9606	887	CCKBR	-	CCK-B|CCK2R|GASR	HGNC:1571|MIM:118445|Ensembl:ENSG00000110148|HPRD:00323|Vega:OTTHUMG00000133380	11	11p15.4	cholecystokinin B receptor	protein-coding	CCKBR	cholecystokinin B receptor	O	CCK-B receptor|CCK-BR|CCK2 receptor|CCK2-R|cholecystokinin-2 receptor|gastrin receptor|gastrin/cholecystokinin type B receptor	20120624	GPCR
9606	1230	CCR1	-	CD191|CKR-1|CKR1|CMKBR1|HM145|MIP1aR|SCYAR1	HGNC:1602|MIM:601159|Ensembl:ENSG00000163823|HPRD:03101|Vega:OTTHUMG00000133451	3	3p21	chemokine (C-C motif) receptor 1	protein-coding	CCR1	chemokine (C-C motif) receptor 1	O	C-C CKR-1|C-C chemokine receptor type 1|CC-CKR-1|CCR-1|LD78 receptor|MIP-1alpha-R|RANTES receptor|RANTES-R|macrophage inflammatory protein 1-alpha receptor	20120623	GPCR
9606	2826	CCR10	-	GPR2	HGNC:4474|MIM:600240|Ensembl:ENSG00000184451|HPRD:02586|Vega:OTTHUMG00000132301	17	17q21.1-q21.3	chemokine (C-C motif) receptor 10	protein-coding	CCR10	chemokine (C-C motif) receptor 10	O	C-C CKR-10|C-C chemokine receptor type 10|CC chemokine receptor 10|CC-CKR-10|CCR-10|G protein-coupled receptor 2|G-protein coupled receptor 2	20120623	GPCR
9606	729230	CCR2	hCG_14621	CC-CKR-2|CCR-2|CCR2A|CCR2B|CD192|CKR2|CKR2A|CKR2B|CMKBR2|MCP-1-R	HGNC:1603|MIM:601267|Ensembl:ENSG00000121807|Vega:OTTHUMG00000156466	3	3p21.31	chemokine (C-C motif) receptor 2	protein-coding	CCR2	chemokine (C-C motif) receptor 2	O	C-C chemokine receptor type 2|MCP-1 receptor|monocyte chemoattractant protein 1 receptor|monocyte chemotactic protein 1 receptor	20120623	GPCR
9606	1232	CCR3	-	CC-CKR-3|CD193|CKR3|CMKBR3	HGNC:1604|MIM:601268|Ensembl:ENSG00000183625|HPRD:03167|Vega:OTTHUMG00000133484	3	3p21.3	chemokine (C-C motif) receptor 3	protein-coding	CCR3	chemokine (C-C motif) receptor 3	O	C-C CKR-3|C-C chemokine receptor type 3|CC chemokine receptor 3|CCR-3|b-chemokine receptor|eosinophil CC chemokine receptor 3|eosinophil eotaxin receptor	20120622	GPCR
9606	1233	CCR4	-	CC-CKR-4|CD194|CKR4|CMKBR4|ChemR13|HGCN:14099|K5-5	HGNC:1605|MIM:604836|Ensembl:ENSG00000183813|HPRD:05324|Vega:OTTHUMG00000130752	3	3p24	chemokine (C-C motif) receptor 4	protein-coding	CCR4	chemokine (C-C motif) receptor 4	O	C-C CKR-4|C-C chemokine receptor type 4|CCR-4|chemokine (C-C) receptor 4	20120623	GPCR
9606	1234	CCR5	-	CC-CKR-5|CCCKR5|CCR-5|CD195|CKR-5|CKR5|CMKBR5|IDDM22	HGNC:1606|MIM:601373|Ensembl:ENSG00000160791|HPRD:03223	3	3p21.31	chemokine (C-C motif) receptor 5 (gene/pseudogene)	protein-coding	CCR5	chemokine (C-C motif) receptor 5 (gene/pseudogene)	O	C-C chemokine receptor type 5|C-C motif chemokine receptor 5 A159A|HIV-1 fusion coreceptor|chemokine receptor CCR5|chemr13	20120624	GPCR
9606	1235	CCR6	-	BN-1|C-C CKR-6|CC-CKR-6|CCR-6|CD196|CKR-L3|CKRL3|CMKBR6|DCR2|DRY6|GPR29|GPRCY4|STRL22	HGNC:1607|MIM:601835|Ensembl:ENSG00000112486|HPRD:03498|Vega:OTTHUMG00000016015	6	6q27	chemokine (C-C motif) receptor 6	protein-coding	CCR6	chemokine (C-C motif) receptor 6	O	"C-C chemokine receptor type 6|G protein-coupled receptor 29|G-protein coupled receptor 29|LARC receptor|chemokine (C-C) receptor 6|chemokine receptor-like 3|seven-transmembrane receptor, lymphocyte, 22"	20120624	GPCR
9606	1236	CCR7	-	BLR2|CD197|CDw197|CMKBR7|EBI1	HGNC:1608|MIM:600242|Ensembl:ENSG00000126353|HPRD:02588|Vega:OTTHUMG00000133375	17	17q12-q21.2	chemokine (C-C motif) receptor 7	protein-coding	CCR7	chemokine (C-C motif) receptor 7	O	C-C CKR-7|C-C chemokine receptor type 7|CC chemokine receptor 7|CC-CKR-7|CCR-7|EBV-induced G protein-coupled receptor 1|EBV-induced G-protein coupled receptor 1|Epstein-Barr virus induced G-protein coupled receptor|Epstein-Barr virus induced gene 1|MIP-3 beta receptor|chemokine (C-C) receptor 7|epstein-Barr virus-induced G-protein coupled receptor 1|lymphocyte-specific G protein-coupled peptide receptor	20120610	GPCR
9606	1237	CCR8	-	CC-CKR-8|CCR-8|CDw198|CKRL1|CMKBR8|CMKBRL2|CY6|GPRCY6|TER1	HGNC:1609|MIM:601834|Ensembl:ENSG00000179934|HPRD:03497|Vega:OTTHUMG00000131290	3	3p22	chemokine (C-C motif) receptor 8	protein-coding	CCR8	chemokine (C-C motif) receptor 8	O	C-C chemokine receptor type 8|CC chemokine receptor 8|CC chemokine receptor CHEMR1|CC-chemokine receptor chemr1|chemokine (C-C) receptor 8|chemokine (C-C) receptor-like 2|chemokine receptor-like 1	20120622	GPCR
9606	10803	CCR9	-	CC-CKR-9|CDw199|GPR-9-6|GPR28	HGNC:1610|MIM:604738|Ensembl:ENSG00000173585|HPRD:09200|Vega:OTTHUMG00000133450	3	3p21.3	chemokine (C-C motif) receptor 9	protein-coding	CCR9	chemokine (C-C motif) receptor 9	O	C-C chemokine receptor type 9|G protein-coupled receptor 28	20120616	GPCR
9606	51554	CCRL1	-	CC-CKR-11|CCBP2|CCR-11|CCR10|CCR11|CCX CKR|CCX-CKR|CKR-11|PPR1|VSHK1	HGNC:1611|MIM:606065|Ensembl:ENSG00000129048|HPRD:07298|Vega:OTTHUMG00000159768	3	3q22	chemokine (C-C motif) receptor-like 1	protein-coding	CCRL1	chemokine (C-C motif) receptor-like 1	O	"C-C CKR-11|C-C chemokine receptor type 11|CC chemokine receptor-like 1|chemocentryx chemokine receptor|chemokine, cc motif, receptor-like protein 1|orphan seven-transmembrane receptor, chemokine related"	20120619	GPCR
9606	9034	CCRL2	-	CKRX|CRAM|CRAM-A|CRAM-B|HCR	HGNC:1612|MIM:608379|Ensembl:ENSG00000121797|HPRD:16327|Vega:OTTHUMG00000156318	3	3p21	chemokine (C-C motif) receptor-like 2	protein-coding	CCRL2	chemokine (C-C motif) receptor-like 2	O	C-C chemokine receptor-like 2|chemokine receptor CCR11|chemokine receptor X|putative MCP-1 chemokine receptor	20120622	GPCR
9606	976	CD97	-	TM7LN1	HGNC:1711|MIM:601211|Ensembl:ENSG00000123146|HPRD:03130	19	19p13	CD97 molecule	protein-coding	CD97	CD97 molecule	O	"CD97 antigen|leukocyte antigen CD97|seven transmembrane helix receptor|seven-span transmembrane protein|seven-transmembrane, heterodimeric receptor associated with inflammation"	20120619	GPCR
9606	9620	CELSR1	-	CDHF9|FMI2|HFMI2|ME2	HGNC:1850|MIM:604523|Ensembl:ENSG00000075275|HPRD:05160|Vega:OTTHUMG00000150423	22	22q13.3	"cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)"	protein-coding	CELSR1	"cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)"	O	cadherin EGF LAG seven-pass G-type receptor 1|cadherin family member 9|flamingo homolog 2|protocadherin flamingo 2	20120622	GPCR
9606	1952	CELSR2	-	CDHF10|EGFL2|Flamingo1|MEGF3	HGNC:3231|MIM:604265|Ensembl:ENSG00000143126|HPRD:05040|Vega:OTTHUMG00000012003	1	1p21	"cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)"	protein-coding	CELSR2	"cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)"	O	"EGF-like protein 2|EGF-like-domain, multiple 2|cadherin EGF LAG seven-pass G-type receptor 2|cadherin family member 10|epidermal growth factor-like 2|epidermal growth factor-like protein 2|flamingo homolog 3|multiple EGF-like domains protein 3|multiple epidermal growth factor-like domains 3|multiple epidermal growth factor-like domains protein 3"	20120622	GPCR
9606	1951	CELSR3	-	CDHF11|EGFL1|FMI1|HFMI1|MEGF2|RESDA1	HGNC:3230|MIM:604264|Ensembl:ENSG00000008300|HPRD:09179|Vega:OTTHUMG00000133544	3	3p21.31	"cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila)"	protein-coding	CELSR3	"cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila)"	O	"EGF-like protein 1|EGF-like-domain, multiple 1|anchor protein|cadherin EGF LAG seven-pass G-type receptor 3|cadherin family member 11|epidermal growth factor-like 1|epidermal growth factor-like protein 1|flamingo homolog 1|multiple EGF-like domains 2|multiple EGF-like domains protein 2|multiple epidermal growth factor-like domains protein 2"	20120610	GPCR
9606	1128	CHRM1	-	HM1|M1|M1R	HGNC:1950|MIM:118510|Ensembl:ENSG00000168539|HPRD:00338|Vega:OTTHUMG00000167765	11	11q13	"cholinergic receptor, muscarinic 1"	protein-coding	CHRM1	"cholinergic receptor, muscarinic 1"	O	"acetylcholine receptor, muscarinic 1|muscarinic acetylcholine receptor M1"	20120623	GPCR
9606	1129	CHRM2	-	HM2	HGNC:1951|MIM:118493|Ensembl:ENSG00000181072|HPRD:00328|Vega:OTTHUMG00000155658	7	7q31-q35	"cholinergic receptor, muscarinic 2"	protein-coding	CHRM2	"cholinergic receptor, muscarinic 2"	O	"7TM receptor|acetylcholine receptor, muscarinic 2|muscarinic M2 receptor|muscarinic acetylcholine receptor M2"	20120623	GPCR
9606	1131	CHRM3	-	EGBRS|HM3	HGNC:1952|MIM:118494|Ensembl:ENSG00000133019|HPRD:00329|Vega:OTTHUMG00000039649	1	1q43	"cholinergic receptor, muscarinic 3"	protein-coding	CHRM3	"cholinergic receptor, muscarinic 3"	O	"acetylcholine receptor, muscarinic 3|m3 muscarinic receptor|muscarinic acetylcholine receptor M3"	20120622	GPCR
9606	1132	CHRM4	-	HM4|M4R	HGNC:1953|MIM:118495|Ensembl:ENSG00000180720|HPRD:00330|Vega:OTTHUMG00000154371	11	11p12-p11.2	"cholinergic receptor, muscarinic 4"	protein-coding	CHRM4	"cholinergic receptor, muscarinic 4"	O	"acetylcholine receptor, muscarinic 4|muscarinic acetylcholine receptor M4"	20120616	GPCR
9606	1133	CHRM5	-	HM5	HGNC:1954|MIM:118496|Ensembl:ENSG00000184984|HPRD:00331|Vega:OTTHUMG00000129369	15	15q26	"cholinergic receptor, muscarinic 5"	protein-coding	CHRM5	"cholinergic receptor, muscarinic 5"	O	"acetylcholine receptor, muscarinic 5|muscarinic acetylcholine receptor M5"	20120623	GPCR
9606	1240	CMKLR1	-	CHEMERINR|ChemR23|DEZ	HGNC:2121|MIM:602351|Ensembl:ENSG00000174600|HPRD:03829|Vega:OTTHUMG00000169576	12	12q24.1	chemokine-like receptor 1	protein-coding	CMKLR1	chemokine-like receptor 1	O	"G-protein coupled receptor ChemR23|G-protein coupled receptor DEZ|chemokine receptor-like 1|orphan G-protein coupled receptor, Dez"	20120622	GPCR
9606	1268	CNR1	RP1-23D17.1	CANN6|CB-R|CB1|CB1A|CB1K5|CB1R|CNR	HGNC:2159|MIM:114610|Ensembl:ENSG00000118432|HPRD:00259|Vega:OTTHUMG00000015184	6	6q14-q15	cannabinoid receptor 1 (brain)	protein-coding	CNR1	cannabinoid receptor 1 (brain)	O	cannabinoid receptor 1|central cannabinoid receptor	20120626	GPCR
9606	1269	CNR2	RP11-4M23.1	CB-2|CB2|CX5	HGNC:2160|MIM:605051|Ensembl:ENSG00000188822|HPRD:05444|Vega:OTTHUMG00000013892	1	1p36.11	cannabinoid receptor 2 (macrophage)	protein-coding	CNR2	cannabinoid receptor 2 (macrophage)	O	cannabinoid receptor 2|testis-dominant CNR2 isoform CB2	20120626	GPCR
9606	1394	CRHR1	-	CRF-R|CRF-R-1|CRF-R1|CRF1|CRFR-1|CRFR1|CRH-R-1|CRH-R1|CRH-R1h|CRHR|CRHR1L|CRHR1f	HGNC:2357|MIM:122561|Ensembl:ENSG00000120088|HPRD:08830	17	17q12-q22	corticotropin releasing hormone receptor 1	protein-coding	CRHR1	corticotropin releasing hormone receptor 1	O	corticotropin releasing hormone receptor variant 1e|corticotropin releasing hormone receptor variant 1g|corticotropin-releasing factor receptor 1|corticotropin-releasing factor type 1 receptor|corticotropin-releasing hormone receptor 1|seven transmembrane helix receptor	20120617	GPCR
9606	1395	CRHR2	-	CRF-RB|CRF2|CRFR2|HM-CRF	HGNC:2358|MIM:602034|Ensembl:ENSG00000106113|HPRD:03614|Vega:OTTHUMG00000023218	7	7p14.3	corticotropin releasing hormone receptor 2	protein-coding	CRHR2	corticotropin releasing hormone receptor 2	O	"CRF2 receptor, beta isoform|CRH-R2|corticotropin-releasing factor receptor 2"	20120610	GPCR
9606	1524	CX3CR1	-	CCRL1|CMKBRL1|CMKDR1|GPR13|GPRV28|V28	HGNC:2558|MIM:601470|Ensembl:ENSG00000168329|HPRD:03277|Vega:OTTHUMG00000156249	3	3p21.3	chemokine (C-X3-C motif) receptor 1	protein-coding	CX3CR1	chemokine (C-X3-C motif) receptor 1	O	C-X3-C CKR-1|CMK-BRL-1|CMK-BRL1|CX3C chemokine receptor 1|G protein-coupled receptor 13|G-protein coupled receptor 13|beta chemokine receptor-like 1|chemokine (C-C) receptor-like 1|chemokine (C-X3-C) receptor 1|fractalkine receptor	20120622	GPCR
