Molecular Target	Entrez Gene Name	Enterez Gene Id	Drug name	Other drug name	Pubchem name	CID	SID	Interaction type	Mode of action	Clinical Trial ID(s)	Detail	Phase	Include this entry?	Comments
AKT1-3	AKT2	208	GSK2141795	N/A	N/A	N/A	N/A	inhibitor	Akt inhibitor	NCT01138085	Advanced Solid Tumors A Phase I Dose Escalation Open-Label Safety and Pharmacokinetic Study to Determine the Recommended Phase II Dose of GSK1120212 Dosed in Combination With GSK2141795 in Subjects With Solid Tumors (Part 1) and in Subjects With Pancreatic Cancer, Endometrial Cancer or Colorectal Cancer (Part 2)	I	1	
AKT1-3	AKT2	208	AZD5363	Akt inhibitor AZD5363	AZD5363	25227436	N/A	inhibitor	Akt inhibitor	NCT01226316	Advanced Solid Tumors; Ovarian Cancer; AKT1 or PIK3CA mutant cancers A Phase I, Open-Label, Multicentre Study to Assess the Safety, Tolerability, Pharmacokinetics and Preliminary Anti-tumour Activity of Ascending Doses of AZD5363 Under Adaptable Dosing Schedules in Patients With Advanced Solid Malignancies.	I	1	
AKT1-3	AKT2	208	MK2206	Akt Inhibitor MK2206	MK2206	46930998	N/A	inhibitor	Akt inhibitor	NCT01245205	Advanced Solid Tumors A Phase I Study of MK-2206 in Combination With Lapatinib in Refractory Solid Tumors Followed by Dose-expansion in Advanced HER2+ Breast Cancer	I	1	Lapatinib is approved for breast cancer
AKT1-3	AKT2	208	MK2206	Akt Inhibitor MK2206	MK2206	46930998	N/A	inhibitor	Akt inhibitor	NCT01295632	Relapsed or refractory ovarian cancer Phase I Parallel Protocol of MK-8669 (Ridaforolimus) + MK-2206 and MK-8669 (Ridaforolimus) + MK-0752 Doublets (MK-MK) in Patients With Advanced Cancer	I	1	
AKT1-3	AKT2	208	ARQ092	N/A	N/A	N/A	N/A	inhibitor	pan-AKT inhibitor	NCT01473095	Advanced solid tumors Phase 1 Dose Escalation Study of ARQ 092 in Adult Subjects With Advanced Solid Tumors	I	1	
AKT1-3	AKT2	208	MK2206	Akt Inhibitor MK2206	MK2206	46930998	N/A	inhibitor	Akt inhibitor	NCT01480154	Advanced Solid Tumors A Phase I Trial of MK-2206 and Hydroxychloroquine in Solid Tumors, Melanoma, Renal and Prostate Cancer to Examine the Role of Autophagy in Tumorigenesis	I	1	
AKT1-3	AKT2	208	GSK2141795	N/A	N/A	N/A	N/A	inhibitor	Akt inhibitor	NCT01902173	BRAF V600 mutant metastatic cancer Phase I/II Study of the Safety and Efficacy of the AKT Inhibitor GSK2141795 in Combination With the BRAF Inhibitor Dabrafenib in Patients With BRAF Mutant Cancer	I	1	
AKT1-3	AKT2	208	SAR260301	N/A	N/A	N/A	N/A	inhibitor	Akt inhibitor	NCT01673737	Advanced Solid Tumors A Phase I/Ib Study for the Evaluation of SAR260301, Administered Orally in Monotherapy in Patients With Advanced Solid Tumors or Lymphomas, and in Combination With Vemurafenib in Patients With Unresectable / Metastatic BRAF-mutated Melanoma	I/Ib	1	
AKT1-3	AKT2	208	Afuresertib	GSK2110183	Afuresertib hydrochloride	46843056	N/A	inhibitor	Akt inhibitor	NCT01653912	Recurrent platinum-resistant ovarian cancer An Open-Label Phase I/II Study of GSK2110183 in Combination With Carboplatin and Paclitaxel in Subjects With Platinum-Resistant Ovarian Cancer	I/II	1	
AKT1-3	AKT2	208	Triciribine	API-2, triciribine phosphate, tricyclic nucleoside, tricycloside phosphate	Triciribine	65399	N/A	inhibitor	Akt inhibitor	NCT01690468	recurrent or persistent, platinum-resistant epithelial ovarian, fallopian tube or primary peritoneal carcinoma Leveraging a Clinico-Genomic Database to Match Patients to a Trial of Triciribine and Carboplatin: Changing Paradigms in Ovarian Cancer Clinical Research	I/II	1	
AKT1-3	AKT2	208	MK2206	Akt Inhibitor MK2206	MK2206	46930998	N/A	inhibitor	Akt inhibitor	NCT01235897	Advanced HER2-overexpressing solid tumors A Phase Ib Dose-escalation Trial of the AKT Inhibitor MK2206 in Combination With Weekly Paclitaxel With or Without Trastuzumab	Ib	1	
AKT1-3	AKT2	208	GDC-0068	Akt Inhibitor GDC-0068	GDC-0068	24788740	N/A	inhibitor	Akt inhibitor	NCT01562275	Locally advanced or metastatic solid tumors A Phase Ib, Open-Label, Dose-Escalation Study of the Safety, Tolerability and Pharmacokinetics of GDC-0973 and GDC-0068 in Patients With Locally Advanced or Metastatic Solid Tumors	Ib	1	
AKT1-3	AKT3	10000	GSK2141795	N/A	N/A	N/A	N/A	inhibitor	Akt inhibitor	NCT01138085	Advanced Solid Tumors A Phase I Dose Escalation Open-Label Safety and Pharmacokinetic Study to Determine the Recommended Phase II Dose of GSK1120212 Dosed in Combination With GSK2141795 in Subjects With Solid Tumors (Part 1) and in Subjects With Pancreatic Cancer, Endometrial Cancer or Colorectal Cancer (Part 2)	I	1	
AKT1-3	AKT3	10000	AZD5363	Akt inhibitor AZD5363	AZD5363	25227436	N/A	inhibitor	Akt inhibitor	NCT01226316	Advanced Solid Tumors; Ovarian Cancer; AKT1 or PIK3CA mutant cancers A Phase I, Open-Label, Multicentre Study to Assess the Safety, Tolerability, Pharmacokinetics and Preliminary Anti-tumour Activity of Ascending Doses of AZD5363 Under Adaptable Dosing Schedules in Patients With Advanced Solid Malignancies.	I	1	
AKT1-3	AKT3	10000	MK2206	Akt Inhibitor MK2206	MK2206	46930998	N/A	inhibitor	Akt inhibitor	NCT01245205	Advanced Solid Tumors A Phase I Study of MK-2206 in Combination With Lapatinib in Refractory Solid Tumors Followed by Dose-expansion in Advanced HER2+ Breast Cancer	I	1	
AKT1-3	AKT3	10000	MK2206	Akt Inhibitor MK2206	MK2206	46930998	N/A	inhibitor	Akt inhibitor	NCT01295632	Relapsed or refractory ovarian cancer Phase I Parallel Protocol of MK-8669 (Ridaforolimus) + MK-2206 and MK-8669 (Ridaforolimus) + MK-0752 Doublets (MK-MK) in Patients With Advanced Cancer	I	1	
AKT1-3	AKT3	10000	ARQ092	N/A	N/A	N/A	N/A	inhibitor	pan-AKT inhibitor	NCT01473095	Advanced solid tumors Phase 1 Dose Escalation Study of ARQ 092 in Adult Subjects With Advanced Solid Tumors	I	1	
AKT1-3	AKT3	10000	MK2206	Akt Inhibitor MK2206	MK2206	46930998	N/A	inhibitor	Akt inhibitor	NCT01480154	Advanced Solid Tumors A Phase I Trial of MK-2206 and Hydroxychloroquine in Solid Tumors, Melanoma, Renal and Prostate Cancer to Examine the Role of Autophagy in Tumorigenesis	I	1	
AKT1-3	AKT3	10000	GSK2141795	N/A	N/A	N/A	N/A	inhibitor	Akt inhibitor	NCT01902173	BRAF V600 mutant metastatic cancer Phase I/II Study of the Safety and Efficacy of the AKT Inhibitor GSK2141795 in Combination With the BRAF Inhibitor Dabrafenib in Patients With BRAF Mutant Cancer	I	1	
AKT1-3	AKT3	10000	SAR260301	N/A	N/A	N/A	N/A	inhibitor	Akt inhibitor	NCT01673737	Advanced Solid Tumors A Phase I/Ib Study for the Evaluation of SAR260301, Administered Orally in Monotherapy in Patients With Advanced Solid Tumors or Lymphomas, and in Combination With Vemurafenib in Patients With Unresectable / Metastatic BRAF-mutated Melanoma	I/Ib	1	
AKT1-3	AKT3	10000	Afuresertib	GSK2110183	Afuresertib hydrochloride	46843056	N/A	inhibitor	Akt inhibitor	NCT01653912	Recurrent platinum-resistant ovarian cancer An Open-Label Phase I/II Study of GSK2110183 in Combination With Carboplatin and Paclitaxel in Subjects With Platinum-Resistant Ovarian Cancer	I/II	1	
AKT1-3	AKT3	10000	Triciribine	API-2, triciribine phosphate, tricyclic nucleoside, tricycloside phosphate	Triciribine	65399	N/A	inhibitor	Akt inhibitor	NCT01690468	recurrent or persistent, platinum-resistant epithelial ovarian, fallopian tube or primary peritoneal carcinoma Leveraging a Clinico-Genomic Database to Match Patients to a Trial of Triciribine and Carboplatin: Changing Paradigms in Ovarian Cancer Clinical Research	I/II	1	
AKT1-3	AKT3	10000	MK2206	Akt Inhibitor MK2206	MK2206	46930998	N/A	inhibitor	Akt inhibitor	NCT01235897	Advanced HER2-overexpressing solid tumors A Phase Ib Dose-escalation Trial of the AKT Inhibitor MK2206 in Combination With Weekly Paclitaxel With or Without Trastuzumab	Ib	1	
AKT1-3	AKT3	10000	GDC-0068	Akt Inhibitor GDC-0068	GDC-0068	24788740	N/A	inhibitor	Akt inhibitor	NCT01562275	Locally advanced or metastatic solid tumors A Phase Ib, Open-Label, Dose-Escalation Study of the Safety, Tolerability and Pharmacokinetics of GDC-0973 and GDC-0068 in Patients With Locally Advanced or Metastatic Solid Tumors	Ib	1	
Ang1	ANGPT1	284	Trebaninib	AMG 386	Trebaninib	N/A	160671634	inhibitor	Tie2R inhibitor	NCT01281254	Recurrent ovarian cancer A Phase 3, Randomized, Double-Blind Trial of Pegylated Liposomal Doxorubicin (PLD) Plus AMG 386 or Placebo in Women With Recurrent Partially Platinum Sensitive or Resistant Epithelial Ovarian, Primary Peritoneal, or Fallopian Tube Cancer	III	1	
Ang1	ANGPT1	284	Trebaninib	AMG 386	Trebaninib	N/A	160671634	inhibitor	Tie2R inhibitor	NCT01493505	Newly diagnosed stage III-IV ovarian epithelial cancer A Phase 3 Randomized, Double-blind, Placebo-controlled, Multicenter Study of AMG 386 With Paclitaxel and Carboplatin as First-line Treatment of Subjects With FIGO Stage III-IV Epithelial Ovarian, Primary Peritoneal or Fallopian Tube Cancers	III	1	Carboplatin is approved for ovarian cancer
Ang2	ANGPT2	285	MED13617	anti-Angiopoietin 2 mab	N/A	N/A	N/A	antagonist	Angiopoietin 2 antagonist	NCT01248949	Advanced Recurrent Ovarian Tumors Phase 1/1b, Open-Label, Dose-Escalation and Expansion Study to Evaluate the Safety and Antitumor Activity of MEDI3617 as a Single-Agent or in Combination Therapy in Adult Subjects With Advanced Solid Tumors	I	1	
Gamma-secretase	APH1A	51107	BMS-906024	N/A	UNII-DRL23N424R	66550890	N/A	inhibitor	Gamma-secretase inhibitor	NCT01292655	Advanced cancer Study to Evaluate the Safety and Tolerability of Weekly IV Doses of BMS-906024 in Subjects With Advanced or Metastatic Solid Tumors	I	1	
Gamma-secretase	APH1A	51107	MK0752	N/A	MK-0752	9803433	N/A	inhibitor	Notch signaling pathway inhibitor	NCT01295632	Relapsed or refractory ovarian cancer Phase I Parallel Protocol of MK-8669 (Ridaforolimus) + MK-2206 and MK-8669 (Ridaforolimus) + MK-0752 Doublets (MK-MK) in Patients With Advanced Cancer	I	1	
Gamma-secretase	APH1B	83464	BMS-906024	N/A	UNII-DRL23N424R	66550890	N/A	inhibitor	Gamma-secretase inhibitor	NCT01292655	Advanced cancer Study to Evaluate the Safety and Tolerability of Weekly IV Doses of BMS-906024 in Subjects With Advanced or Metastatic Solid Tumors	I	1	
Gamma-secretase	APH1B	83464	MK0752	N/A	MK-0752	9803433	N/A	inhibitor	Notch signaling pathway inhibitor	NCT01295632	Relapsed or refractory ovarian cancer Phase I Parallel Protocol of MK-8669 (Ridaforolimus) + MK-2206 and MK-8669 (Ridaforolimus) + MK-0752 Doublets (MK-MK) in Patients With Advanced Cancer	I	1	
Aurora A Kinase	AURKA	6790	AMG 900	Aurora Kinase Inhibitor AMG 900	AMG900	24856041	N/A	inhibitor	pan-Aurora kinase inhibitor	NCT00858377	Advanced solid tumors A Phase 1, First-in-Human Study Evaluating the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Orally Administered AMG 900 in Adult Subjects With Advanced Solid Tumors	I	1	
Aurora A kinase	AURKA	6790	Alisertib	MLN8237	ALISERTIB SODIUM	56843791	N/A	inhibitor	Aurora A kinase inhibitor	NCT01094288	Advanced Solid Tumors A Phase 1 Study of MLN8237, an Aurora A Kinase Inhibitor, in Patients With Advanced Solid Tumors Including Castration-Resistant Prostate Cancer Receiving a Standard Docetaxel Regimen	I	1	
Aurora A Kinase	AURKA	6790	ABT-384	N/A	N/A	N/A	N/A	inhibitor	pan-Aurora Kinase inhibitor (B/C >A)	NCT01110486	Advanced solid tumors A Phase 1 Study Evaluating the Safety and Pharmacokinetics of ABT-348 as Monotherapy, in Combination With Carboplatin or in Combination With Docetaxel in Subjects With Advanced Solid Tumors	I	1	
Aurora A kinase	AURKA	6790	Alisertib	MLN8237	ALISERTIB SODIUM	56843791	N/A	inhibitor	Aurora A kinase inhibitor	NCT01639911	Advanced Solid Tumors Phase I Study of Aurora A Kinase Inhibitor (MLN8237) Given in Combination With Selective VEGFR Inhibitor Pazopanib (Votrient) for Therapy in Solid Tumors	I	1	
Aurora A kinase	AURKA	6790	Alisertib	MLN8237	ALISERTIB SODIUM	56843791	N/A	inhibitor	Aurora A kinase inhibitor	NCT01639911	Advanced solid tumors Phase I Study of Aurora A Kinase Inhibitor (MLN8237) Given in Combination With Selective VEGFR Inhibitor Pazopanib (Votrient) for Therapy in Solid Tumors	I	1	
Aurora A kinase	AURKA	6790	Alisertib	MLN8237	ALISERTIB SODIUM	56843791	N/A	inhibitor	Aurora A kinase inhibitor	NCT01091428	Recurrent epithelial ovarian carcinoma MLN8237 in Patients With Ovarian, Fallopian Tube or Peritoneal Cancer Preceded by Phase 1 Study of MLN8237 Plus Paclitaxel Treatment of Ovary or Breast Cancer	I/II	1	
Aurora A kinase	AURKA	6790	Alisertib	MLN8237	ALISERTIB SODIUM	56843791	N/A	inhibitor	Aurora A kinase inhibitor	NCT01613261	Advanced Solid Tumors A Multicenter, Open-label, Phase 1b Study of TAK-733 (an Oral MEK Inhibitor) in Combination With Alisertib (an Oral Aurora A Kinase Inhibitor) in Adult Patients With Advanced Nonhematologic Malignancies	Ib	1	
Aurora A kinase	AURKA	6790	Alisertib	MLN8237	ALISERTIB SODIUM	56843791	N/A	inhibitor	Aurora A kinase inhibitor	NCT01653028	Advanced ovarian carcinosarcoma Phase II Study of MLN8237 in Advanced / Metastatic Sarcoma	II	1	'Aurora A kinase' is not found in Entrez by this name but it is there -> AURKA
Aurora A kinase	AURKA	6790	ENMD-2076	N/A	ENMD-2076	16041424	N/A	inhibitor	Aurora A and VEGFR/FGFR kinase inhibitor	NCT01914510	Ovarian Clear Cell Carcinoma Phase II Study of Oral ENMD-2076 Administered to Patients With Ovarian Clear Cell Carcinomas	II	1	
Aurora B Kinase	AURKB	9212	AMG 900	Aurora Kinase Inhibitor AMG 900	AMG900	24856041	N/A	inhibitor	pan-Aurora kinase inhibitor	NCT00858377	Advanced solid tumors A Phase 1, First-in-Human Study Evaluating the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Orally Administered AMG 900 in Adult Subjects With Advanced Solid Tumors	I	1	
Aurora B Kinase	AURKB	9212	ABT-384	N/A	N/A	N/A	N/A	inhibitor	pan-Aurora Kinase inhibitor (B/C >A)	NCT01110486	Advanced solid tumors A Phase 1 Study Evaluating the Safety and Pharmacokinetics of ABT-348 as Monotherapy, in Combination With Carboplatin or in Combination With Docetaxel in Subjects With Advanced Solid Tumors	I	1	
Aurora C Kinase	AURKC	6795	AMG 900	Aurora Kinase Inhibitor AMG 900	AMG900	24856041	N/A	inhibitor	pan-Aurora kinase inhibitor	NCT00858377	Advanced solid tumors A Phase 1, First-in-Human Study Evaluating the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Orally Administered AMG 900 in Adult Subjects With Advanced Solid Tumors	I	1	
Aurora C Kinase	AURKC	6795	ABT-384	N/A	N/A	N/A	N/A	inhibitor	pan-Aurora Kinase inhibitor (B/C >A)	NCT01110486	Advanced solid tumors A Phase 1 Study Evaluating the Safety and Pharmacokinetics of ABT-348 as Monotherapy, in Combination With Carboplatin or in Combination With Docetaxel in Subjects With Advanced Solid Tumors	I	1	
Bcl2	BCL2	596	Paclitaxel Albumin-Stabilized Nanoparticle Formulation	ABI-007, Abraxane, nab-paclitaxel	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT00313599	Advanced solid cancers A Phase I Dose Escalation Study of a 2 Day Oral Lapatinib Chemosensitization Pulse Given Prior To Weekly Intravenous Abraxane in Patients With Advanced Solid Tumors	I	1	Paclitaxel nanoparticle
Bcl2	BCL2	596	Paclitaxel, Paclitaxel Albumin-Stabilized Nanoparticle Formulation	ABI-007, Abraxane, Anzatax, Asotax, Bristaxol, nab-paclitaxel, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT00825201	Advanced cancer of the peritoneal cavity. Intraperitoneal Paclitaxel Albumin-Stabilized Nanoparticle Formulation in Treating Patients With Advanced Cancer of the Peritoneal Cavity	I	1	Albumin nanoparticle
Bcl2	BCL2	596	Paclitaxel, Paclitaxel Albumin-Stabilized Nanoparticle Formulation	ABI-007, Abraxane, Anzatax, Asotax, Bristaxol, nab-paclitaxel, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT00825201	Advanced cancer of the peritoneal cavity. Intraperitoneal Paclitaxel Albumin-Stabilized Nanoparticle Formulation in Treating Patients With Advanced Cancer of the Peritoneal Cavity	I	1	Albumin-paclitaxel nanoparticle
Bcl2	BCL2	596	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT00989651	Newly diagnosed ovarian cancer (before chemotherapy), diagnosed stage II, stage III, or stage IV Carboplatin, Paclitaxel, Bevacizumab, and ABT-888 in Treating Patients With Newly Diagnosed Stage II, Stage III, or Stage IV Ovarian Epithelial Cancer, Fallopian Tube Cancer, or Primary Peritoneal Cancer	I	1	quadraple therapy
Bcl2	BCL2	596	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01209195	Locally advanced/metastatic or recurrent epithelial ovarian cancer A Study of MM-121 in Combination With Paclitaxel in Patients With Advanced Gynecologic and Breast Cancers	I	1	
Bcl2	BCL2	596	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01248949	Advanced Recurrent Ovarian Tumors Phase 1/1b, Open-Label, Dose-Escalation and Expansion Study to Evaluate the Safety and Antitumor Activity of MEDI3617 as a Single-Agent or in Combination Therapy in Adult Subjects With Advanced Solid Tumors	I	1	
Bcl2	BCL2	596	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01256268	Metastatic or Recurrent Ovarian Cancer elegible for carbo-taxol treatment Carboplatin/Taxol/Ridaforolimus in Endometrial, Ovarian and Solids	I	1	
Bcl2	BCL2	596	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01366144	Recurrent or stage IV ovarian cancer An Early Phase 1 Study of ABT-888 in Combination With Carboplatin and Paclitaxel in Patients With Hepatic or Renal Dysfunction and Solid Tumors	I	1	
Bcl2	BCL2	596	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01411410	Advanced solid tumors A Phase 1 Study of BAY80-6946 (Phosphatidylinositol 3?-Kinase Inhibitor) in Combination With Paclitaxel in Subjects With Advanced Solid Malignancy	I	1	
Bcl2	BCL2	596	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01649336	Platinum resistant epithelial ovarian cancer A Study of MEK162 and Paclitaxel in Patients With Epithelial Ovarian, Fallopian Tube or Peritoneal Cancer	I	1	
Bcl2	BCL2	596	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01676753	Advanced solid tumors Phase I/Ib Dose-escalation of Dinaciclib With Weekly Paclitaxel for Advanced Solid Tumor Malignancies & Assessment of MYC Oncogene Overexpression	I	1	
Bcl2	BCL2	596	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01688791	Advanced Cancer A Phase I Dose Escalation Study Evaluating Vintafolide (MK-8109) Chemotherapy Combinations in Adult Subjects With Advanced Cancers	I	1	
Bcl2	BCL2	596	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01778803	Adv or refractory ovarian cancer A Phase I/Ib Study of Paclitaxel in Combination With VS-6063, a Focal Adhesion Kinase Inhibitor, in Subjects With Advanced Ovarian Cancer	I	1	
Bcl2	BCL2	596	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01831089	Advanced solid tumors Phase I Multicenter, Open-label, Clinical and Pharmacokinetic Study of Lurbinectedin (PM01183) in Combination With Weekly Paclitaxel, With or Without Bevacizumab, in Patients With Selected Advanced Solid Tumors	I	1	
Bcl2	BCL2	596	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT00976183	Stage III/IV ovarian cancer cancer, not have received chemotherapy yet Paclitaxel, Carboplatin and Vorinostat for the Treatment of Advanced Stage Ovarian Carcinoma	I/II	1	
Bcl2	BCL2	596	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01091428	Recurrent epithelial ovarian carcinoma MLN8237 in Patients With Ovarian, Fallopian Tube or Peritoneal Cancer Preceded by Phase 1 Study of MLN8237 Plus Paclitaxel Treatment of Ovary or Breast Cancer	I/II	1	
Bcl2	BCL2	596	Paclitaxel	Anzatax, Asotax, Bristaxol, Praxel, Taxol, Taxol Konzentrat, TXL	Paclitaxel	36314	N/A	inhibitor	Tubulin and Bcl2 inhibitor	NCT01650376	Relapsed ovarian cancer Phase Ib With Expansion of Patients at the MTD Study of Olaparib Plus Weekly (Metronomic) Carboplatin and Paclitaxel in Relapsed Ovarian Cancer Patients	I/II	1	
