entrez_id	entrez_gene_symbol	entrez_gene_synonyms	ensembl_ids
100270857	RPL9P15	RPL9_4_422	
5464	PPA1	IOPPP,PP,PP1,SID6-8061	ENSG00000180817
100271024	RPL39P17	RPL39_6_343	
3475	IFRD1	PC4,TIS7	ENSG00000006652
83547	RILP		ENSG00000167705
654370	RPL7AP3		
55109	AGGF1	GPATC7,GPATCH7,HSU84971,HUS84971,VG5Q	ENSG00000164252
100874390	RAC1P7		
8193	DPF1	BAF45b,NEUD4,neuro-d4	ENSG00000011332
100312836	VN1R91P		
6327	SCN2B		ENSG00000149575
55814	BDP1	HSA238520,TAF3B1,TFC5,TFIIIB'',TFIIIB150,TFIIIB90,TFNR	ENSG00000145734
65059	RAPH1	ALS2CR18,ALS2CR9,LPD,PREL-2,PREL2,RMO1,RalGDS/AF-6	ENSG00000173166
282549	STQTL3		
728689	EIF3CL		ENSG00000205609
100422920	MIR548X		
1203	CLN5	NCL	ENSG00000102805
91664	ZNF845		ENSG00000213799
449619	ERVK-7	ERVK7,HERV-K(III),HERV-K102,HERV-KIII	
100134167	LOC100134167		
4261	CIITA	C2TA,CIITAIV,MHC2TA,NLRA	ENSG00000179583
51109	RDH11	ARSDR1,CGI82,HCBP12,MDT1,PSDR1,RALR1,SCALD,SDR7C1	ENSG00000072042
442868	BPY2C	VCY2C	ENSG00000185894
100862725	TIMM9P3		
100288358	LOC100288358		
23574	PRG1		
84649	DGAT2	ARAT,GS1999FULL	ENSG00000062282
83655	LINC00208	C8orf14,NCRNA00208,VIR35	
2359	FPR3	FML2_HUMAN,FMLPY,FPRH1,FPRH2,FPRL2,RMLP-R-I	ENSG00000187474
84664	CSPG4P2Y	CSPG4LYP2,CSPG4P2,CSPG4PY2	
136540	PRSS3P3	TRY3	
100418532	LOC100418532		
692053	SNORD9	mgU6-53B	
29842	TFCP2L1	CRTR1,LBP-9,LBP9	ENSG00000115112
100141515	C17orf99		ENSG00000187997
100188321	HYT8		
139135	PASD1	CT63,OXTES1	ENSG00000166049
9683	N4BP1		ENSG00000102921
255330	NUP210P1	C3orf46	
100270894	RPL39P9	RPL39_4_77	
266629	SEC14L3	TAP2	ENSG00000100012
100420307	LOC100420307		
51322	WAC	BM-016,PRO1741,Wwp4	ENSG00000095787
28829	IGLJ5		
4094	MAF	CCA4,c-MAF	ENSG00000178573
544616	COHEN2		
400863	LINC00650		
128500	RPL13P2	RPL13P3,RPL13_7_1707,dJ599F21.2	
79924	ADM2	AM2,dJ579N16.4	ENSG00000128165
79982	DNAJB14	EGNR9427,PRO34683	ENSG00000164031
23416	KCNH3	BEC1,ELK2,Kv12.2	ENSG00000135519
326294	RPL23AP11	RPL23A_29_1408	
544333	OA12		
260425	MAGI3	MAGI-3,RP4-730K3.1,dJ730K3.2	ENSG00000081026
100873755	RNU6-23		
7514	XPO1	CRM1,emb,exp1	ENSG00000082898
39	ACAT2		ENSG00000120437
100130026	LOC100130026		
100873871	RNU5A-6P		
100422949	MIR3118-2		
8091	HMGA2	BABL,HMGI-C,HMGIC,LIPO,STQTL9	ENSG00000149948
100862673	RNY4P30		
100506077	LOC100506077		
100874064	PCDH9-AS2		
60436	TGIF2		ENSG00000118707
100418993	LOC100418993		
100422492	LOC100422492		
2479	FRAXC		
100144602	LOC100144602		
51058	ZNF691	Zfp691	ENSG00000164011
4184	SMCP	HSMCSGEN1,MCS,MCSP	ENSG00000163206
100507173	LOC100507173		
8100	IFT88	D13S1056E,DAF19,TG737,TTC10,hTg737	ENSG00000032742
441642	RPL7AP9	RPL7AP59,RPL7A_24_1258,rpL7a	
100506513	CATX-1		
122258	SPACA7	C13orf28	ENSG00000153498
147700	KLC3	KLC2,KLC2L,KLCt,KNS2B	ENSG00000104892
100874433	IQCJ-SCHIP1-AS1	uaz98	
100847039	MIR5092		
100996488	FKSG48		
28725	TRAJ30		
57062	DDX24		ENSG00000089737
100506348	LOC100506348		
113802	HENMT1	C1orf59,HEN1	ENSG00000162639
57380	MRS2	HPT,MRS2L	ENSG00000124532
100329108	GCSHP5		
1973	EIF4A1	DDX2A,EIF-4A,EIF4A,eIF-4A-I,eIF4A-I	ENSG00000161960
100508782	LOC100508782		
100873896	HMGB1P41		
90462	LOC90462		
100418488	LOC100418488		
100500863	MIR548AA1		
152404	IGSF11	BT-IgSF,CT119,CXADRL1,Igsf13,VSIG3	ENSG00000144847
646836	LOC646836		
100302243	MIR1972-1	MIR1972,hsa-mir-1972,hsa-mir-1972-1	
100996870	LOC100996870		
3849	KRT2	CK-2e,K2e,KRT2A,KRT2E,KRTE	ENSG00000172867
64782	AEN	ISG20L1,pp12744	ENSG00000181026
100271277	RPL13AP12	RPL13A_3_312	
414213	GLUD1P8	GLUDP8,bA144G6.5	
727682	TAB3-AS1	CXorf29	
8776	MTMR1		ENSG00000063601
401825	LOC401825		
440031	LOC440031		
116154	PHACTR3	C20orf101,H17739,SCAPIN1,SCAPININ	ENSG00000087495
149703	LOC149703		
122888	PTBP1P	HNRNPIP	
79342	OR51B3P		
8711	TNK1		ENSG00000174292
100128266	RANP6		
4405	MRX40		
100422712	PRKRIRP7		
2029	ENSA	ARPP-19e	ENSG00000143420
57447	NDRG2	SYLD	ENSG00000165795
100270870	RPS7P7	RPS7_3_472	
5671	PSG3		ENSG00000221826
283314	C1RL-AS1	MATL2963	
100873429	RNA5SP164	RN5S164	
151534	LBX2-AS1		
727738	AREGB		ENSG00000205595
317668	MCDR3		
51138	COPS4	CSN4	ENSG00000138663
100506352	LOC100506352		
100128817	LOC100128817		
727800	RNF208		ENSG00000212864
55380	EPS15P1	EPS15L2	
643971	RPL7P29	RPL7_13_721	
80760	ITIH5	ITI-HC5	ENSG00000123243
23295	MGRN1	RNF156	ENSG00000102858
349075	ZNF713		ENSG00000178665
283446	MYO1H		ENSG00000174527
255349	TMEM211	bA9F11.1	ENSG00000206069
124842	TMEM132E		ENSG00000181291
1983	EIF5	EIF-5,EIF-5A	ENSG00000100664
100422309	LOC100422309		
79085	SLC25A23	APC2,MCSC2,SCaMC-3	ENSG00000125648
64786	TBC1D15	RAB7-GAP	ENSG00000121749
100271314	RPL35AP11	RPL35A_4_500	
100287010	LOC100287010		
84618	NT5C1A	CN-I,CN-IA,CN1,CN1A	ENSG00000116981
413	ARSC2	ARSC	
100313769	MIR320B2	MIR320B-2,MIRN320B2	
100037265	STQTL7		
10327	AKR1A1	ALDR1,ALR,ARM,DD3	ENSG00000117448
100128015	HMGN1P26		
90313	TP53I13	DSCP1	ENSG00000167543
100129512	LOC100129512		
554235	ASPDH		ENSG00000204653
163175	LGI4	LGIL3	ENSG00000153902
126003	TRAPPC5	TRS31	ENSG00000181029
84816	RTN4IP1	NIMP	ENSG00000130347
128372	OR6N1	OR1-22	ENSG00000197403
619408	PSNP2		
10083	USH1C	AIE-75,DFNB18,NY-CO-37,NY-CO-38,PDZ-45,PDZ-73,PDZ-73/NY-CO-38,PDZ73,ush1cpst	ENSG00000006611
200879	LIPH	AH,ARWH2,LAH2,LPDLR,PLA1B,mPA-PLA1	ENSG00000163898
344978	ACTN4P1		
260337	UHRF2P1		
285525	YIPF7	FinGER9	ENSG00000177752
100129923	LOC100129923		
2583	B4GALNT1	GALGT,GALNACT	ENSG00000135454
9401	RECQL4	RECQ4	
710	SERPING1	C1IN,C1INH,C1NH,HAE1,HAE2	ENSG00000149131
9423	NTN1	NTN1L	ENSG00000065320
400963	RPS2P17	RPS2_6_247	
100132598	ZNF965P		
26289	AK5	AK6	ENSG00000154027
100420763	LOC100420763		
50814	NSDHL	H105E3,SDR31E1,XAP104	ENSG00000147383
390419	PPIAP23		
24139	EML2	ELP70,EMAP-2,EMAP2	ENSG00000125746
728264	MIR143HG		
285696	LOC285696		
100128979	LOC100128979		
319127	NARSP1	NARSP	
724058	ANIB4		
643905	PRR21		ENSG00000221961
2590	GALNT2	GalNAc-T2	ENSG00000143641
3750	KCND1	KV4.1	ENSG00000102057
150590	C2orf15		ENSG00000241962
7845	PAFAH1B1P1	LIS2,PAFAH1P1	
286133	SCARA5	NET33,Tesr	ENSG00000168079
146059	CDAN1	CDA1,CDAI,DLT,PRO1295	ENSG00000140326
9133	CCNB2	HsT17299	ENSG00000157456
338091	PSMD10P3		
7123	CLEC3B	TN,TNA	ENSG00000163815
100631252	LOC100631252		
100418660	LOC100418660		
170	AFA		
347745	PAR4		
100873300	RNA5SP65	RN5S65	
6513	SLC2A1	DYT17,DYT18,GLUT,GLUT1,GLUT1DS,PED	ENSG00000117394
2116	ETV2	ER71,ETSRP71	ENSG00000105672
100271384	RPS29P22	RPS29_6_1530	
100188795	AD11		
353147	DSAP2		
23632	CA14	CAXiV	ENSG00000118298
245806	VGLL2	VGL2,VITO1	ENSG00000170162
8251	HNRNPDP	AUF1B,AUF1P,HNRPDP	
442429	EEF1DP2		
100313843	MIR711	hsa-mir-711	
80820	EEPD1	HSPC107	ENSG00000122547
254887	ZDHHC23	NIDD	ENSG00000184307
100505727	LOC100505727		
100271122	RPS29P13	RPS29_2_744	
402213	LOC402213		
389320	C5orf48		ENSG00000196900
55959	SULF2	HSULF-2	ENSG00000196562
401470	RPS26P10	RPS26_16_925	
441891	WDR82P2	WDR82C	
128790	SLC25A6P1	SLC25A5L,dJ1065O2.2	
100996253	LOC100996253		
207	AKT1	AKT,PKB,PKB-ALPHA,PRKBA,RAC,RAC-ALPHA	ENSG00000142208
81550	TDRD3		ENSG00000083544
652993	LOC652993		
359771	MRPS21P7		
100616418	MIR4773-2		
100189049	TRNAC4		
100189318	TRNAV24		
28640	TRAV41	TCRAV19S1,TCRAV41S1	
644600	GEMIN8P2		
100652780	LOC100652780		
100419711	ZNF92P3		
100873533	RNA5SP280	RN5S280	
100420289	LOC100420289		
494513	DFNB59	PJVK	ENSG00000204311
100288111	LOC100288111		
100131816	UBE2DNL		
125208	RPS2P46	RPS2_22_1525	
100996583	LOC100996583		
100847028	MIR5587		
100287908	LOC100287908		
100288659	ZNF317P1		
57497	LRFN2	FIGLER2,KIAA1246,RP11-535K1.2,SALM1	ENSG00000156564
9904	RBM19		ENSG00000122965
1155	TBCB	CG22,CKAP1,CKAPI	ENSG00000105254
79447	C16orf53	GAS,PA1	ENSG00000185928
100289479	LOC100289479		
100499412	DYZ1L16		
10751	OFD1P18Y	71-7A2,CYorf1,OFD1P18,OFD1PY18	
144402	CPNE8		ENSG00000139117
653259	CTGLF11P	bA145E20.1	
339902	LOC339902		
1617	DAZ1	DAZ,SPGY	ENSG00000188120
100874094	ZNF197-AS1		
100506331	LOC100506331		
56342	PPAN	BXDC3,SSF,SSF-1,SSF1,SSF2	ENSG00000130810
100418606	LOC100418606		
56140	PCDHA8	PCDH-ALPHA8	ENSG00000204962
56916	SMARCAD1	ADERM,ETL1,HEL1	ENSG00000163104
100418748	KRT8P36		
6502	SKP2	FBL1,FBXL1,FLB1,p45	ENSG00000145604
386742	CDY20P		
100421121	LOC100421121		
1294	COL7A1	EBD1,EBDCT,EBR1	ENSG00000114270
100996605	LOC100996605		
222161	DKFZP586I1420		
100129199	RPS3AP40	RPS3A_19_1151	
100327036	LOC100327036		
100421776	NIPA2P4		
474343	SPIN2B	SPIN-2,SPIN2_duplicate,dJ323P24.2	ENSG00000186787
100131938	LOC100131938		
407021	MIR29A	MIRN29,MIRN29A,hsa-mir-29,hsa-mir-29a,miRNA29A	
782	CACNB1	CAB1,CACNLB1,CCHLB1	ENSG00000067191
6510	SLC1A5	AAAT,ASCT2,ATBO,M7V1,M7VS1,R16,RDRC	ENSG00000105281
642443	ADH5P4	ADH5B,RCADH5,bA707M13.2	
100189152	TRNAS11		
644145	LOC644145		
131450	CD200R1	CD200R,HCRTR2,MOX2R,OX2R	ENSG00000163606
100873495	RNA5SP237	RN5S237	
10713	USP39	65K,HSPC332,SAD1,SNRNP65	ENSG00000168883
100653217	LOC100653217		
65065	NBEAL1	A530083I02Rik,ALS2CR16,ALS2CR17	ENSG00000144426
100189053	TRNAK8		
653238	GTF2H2B		
112770	C1orf85	NCU-G1	ENSG00000198715
8801	SUCLG2	GBETA	ENSG00000172340
100873393	RNA5SP123	RN5S123	
1146	CHRNG	ACHRG	ENSG00000196811
89	ACTN3		
440142	TARDBPP2		
619501	HCC		
54944	FLJ20464		
100653002	LOC100653002		
100421749	LOC100421749		
4342	MOS	MSV	ENSG00000172680
10026	PIGK	GPI8	ENSG00000142892
100189509	TRNAQ46P		
767561	SNORD113-1	14q(I-1)	
100421420	LOC100421420		
474311	BW15		
8661	EIF3A	EIF3,EIF3S10,P167,TIF32,eIF3-p170,eIF3-theta,p180,p185	ENSG00000107581
3960	LGALS4	GAL4,L36LBP	ENSG00000171747
55287	TMEM40		ENSG00000088726
100996287	LOC100996287		
100189359	TRNAC24		
146909	KIF18B		ENSG00000186185
100873682	RNA5SP432	RN5S432	
1675	CFD	ADIPSIN,ADN,DF,PFD	ENSG00000197766
644215	LOC644215		
100506990	LOC100506990		
140892	TCPT		
1318	SLC31A2	COPT2,CTR2,hCTR2	ENSG00000136867
645571	LOC645571		
645104	CLRN2		ENSG00000249581
64216	TFB2M	Hkp1,mtTFB2	ENSG00000162851
100189516	TRNAQ48P		
284085	KRT18P55		
100419293	LOC100419293		
83882	TSPAN10	OCSP	ENSG00000182612
100422987	MIR3202-1		
728608	CTGLF8P	bA556L1.5	
100996811	LOC100996811		
100130109	SNRPEP4		
147920	IGFL2	UNQ645,VPRI645	ENSG00000204866
125476	INO80C	C18orf37,IES6,hIes6	ENSG00000153391
391587	LOC391587		
66008	TRAK2	ALS2CR3,CALS-C,GRIF-1,GRIF1,MILT2,OIP98	ENSG00000115993
100418680	LOC100418680		
2673	GFPT1	CMSTA1,GFA,GFAT,GFAT 1,GFAT1,GFAT1m,GFPT,GFPT1L,MSLG	ENSG00000198380
164714	TTLL8		ENSG00000138892
55213	RCBTB1	CLLD7,CLLL7,GLP,RP11-185C18.1	ENSG00000136144
9293	GPR52		ENSG00000203737
29763	PACSIN3	SDPIII	ENSG00000165912
100130396	ATP5LP4		
4933	NYS2	NYSA	
58497	PRUNE	DRES-17,DRES17,HTCD37	ENSG00000143363
29066	ZC3H7A	ZC3H7,ZC3HDC7	ENSG00000122299
284865	LOC284865		
2893	GRIA4	GLUR4,GLUR4C,GLURD,GluA4	ENSG00000152578
728947	LOC728947		
28448	IGHV3-15	IGHV315,VH	
644316	FLJ43315		
90246	LOC90246		
51626	DYNC2LI1	D2LIC,LIC3	ENSG00000138036
2543	GAGE1	CT4.1,GAGE-1	ENSG00000205777,ENSG00000255738
5650	KLK7	PRSS6,SCCE,hK7	ENSG00000169035
5224	PGAM2	GSD10,PGAM-M,PGAMM	ENSG00000164708
100129482	ZNF37BP	KOX21,ZNF37B	
84696	ABHD1	LABH1	ENSG00000143994
157739	TDH	SDR14E1P	
347894	MRPL2P1		
100288310	LOC100288310		
55706	TMEM48	NDC1,NET3	ENSG00000058804
7212	TRNAM2	RNTMI,RNTMI2,TRM1,TRMI1,TRNAMI1,TRNAMI2	
100508483	LOC100508483		
83941	TM2D1	BBP	ENSG00000162604
29984	RHOD	ARHD,RHOHP1,RHOM,Rho	ENSG00000173156
10885	WDR3	DIP2,UTP12	ENSG00000065183
80336	PABPC1L	C20orf119,PABPC1L1,dJ1069P2.3,ePAB	ENSG00000101104
727821	RPL21P45	RPL21_15_469	
474295	BW20		
401331	RASA4CP	RASA4P	
100421306	LOC100421306		
117156	SCGB3A2	LU103,PNSP1,UGRP1,pnSP-1	ENSG00000164265
841	CASP8	ALPS2B,CAP4,Casp-8,FLICE,MACH,MCH5	ENSG00000064012
100996526	LOC100996526		
653166	OR1D4	OR17-30	
246751	SMAR		
100169837	RNY5P10		
100128751	LOC100128751		
645256	GAPDHP66	GAPDHL11,GAPDL11	
53354	PANK1	PANK	ENSG00000152782
100419868	LOC100419868		
10833	NPM1P14		
474	ATOH1	ATH1,HATH1,MATH-1,bHLHa14	ENSG00000172238
401589	LOC401589		
390714	LOC390714		
26532	OR10H3		ENSG00000171936
693208	MIR623	MIRN623,hsa-mir-623	
286144	TRIQK	C8orf83,PRO0845,UPF0599	ENSG00000205133
375690	WASH5P		
100188844	MAFD6	BPAD	
79625	NDNF	C4orf31	ENSG00000173376
100419979	HMGB1P19		
100132280	LOC100132280		
100996797	LOC100996797		
9497	SLC4A7	NBC2,NBC3,NBCN1,SBC2,SLC4A6	ENSG00000033867
2953	GSTT2	GSTT2B	ENSG00000099984
441630	BRI3P2		
353014	HCG4P9	HCGIV-09,HCGIV-9	
256691	MAMDC2		ENSG00000165072
79716	NPEPL1	bA261P9.2	ENSG00000215440
8899	PRPF4B	PR4H,PRP4,PRP4H,PRP4K,dJ1013A10.1	ENSG00000112739
8745	ADAM23	MDC3	ENSG00000114948
642448	KRT18P23		
390028	OR4F2P	HS191N21,OR4F2,S191N21,hs6M1-11	
126393	HSPB6	Hsp20	ENSG00000004776
145864	HAPLN3	EXLD1,HsT19883	ENSG00000140511
7910	PFBI		
100418728	KRT8P40		
85343	KRTAP2-5P	KAP2A,KRTAP2P1	
6069	RNU4-7P	RNU4P1,U4,U4/7	
729852	LOC729852		
7262	PHLDA2	BRW1C,BWR1C,HLDA2,IPL,TSSC3	ENSG00000181649
283587	LOC283587		
100873576	RNA5SP301	RN5S301	
642580	LOC642580		
54074	C21orf40		
144832	ESRRAP2	ESTRRA	
23699	MRX67		
100506379	LOC100506379		
100288185	PPIAP1	PPIAP	
338391	HIST2H2BB		
9545	RAB3D	D2-2,GOV,RAB16,RAD3D	ENSG00000105514
100507373	LOC100507373		
3832	KIF11	EG5,HKSP,KNSL1,MCLMR,TRIP5	ENSG00000138160
646193	LOC646193		
100527964	LOC100527964		
219690	LOC219690		
645399	LOC645399		
139420	SMEK3P	FLFL3P,smk1	
100131196	RPS25P8	RPS25_6_1012	
1655	DDX5	G17P1,HLR1,HUMP68,p68	ENSG00000108654
729200	LOC729200		
260436	FDCSP	C4orf7,FDC-SP	ENSG00000181617
100500855	MIR3713		
100270868	RPS7P2	RPS7_1_102	
5724	PTAFR	PAFR	ENSG00000169403
100131652	LOC100131652		
100420049	LOC100420049		
201254	STRA13	CENP-X,FAAP10,MHF2	ENSG00000169689
55585	UBE2Q1	GTAP,NICE-5,UBE2Q	ENSG00000160714
283375	SLC39A5	LZT-Hs7,ZIP5	ENSG00000139540
79738	BBS10	C12orf58	ENSG00000179941
116842	LEAP2	LEAP-2	ENSG00000164406
120376	C11orf93		ENSG00000214290
55299	BRIX1	BRIX,BXDC2	ENSG00000113460
55997	CFC1	CFC1B,CRYPTIC,DTGA2,HTX2	ENSG00000136698
9924	PAN2	USP52	ENSG00000135473
1018	CDK3		ENSG00000250506
259290	TAS2R31	T2R31,T2R44,T2R53,TAS2R44	ENSG00000256436
1125	CHR		
741	ZNHIT2	C11orf5,FON	ENSG00000174276
7439	BEST1	ARB,BEST,BMD,RP50,TU15B,VMD2	ENSG00000167995
100996733	LOC100996733		
100873289	RNA5SP51	RN5S51	
100128927	ZBTB42	ZNF925	ENSG00000179627
23240	KIAA0922	TMEM131L	ENSG00000121210
3192	HNRNPU	HNRPU,SAF-A,U21.1,hnRNP U	ENSG00000153187
4294	MAP3K10	MEKK10,MLK2,MST	ENSG00000130758
10498	CARM1	PRMT4	ENSG00000142453
283218	DKFZp434E1119		
55255	WDR41		ENSG00000164253
1058	CENPA	CENP-A,CenH3	ENSG00000115163
353128	AD8		
100130637	MORF4L1P7		
317751	MESTIT1	MEST-AS1,MEST-IT,MEST-IT1,NCRNA00040,PEG1-AS	
544575	AASTH38		
55723	ASF1B	CIA-II	ENSG00000105011
1535	CYBA	p22-PHOX	ENSG00000051523
3775	KCNK1	DPK,HOHO,K2P1,K2p1.1,KCNO1,TWIK-1,TWIK1	ENSG00000135750
100217370	DEL1Q21	C1DELq21	
3780	KCNN1	KCa2.1,SK1,SKCA1,hSK1	ENSG00000105642
728590	RPS27AP11	RPS27A_4_740	
8992	ATP6V0E1	ATP6H,ATP6V0E,M9.2,Vma21,Vma21p	ENSG00000113732
343052	LOC343052		
80742	PRR3	CAT56	ENSG00000204576
4579	TRNY	MTTY	
286444	RPS2P55	RPS2_29_1773	
100422039	LOC100422039		
26083	TBC1D29		ENSG00000197689,ENSG00000266733
100419692	LOC100419692		
63929	XPNPEP3	APP3,NPHPL1	ENSG00000196236
100129108	LOC100129108		
2979	GUCA1B	GCAP2,GUCA2,RP48	ENSG00000112599
10135	NAMPT	1110035O14Rik,PBEF,PBEF1,VF,VISFATIN	ENSG00000105835
2961	GTF2E2	FE,TF2E2,TFIIE-B	ENSG00000197265
441369	FLJ46284		
221927	BRAT1	BAAT1,C7orf27,RMFSL	ENSG00000106009
402226	CCT5P1	CCT5-3P	
735	C9		ENSG00000113600
391630	OR7E83P	OR7E134P	
504175	OR3D1P		
100189322	TRNAQ26		
100505978	LOC100505978		
346606	MOGAT3	DC7,DGAT2L7,MGAT3	ENSG00000106384
653794	TRIM60P14		
402682	UFSP1	UFSP	ENSG00000176125
100270829	RPL39P12	RPL39_1_3	
9889	ZBED4		ENSG00000100426
139452	RPL6P30	RPL6_11_1767	
57677	ZFP14	ZNF531	ENSG00000142065
93202	LOC93202		
664721	HNRNPA1P27	HNRPA1P5	
1271	CNTFR		ENSG00000122756
100996910	LOC100996910		
6921	TCEB1	SIII,eloC	ENSG00000154582
729131	KRT8P7		
168455	CCDC71L	C7orf74	ENSG00000253276
100874306	ACAP2-IT1		
10048	RANBP9	BPM-L,BPM90,RANBPM,RanBP7	ENSG00000010017
7324	UBE2E1	UBCH6	ENSG00000170142
100421219	USP9YP8		
389992	RPL7P34	RPL7_14_1078	
50942	IBD6		
9710	KIAA0355		ENSG00000166398
91543	RSAD2	2510004L01Rik,cig33,cig5,vig1	ENSG00000134321
26020	LRP10	LRP9,MST087	ENSG00000197324
2421	FRA8C		
5476	CTSA	GLB2,GSL,NGBE,PPCA,PPGB	ENSG00000064601
1118	CHIT1	CHI3,CHIT,CHITD	ENSG00000133063
124872	B4GALNT2	B4GALT,GALGT2	ENSG00000167080
100996949	PDA1		
5152	PDE9A	HSPDE9A2	ENSG00000160191
28317	IGHV4OR15-8	IGHV4OR158,VSIG6	
100132992	HMGN1P30		
22850	ADNP2	ZNF508	ENSG00000101544
55672	NBPF1	AB13,AB14,AB23,AD2,NBG,NBPF	
100128258	RPS18P3	RPS18_2_171	
5564	PRKAB1	AMPK,HAMPKb	ENSG00000111725
100133991	MAP3K14-AS1		
100462989	HSPD1P20	HSPD1-20P	
359757	MRPS17P3		
100418563	LOC100418563		
317781	DDX51		ENSG00000185163
100271217	RPL7P39	RPL7_16_1250	
2497	FTH1P2	FTHL2	
100415895	GLM6		
100188835	CINN		
79934	ADCK4		ENSG00000123815
3687	ITGAX	CD11C,SLEB6	ENSG00000140678
129560	LOC129560		
100422604	LOC100422604		
100873856	SNORD116-30	HBII-85-30	
55311	ZNF444	EZF-2,EZF2,ZSCAN17	ENSG00000167685
728042	CT47A9	CT47.9	ENSG00000226600
170954	PPP1R18	HKMT1098,KIAA1949	ENSG00000146112
2824	GPM6B	M6B	ENSG00000046653
63915	BLOC1S5	MU,MUTED	ENSG00000188428
731157	LOC731157		
100128627	LOC100128627		
10735	STAG2	SA-2,SA2,SCC3B,bA517O1.1	ENSG00000101972
126520	PLK5	PLK-5,PLK5P,SgK384ps	
100131448	LOC100131448		
100418520	LOC100418520		
79725	THAP9		ENSG00000168152
4521	NUDT1	MTH1	ENSG00000106268
80701	AKR1D1P1	AKR1D1P,SRD5BP1	
404683	OB4		
3208	HPCA	BDR2	ENSG00000121905
8976	WASL	N-WASP,NWASP	ENSG00000106299
728170	LOC728170		
100189144	TRNAC10		
100873813	HLFP1		
100505993	TMEM210		ENSG00000185863
100533640	LOC100533640		
100873791	CHEK2P3		
100288860	LOC100288860		
100419019	SNX18P15		
100506677	AA06	AA02,AA04,AA05	
158880	USP51		ENSG00000247746
359804	DAP3P1	DAP3P,MRPS29P1	
28904	IGKV1D-8	IGKV1D8,L24,L24a	
645120	LOC645120		
5191	PEX7	PTS2R,RCDP1,RD	ENSG00000112357
114790	STK11IP	LIP1,LKB1IP,STK11IP1	ENSG00000144589
644694	CDRT15P2	CDRT15L1	
100189071	TRNAI4		
100418937	LOC100418937		
4610	MYCL1	LMYC,MYCL,bHLHe38	ENSG00000116990
171157	SHFM5		
266811	NPSA		
342897	NCCRP1	FBXO50,NCCRP-1	ENSG00000188505
9352	TXNL1	TRP32,TXL-1,TXNL,Txl	ENSG00000091164
100873544	RNA5SP291	RN5S291	
84674	CARD6	CINCIN1	ENSG00000132357
100506281	LOC100506281		
100996777	LOC100996777		
10243	GPHN	GEPH,GPH,GPHRYN,HKPX1	ENSG00000171723
54542	RC3H2	MNAB,RNF164	ENSG00000056586
