Gene	Category
GPRC5C	GPCR
GPRC5D	GPCR
HCAR1	GPCR
HCAR3	GPCR
LPAR6	GPCR
MRGPRE	GPCR
MRGPRF	GPCR
MRGPRG	GPCR
MRGPRX1	GPCR
MRGPRX2	GPCR
MRGPRX3	GPCR
MRGPRX4	GPCR
NPBWR1	GPCR
NPBWR2	GPCR
OXER1	GPCR
OXGR1	GPCR
P2RY10	GPCR
PROKR1	GPCR
QRFPR	GPCR
RXFP4	GPCR
TAAR2	GPCR
TAAR3P	GPCR
TAAR8	GPCR
TAAR9	GPCR
TAS2R1	GPCR
TAS2R10	GPCR
TAS2R13	GPCR
TAS2R14	GPCR
TAS2R16	GPCR
TAS2R19	GPCR
TAS2R20	GPCR
TAS2R3	GPCR
TAS2R30	GPCR
TAS2R31	GPCR
TAS2R39	GPCR
TAS2R4	GPCR
TAS2R40	GPCR
TAS2R41	GPCR
TAS2R42	GPCR
TAS2R43	GPCR
TAS2R46	GPCR
TAS2R5	GPCR
TAS2R50	GPCR
TAS2R60	GPCR
TAS2R7	GPCR
TAS2R8	GPCR
TAS2R9	GPCR
ASIC4	Ion Channel
BEST4	Ion Channel
CACNA2D2	Ion Channel
CACNA2D3	Ion Channel
CACNA2D4	Ion Channel
CACNG1	Ion Channel
CACNG3	Ion Channel
CACNG4	Ion Channel
CACNG5	Ion Channel
CACNG6	Ion Channel
CACNG7	Ion Channel
CACNG8	Ion Channel
CALHM4	Ion Channel
CALHM5	Ion Channel
CALHM6	Ion Channel
CATSPER2	Ion Channel
CHRNA10	Ion Channel
CHRNB1	Ion Channel
CLCA4	Ion Channel
CLCC1	Ion Channel
CLCN6	Ion Channel
CLIC6	Ion Channel
GABRP	Ion Channel
GPR89A	Ion Channel
GPR89B	Ion Channel
GRID1	Ion Channel
KCNA6	Ion Channel
KCNA7	Ion Channel
KCNAB2	Ion Channel
KCNAB3	Ion Channel
KCND1	Ion Channel
KCNG2	Ion Channel
KCNG3	Ion Channel
KCNG4	Ion Channel
KCNH4	Ion Channel
KCNH6	Ion Channel
KCNH8	Ion Channel
KCNJ15	Ion Channel
KCNJ18	Ion Channel
KCNK12	Ion Channel
KCNK7	Ion Channel
KCNMB3	Ion Channel
KCNN1	Ion Channel
KCNS1	Ion Channel
KCNS2	Ion Channel
LRRC38	Ion Channel
LRRC55	Ion Channel
PKD1L2	Ion Channel
PKD1L3	Ion Channel
PKD2L2	Ion Channel
PLLP	Ion Channel
SCN7A	Ion Channel
SLC26A1	Ion Channel
TMC3	Ion Channel
TMC4	Ion Channel
TMC5	Ion Channel
TMC7	Ion Channel
TMEM38B	Ion Channel
TMEM63A	Ion Channel
TMEM63B	Ion Channel
TTYH1	Ion Channel
TTYH2	Ion Channel
