"compound_id","compound_name","gene_names","pubmed_id","ep_action_mode","activity_comment"
"CHEMBL1201236","CARBIDOPA","MAPT","","","Active"
"CHEMBL284328","HOMIDIUM BROMIDE","TNF","","","active"
"CHEMBL1503","OMEPRAZOLE","KDM4E","","","Active"
"CHEMBL61350","CYSTAMINE","CBX1","","","Active"
"CHEMBL1421","DASATINIB","LIMK1","","","active"
"CHEMBL337702","OXIDOPAMINE","APEX1","","","active"
"CHEMBL1200798","TRAZODONE HYDROCHLORIDE","HSD17B10","","","Active"
"CHEMBL507237","CUCURBITACIN B","TOP1","17190463","","Active"
"CHEMBL84685","2-AMINO-ANTHRAQUINONE","RAB9A","","","Active"
"CHEMBL120563","THIRAM","KCNH2","","","active"
"CHEMBL223575","NSC-106547","FEN1","","","active"
"CHEMBL1117","IDARUBICIN","POLI","","","active"
"CHEMBL541543","U-37883A","TSHR","","","Active"
"CHEMBL123","ELLIPTECINE","STAT6","","","Active"
"CHEMBL590900","SJ000201287","RAB9A","","","Active"
"CHEMBL1331754","NSC-46080","CDC25B","22524450","","Active"
"CHEMBL491582","TANNIN PYROGALLOL","NFE2L2","","","active"
"CHEMBL490355","SULFURETIN","POLH","","","active"
"CHEMBL1967878","CENISERTIB","MAP4K2","","","active"
"CHEMBL187460","CRYPTOTANSHINONE","POLB","","","Active"
"CHEMBL2002487","BAS 01152706","KDM4A","","","Active"
"CHEMBL81379","RETINAL","CXCL8","","","active"
"CHEMBL581574","TCMDC-125784","SMAD3","","","active"
"CHEMBL1522984","DNDI1417085","TP53","","","active"
"CHEMBL323356","SB-204741","CYP2C9","","","Active"
"CHEMBL103667","DORAMAPIMOD","CDK8","","","active"
"CHEMBL502495","TETRADECANOYL PHORBOL ACETATE","PRKCD","20121237","","Active"
"CHEMBL16","PHENYTOIN","NFE2L2","","","active"
"CHEMBL1568","FLUDARABINE","SLC29A1","23388705","","Active"
"CHEMBL8145","DAIDZEIN","NPC1","","","Active"
"CHEMBL475251","TAMATINIB","MARK3","","","active"
"CHEMBL1200845","HALCINONIDE","NFE2L2","","","Active"
"CHEMBL355014","FLUORANTHENE","NFE2L2","","","active"
"CHEMBL90","HISTAMINE","LMNA","","","Active"
"CHEMBL1010","CEFOTAXIME SODIUM","MPHOSPH8","","","Active"
"CHEMBL631","PROPAFENONE","MTOR","","","Active"
"CHEMBL8165","5-METHOXYTRYPTAMINE","CYP1A2","","","Active"
"CHEMBL1980391","RG-1530","GRK5","","","active"
"CHEMBL564085","TROLEANDOMYCIN","CYP2C9","22931300","","Active"
"CHEMBL1491099","GANGALEOIDIN","VDR","","","active"
"CHEMBL1967878","CENISERTIB","LYN","","","active"
"CHEMBL514499","GW843682X","FGFR1","","","active"
"CHEMBL1516890","GW441756X","NEK2","","","active"
"CHEMBL1374360","MERCURIC CHLORIDE","ALOX12","","","Active"
"CHEMBL526034","GNF-PF-4829","HTT","","","Active"
"CHEMBL506247","TANNIC ACID","AR","","","active"
"CHEMBL98","VORINOSTAT","HDAC2","24694055","","Active"
"CHEMBL52","NORDIHYDROGUAIARETIC ACID","FEN1","","","Active"
"CHEMBL511708","BACCHARIN","AKR1C3","22506594","","Active"
"CHEMBL27768","[3H]-PHORBOL 12,13-DIBUTYRATE","PRKCA","24794745","","Active"
"CHEMBL430893","(-)-ROLIPRAM","CREBBP","","","Active"
"CHEMBL81","RALOXIFENE","ALDH1A1","","","Active"
"CHEMBL518292","ISOVELLERAL","POLB","","","Active"
"CHEMBL398765","PT-103","ALDH1A1","","","Active"
"CHEMBL1201154","PROCHLORPERAZINE EDISYLATE","NFE2L2","","","Active"
"CHEMBL609606","GNF-PF-3716","HTT","","","Active"
"CHEMBL57","NEVIRAPINE","ABCC1","17172311","","Active"
"CHEMBL548","DINOPROSTONE","PTGER3","25701254","","Active"
"CHEMBL2057662","3-(3-STIBONOPHENYL)PROPANOIC ACID","CDC25B","22705189","","Active"
"CHEMBL111861","CORTISONE","KCNA1","18806782","","Active"
"CHEMBL392394","GS-39783","CYP1A2","","","Active"
"CHEMBL1333386","TDR77585","NPC1","","","Active"
"CHEMBL445304","3-HYDROXYANTHRANILIC ACID","CD28","18003900","","Active"
"CHEMBL44011","1,2,3,5-TETRACHLOROBENZENE","AR","","","active"
"CHEMBL1762621","BARDOXOLONE METHYL","NFE2L2","26278028","","Active"
"CHEMBL1116","RALOXIFENE HYDROCHLORIDE","RACGAP1","","","active"
"CHEMBL34241","ROTTLERIN","MAPT","","","Active"
"CHEMBL1871992","3-(N-PHENETHYLSULFAMOYL)BENZOIC ACID","PLK1","","","active"
"CHEMBL176570","PSOROMIC ACID","GLS","","","active"
"CHEMBL1224528","DIHYDROXIDINE","CYP2C19","","","Active"
"CHEMBL529640","TCMDC-123502","KCNH2","","","Active"
"CHEMBL1308346","TDR78277","EHMT2","","","Active"
"CHEMBL528724","GNF-PF-1241","RAD52","","","active"
"CHEMBL62136","T091317","RORA","","","Active"
"CHEMBL1909397","GW279320X","YES1","","","active"
"CHEMBL1083993","AMIODARONE HYDROCHLORIDE","KCNH2","","","active"
"CHEMBL240773","QUINPIROLE","DRD2","21388142","","Active"
"CHEMBL515252","3,8'-BIAPIGENIN","POLK","","","active"
"CHEMBL85826","10-METHOXYLRUTAECARPINE","RAB9A","","","Active"
"CHEMBL114544","PYRIDINE-2-CARBOTHIOIC ACID PHENYLAMIDE","KDM4A","","","Active"
"CHEMBL165790","IPRIFLAVONE","ATAD5","","","Active"
"CHEMBL1544","LIOTHYRONINE","CYP3A4","22931300","","Active"
"CHEMBL461193","NSC-695801","RAD52","","","active"
"CHEMBL1237054","PLICAMYCIN","CYP3A4","22931300","","Active"
"CHEMBL1084546","PF-562271","INSR","","","active"
"CHEMBL1329443","NSC-319994","ATM","","","Active"
"CHEMBL481422","SM-122","XIAP","21462933","","Active"
"CHEMBL579742","TCMDC-125000","RAD54L","","","active"
"CHEMBL527336","GNF-PF-4576","EHMT2","","","Active"
"CHEMBL175266","NSC-66209","MPI","","","Active"
"CHEMBL191611","NSC-145669","GMNN","","","active"
"CHEMBL1228","OXYPHENBUTAZONE","NFE2L2","","","Active"
"CHEMBL65","CAMPTOTHECIN","ATXN2","","","active"
"CHEMBL572878","TOZASERTIB","MINK1","","","active"
"CHEMBL553","ERLOTINIB","KDR","","","active"
"CHEMBL253363","PREGNENOLONE","NFE2L2","","","active"
"CHEMBL322970","SB-415286","FEN1","","","Active"
"CHEMBL489","AFIMOXIFENE","ESR1","24805199","","Active"
"CHEMBL537649","RANOLAZINE HYDROCHLORIDE","KDM4A","","","Active"
"CHEMBL1096979","BENSERAZIDE","CBX1","","","Active"
"CHEMBL580183","TCMDC-125602","ATAD5","","","Active"
"CHEMBL1200468","MALATHION","CYP3A4","","","Active"
"CHEMBL1173445","LARGAZOLE","HDAC6","25203782","","Active"
"CHEMBL110691","CHLORMADINONE ACETATE","AR","","","active"
"CHEMBL71294","BRL-52537","CYP2D6","","","Active"
"CHEMBL596836","GNF-PF-4102","RAD52","","","active"
"CHEMBL505479","HOOKEROSIDE A","PNLIP","15104490","","Active"
"CHEMBL193","NIFEDIPINE","GMNN","","","Active"
"CHEMBL1256708","APOMORPHINE HYDROCHLORIDE HEMIHYDRATE","GMNN","","","active"
"CHEMBL327980","E-4031","CYP2C19","","","Active"
"CHEMBL1407943","CLEMIZOLE","HIF1A","","","Active"
"CHEMBL1095515","SCLEROTIORIN","POLH","","","active"
"CHEMBL86464","TCMDC-139459","KDM4A","","","Active"
"CHEMBL537","HYDROQUINONE","HIF1A","","","Active"
"CHEMBL1883234","PYRIPROXYFEN","AR","","","active"
"CHEMBL85826","10-METHOXYLRUTAECARPINE","STAT1","","","Active"
"CHEMBL1997335","DNDI1417467","PRKD3","","","active"
"CHEMBL51085","EBSELEN","KDM4A","","","Active"
"CHEMBL606167","GNF-PF-3582","NFE2L2","","","Active"
"CHEMBL59","DOPAMINE","DRD1","","","Active"
"CHEMBL198666","N-BENZOYLANTHRANILIC ACID","POLB","","","Active"
"CHEMBL178","DAUNORUBICIN","HTT","","","Active"
"CHEMBL704","MESALAMINE","HSD17B10","","","Active"
"CHEMBL287689","NSC-117271","CYP2C19","","","Active"
"CHEMBL120526","METHANANDAMIDE","VDR","","","active"
"CHEMBL108","CARBAMAZEPINE","CYP1A2","22931300","","Active"
"CHEMBL18132","SR-2640","CYP3A4","","","Active"
"CHEMBL1437065","NITROMIDE","CYP3A4","","","Active"
"CHEMBL1967878","CENISERTIB","NEK2","","","active"
"CHEMBL279115","PHORBOL MYRISTATE ACETATE","PRKCD","24794745","","Active"
"CHEMBL1200975","CLOCORTOLONE PIVALATE","NFE2L2","","","Active"
"CHEMBL28626","MORIN","POLH","","","active"
"CHEMBL491517","MANEB","NFE2L2","","","active"
"CHEMBL1164975","(-)-ZILEUTON","ALOX12","19848434","","Active"
"CHEMBL120563","THIRAM","NFE2L2","","","active"
"CHEMBL21731","MAPROTILINE","CYP1A2","22931300","","Active"
"CHEMBL1095870","1-HYDROXY-6-(4-HYDROXY-PHENYL)-1-PHENYL-HEXAN-3-ONE (ENANTIOMERIC MIX)","ESR1","20430632","","Active"
"CHEMBL1863429","CYAZOFAMID","TP53","","","active"
"CHEMBL393417","DEGUELIN","CYP2C19","","","Active"
"CHEMBL1336025","(+/-)-PENTAACETYLCATECHIN","CYP3A4","","","Active"
"CHEMBL28626","MORIN","FEN1","","","active"
"CHEMBL280998","CATECHOL","NR3C1","","","active"
"CHEMBL318892","SB-236687","YES1","","","active"
"CHEMBL1536","ERGOCALCIFEROL","AR","","","active"
"CHEMBL1362503","DNDI1417400","VDR","","","active"
"CHEMBL573","NIACIN","HCAR2","25737085","","Active"
"CHEMBL1980391","RG-1530","PRKAA1","","","active"
"CHEMBL578061","GNF-PF-2301","BLK","","","active"
"CHEMBL579318","GNF-PF-78","S1PR4","","","Active"
"CHEMBL15766","LY-255283","CYP3A4","","","Active"
"CHEMBL111654","2-MERCAPTOBENZOTHIAZOLE","NFE2L2","","","active"
"CHEMBL474579","CEFOTETAN","EHMT2","","","Active"
"CHEMBL536166","TCMDC-125606","PAX8","","","active"
"CHEMBL773","GLYCINE","CYP1A2","22931300","","Active"
"CHEMBL135","ESTRADIOL","ESR2","20659801","","Active"
"CHEMBL165","RESVERATROL","PRKCA","21880495","","Active"
"CHEMBL1900522","FLUSILAZOLE","AR","","","active"
"CHEMBL496","HEXACHLOROPHENE","VCP","","","Active"
"CHEMBL463175","CEPHALOCHROMIN","RECQL","","","Active"
"CHEMBL599924","GNF-PF-159","ATG4B","","","Active"
"CHEMBL1255943","GLUTAMIC ACID HYDROCHLORIDE","EHMT2","","","Active"
"CHEMBL1200386","PREDNICARBATE","AR","","","active"
"CHEMBL600778","SJ000032149","RAPGEF4","","","active"
"CHEMBL51085","EBSELEN","GBA","","","Active"
"CHEMBL225519","PHA-767491","RPS6KA3","","","active"
"CHEMBL591137","SJ000113972","HTT","","","Active"
"CHEMBL286615","LUZINDOLE","HPGD","","","Active"
"CHEMBL543876","GBR-12909","GMNN","","","Active"
"CHEMBL1511","ESTRADIOL VALERATE","IDH1","","","active"
"CHEMBL546797","TCMDC-125758","CLK4","","","active"
"CHEMBL1190711","BAY-613606","ROCK2","","","active"
"CHEMBL104","CLOTRIMAZOLE","KCNH2","","","active"
"CHEMBL144472","NILE RED","NPC1","","","Active"
"CHEMBL151","LUTEOLIN","CYBB","23786520","","Active"
"CHEMBL49623","(R,S)-IFENPRODIL","CYP1A2","","","Active"
"CHEMBL1874081","CHLOROPHACINONE","AR","","","active"
"CHEMBL260451","CID 5310801","NR0B1","","","active"
"CHEMBL708","ZIPRASIDONE","AR","","","active"
"CHEMBL1595865","CHINOMETHIONAT","VDR","","","active"
"CHEMBL477936","NSC-74859","POLI","","","active"
"CHEMBL123292","CYCLOHEXIMIDE","HSF1","","","Active"
"CHEMBL1257065","STILONIUM IODIDE","APOBEC3A","","","Active"
"CHEMBL282433","DITOLYLGUANIDINE","PABPC1","","","active"
"CHEMBL1363249","DNDI1417827","BAZ2B","","","Active"
"CHEMBL601140","GNF-PF-186","BLM","","","Active"
"CHEMBL509032","TAE-684","BTK","","","active"
"CHEMBL491473","CEDIRANIB","MAP4K2","","","active"
"CHEMBL51","KETANSERIN","HPGD","","","Active"
"CHEMBL16117","PHILANTHOTOXIN 343","GRIN1, GRIN2A","20873775","","Active"
"CHEMBL101253","VATALANIB","NFE2L2","","","active"
"CHEMBL441282","PROPYLPYRAZOLETRIOL","ESR1","","","active"
"CHEMBL365617","VER-49009","PRKD2","","","active"
"CHEMBL563553","MULBERROFURAN H","RELA","24901948","","Active"
"CHEMBL365739","DIPHENYLENEIODONIUM","CYP2D6","","","Active"
"CHEMBL8211","N-ETHYLMALEIMIDE","ANXA2","16408090","","Active"
"CHEMBL584668","GNF-PF-4068","SENP7","","","Active"
"CHEMBL472","GLYBURIDE","CYP2C19","","","Active"
"CHEMBL1200807","NORELGESTROMIN","AR","","","active"
"CHEMBL1200847","HYDROXYSTILBAMIDINE ISETHIONATE","KDM4E","","","Active"
"CHEMBL581194","TCMDC-123781","TSHR","","","Active"
"CHEMBL308333","ACTINONIN","NFE2L2","","","Active"
"CHEMBL525826","TCMDC-124573","SMAD3","","","active"
"CHEMBL475251","TAMATINIB","FLT1","","","active"
"CHEMBL841","LOPERAMIDE","CYP2D6","","","Active"
"CHEMBL546797","TCMDC-125758","CDK8","","","active"
"CHEMBL65","CAMPTOTHECIN","HSD17B10","","","Active"
"CHEMBL546170","TCMDC-125543","SENP6","","","Active"
"CHEMBL203266","TRIMETAZIDINE","CYP1A2","","","Active"
"CHEMBL98","VORINOSTAT","PAX8","","","active"
"CHEMBL451722","D,L-ARMEPAVINE","EHMT2","","","Active"
"CHEMBL1223740","CRYPTOCHINONE A","NR1H4","25127166","","Active"
"CHEMBL429095","NSC-95397","TSHR","","","Active"
"CHEMBL7976","CHALCONE","IDH1","","","active"
"CHEMBL244948","DAPHNETIN","EHMT2","","","Active"
"CHEMBL1082","AMOXICILLIN","CYP3A4","22931300","","Active"
"CHEMBL582355","ETHACRIDINE LACTATE","VDR","","","active"
"CHEMBL139935","NSC-92207","ATAD5","","","Active"
"CHEMBL53418","DANTHRON","EHMT2","","","Active"
"CHEMBL276711","SEMAXANIB","APOBEC3F","","","active"
"CHEMBL1644450","CETALKONIUM CHLORIDE","AR","","","active"
"CHEMBL48802","SULFORAPHANE","NQO1","20395150","","Active"
"CHEMBL106","FLUCONAZOLE","CYP2C19","22931300","","Active"
"CHEMBL1512","FLUNISOLIDE","AR","","","active"
"CHEMBL33778","ANACARDIC ACID","ALOX5","24231650","","Active"
"CHEMBL1452868","SPHONDIN","HSD17B10","","","Active"
"CHEMBL483531","ALTENUSIN","SNCA","","","active"
"CHEMBL588501","TCMDC-124448","KCNH2","","","Active"
"CHEMBL51483","GOSSYPOL","DRD1","","","Active"
"CHEMBL211670","D-DOPA","APEX1","","","active"
"CHEMBL1358","FULVESTRANT","ESR2","19845386","","Active"
"CHEMBL605003","SU-6656","DRD1","","","Active"
"CHEMBL288114","GALLIC ACID","MAPT","","","Active"
"CHEMBL290916","EDARAVONE","CYP1A2","","","Active"
"CHEMBL413","SIROLIMUS","FKBP1A, MTOR","24893224","","Active"
"CHEMBL527586","TCMDC-125319","EHMT2","","","Active"
"CHEMBL363535","TANSHINONE I","POLH","","","active"
"CHEMBL482767","SNS-314","CAMK2G","","","active"
"CHEMBL860","E-DOXEPIN","CYP2D6","","","Active"
"CHEMBL252417","S-166659","KDM4E","","","Active"
"CHEMBL19954","NSC-69187","SMARCA2","","","active"
"CHEMBL139000","(R)-PIA","AVPR1B","","","Active"
"CHEMBL522892","DOVITINIB","KIT","","","active"
"CHEMBL344469","0-HEXYL-1,3-DIAMINE-PLATINUM 2,2-DICHLORIDE","KDM4A","","","Active"
"CHEMBL119443","ERGONOVINE","HSD17B10","","","Active"
"CHEMBL129795","ISOLIQUIRITIGENIN","ATAD5","","","Active"
"CHEMBL1334693","PROROXAN HYDROCHLORIDE","EHMT2","","","Active"
"CHEMBL718","METHYLDOPA (RACEMIC)","POLB","","","Active"
"CHEMBL398363","3,3'-DIMETHOXYBENZIDINE","BAZ2B","","","Active"
"CHEMBL1222317","WIN-55212-2","KCNH2","","","active"
"CHEMBL452866","CARBOFENOTION","POLK","","","active"
"CHEMBL1528839","PHENFORMIN HYDROCHLORIDE","PPARA","","","active"
"CHEMBL88147","MRS-1220","CYP2C19","","","Active"
"CHEMBL10316","IDAZOXAN","GMNN","","","active"
"CHEMBL1632","CEPHALOTHIN SODIUM","TDP1","","","Active"
"CHEMBL102714","SB-216763","KCNH2","","","active"
"CHEMBL509032","TAE-684","INSR","","","active"
"CHEMBL22077","HYCANTHONE","CYP2D6","22931300","","Active"
"CHEMBL292702","MAYTANSINE","TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA3D, TUBA3E, TUBA4A, TUBB, TUBB1, TUBB2A, TUBB2B, TUBB3, TUBB4A, TUBB4B, TUBB6, TUBB8","563462","","Active"
"CHEMBL584269","GNF-PF-4012","NFE2L2","","","Active"
"CHEMBL576409","GNF-PF-1919","KDM4A","","","Active"
"CHEMBL555017","GAMBOGIC ACID","TXN2","22663155","","Active"
"CHEMBL578878","GNF-PF-2671","KDM4A","","","Active"
"CHEMBL1617","RIFAXIMIN","NR1I2","24828006","","Active"
"CHEMBL283196","ALPHA-NAPHTHOFLAVONE","TP53","","","Active"
"CHEMBL52387","(RS)-ROSCOVITINE","CDK1","","","active"
"CHEMBL1200809","AZELASTINE HYDROCHLORIDE","CYP3A4","","","Active"
"CHEMBL473535","FENTICLOR","GLP1R","","","active"
"CHEMBL289277","EMODIN","MAPT","","","Active"
"CHEMBL1417019","MITOXANTRONE DIHYDROCHLORIDE","TP53","","","Active"
"CHEMBL50","QUERCETIN","FEN1","","","active"
"CHEMBL468403","QUINOCIDE","USP1","","","active"
"CHEMBL1270169","NSC-3323","MAPK1","","","Active"
"CHEMBL533954","TCMDC-123579","HSD17B10","","","Active"
"CHEMBL123","ELLIPTECINE","DRD1","","","Active"
"CHEMBL679","EPINEPHRINE","RECQL","","","Active"
"CHEMBL579919","TCMDC-124381","KDM4A","","","Active"
"CHEMBL301982","CELASTROL","HSP90AA1, HSP90AB1","25756299","","Active"
"CHEMBL592124","SJ000044511","WRN","","","active"
"CHEMBL1084546","PF-562271","CAMKK2","","","active"
"CHEMBL1607","TOPOTECAN HYDROCHLORIDE","HBB","","","Active"
"CHEMBL473","DOFETILIDE","CYP2C9","22931300","","Active"
"CHEMBL1388703","NSC-50690","GMNN","","","active"
"CHEMBL32749","FERULIC ACID","APP","24076170","","Active"
"CHEMBL172439","SLAZINIC ACID","TDP1","","","Active"
"CHEMBL260417","SB-725317","YES1","","","active"
"CHEMBL111654","2-MERCAPTOBENZOTHIAZOLE","KAT2A","","","Active"
"CHEMBL1421","DASATINIB","YES1","","","active"
"CHEMBL183","1,3-DIPROPYL-8-CYCLOPENTYLXANTHINE [DPCPX]","CYP1A2","","","Active"
"CHEMBL222863","OUABAIN","IDH1","","","active"
"CHEMBL477197","HEMATOXYLIN","MAPT","","","Active"
"CHEMBL1980391","RG-1530","CHEK2","","","active"
"CHEMBL448515","2,6-DIMETHOXYQUINONE","WRN","","","active"
"CHEMBL428690","ALVOCIDIB","CDK6","","","Active"
"CHEMBL1569494","DIMETHYL 2-(2-NITROBENZYLIDENE)MALONATE","MAPT","","","Active"
"CHEMBL11417","STREPTONIGRIN","POLB","","","Active"
"CHEMBL527336","GNF-PF-4576","GMNN","","","active"
"CHEMBL429","LABETALOL","CYP3A4","22931300","","Active"
"CHEMBL240773","QUINPIROLE","DRD2","25969169","","Active"
"CHEMBL565","CLOFIBRATE","CYP1A2","","","Active"
"CHEMBL223360","LINIFANIB","AURKB","","","active"
"CHEMBL1575","ESTRAMUSTINE","KAT2A","","","Active"
"CHEMBL362558","LY-2090314","DYRK1A","","","active"
"CHEMBL1593867","HARMINE HYDROCHLORIDE","ATAD5","","","active"
"CHEMBL44746","KHELLIN","HPGD","","","Active"
"CHEMBL1479103","HAEMATOXYLIN","POLB","","","Active"
"CHEMBL127643","DIMETHISOQUIN","CYP2D6","","","Active"
"CHEMBL10","SB-203580","YES1","","","active"
"CHEMBL24510","FUSARIC ACID","KDM4E","","","Active"
"CHEMBL1466","DICUMAROL","NFE2L2","","","active"
"CHEMBL1082607","SALMETEROL XINAFOATE","THPO","","","Active"
"CHEMBL22242","REMOXIPRIDE","CYP3A4","22931300","","Active"
"CHEMBL307145","PYROGALLOL","ESR1","","","active"
"CHEMBL179611","2-HYDROXYPHENAZINE 5,10-DIOXIDE","APEX1","","","active"
"CHEMBL1200761","CHLOROTRIANISENE","NPSR1","","","Active"
"CHEMBL407874","6-O-BENZYLGUANINE","MGMT","22932317","","Active"
"CHEMBL98123","PAPAVERINE HYDROCHLORIDE","CASP6","","","active"
"CHEMBL592123","SJ000117451","KDM4A","","","Active"
"CHEMBL184450","3,3',5,5'-TETRABROMOBISPHENOL A","BAZ2B","","","Active"
"CHEMBL1084546","PF-562271","CAMK2G","","","active"
"CHEMBL151649","PHENETHYLISOTHIOCYANATE","CYP2E1","23371965","","Active"
"CHEMBL496","HEXACHLOROPHENE","RORC","","","active"
"CHEMBL263116","DIMETHYL YELLOW","EYA2","","","active"
"CHEMBL171637","PHYSODIC ACID","KDM4A","","","Active"
"CHEMBL580851","TCMDC-124536","HSD17B10","","","Active"
"CHEMBL592124","SJ000044511","ALOX15","","","Active"
"CHEMBL51085","EBSELEN","HPGD","","","Active"
"CHEMBL336095","NSC-668394","HSD17B10","","","Active"
"CHEMBL484640","NSC-180246","POLK","","","active"
"CHEMBL1342336","CID 663143","CYP1A2","","","Active"
"CHEMBL1463345","CANRENONE","AR","","","active"
"CHEMBL686","MEFENAMIC ACID","CYP2C9","","","Active"
"CHEMBL223448","BROXYQUINOLINE","HSP90AA1","","","active"
"CHEMBL558752","CHIR-265","YES1","","","active"
"CHEMBL1185568","DITHIAZANINE","POLI","","","active"
"CHEMBL1078244","P-HYDROXYPHENETHYL ANISATE","ATAD5","","","Active"
"CHEMBL586000","MMV006389","MAPT","","","Active"
"CHEMBL1350036","LEAD DIACETATE TRIHYDRATE","TDP1","","","Active"
"CHEMBL365795","TIAPROFENIC ACID","BRCA1","","","active"
"CHEMBL1479103","HAEMATOXYLIN","ALPI","","","Active"
"CHEMBL1980391","RG-1530","IRAK4","","","active"
"CHEMBL1117","IDARUBICIN","POLB","","","Active"
"CHEMBL122972","2-ARACHIDONOYLGLYCEROL","HPGD","","","Active"
"CHEMBL180101","ESREBOXETINE","CYP3A4","","","Active"
"CHEMBL599255","CB7969312","PLK1","","","active"
"CHEMBL456295","OXOPURPUREINE","GMNN","","","active"
"CHEMBL2071528","ALTISSIMACOUMARIN F","SIRT1","22799262","","Active"
"CHEMBL7724","AG1295","ATAD5","","","active"
"CHEMBL1433292","QUINALDINE BLUE","BLM","","","Active"
"CHEMBL1200563","CERIVASTATIN SODIUM","AR","","","active"
"CHEMBL1725279","SP-600125","HIPK4","","","active"
"CHEMBL1889303","1,7-O-DIACETYLMETHYLGEOPYXIN A","TARDBP","","","active"
"CHEMBL1897070","TEBUFENPYRAD","TP53","","","active"
"CHEMBL64925","MG-132","PSMB1","24321833","","Active"
"CHEMBL210208","PYROGALLOL RED","RELA","16759101","","Active"
"CHEMBL1475693","FAMPROFAZONE","CYP3A4","","","Active"
