ensembl_id	ensembl_gene_symbol	ensembl_gene_biotype
ENSG00000119314	PTBP3	PROTEIN_CODING
ENSG00000264183	AC091038.1	MIRNA
ENSG00000232952	RP11-90H3.1	PSEUDOGENE
ENSG00000225877	AC004603.4	LINCRNA
ENSG00000230830	ARPP21-AS1	ANTISENSE
ENSG00000196652	ZKSCAN5	PROTEIN_CODING
ENSG00000100568	VTI1B	PROTEIN_CODING
ENSG00000265156	SNORD52	SNORNA
ENSG00000201231	U4	SNRNA
ENSG00000263538	AC097103.1	MIRNA
ENSG00000249913	RP4-671G15.2	ANTISENSE
ENSG00000108468	CBX1	PROTEIN_CODING
ENSG00000176566	DCAF4L2	PROTEIN_CODING
ENSG00000236377	AC084809.3	LINCRNA
ENSG00000265161	AC011293.1	MIRNA
ENSG00000235430	ZSWIM5P1	PSEUDOGENE
ENSG00000253634	RP11-587H10.2	LINCRNA
ENSG00000248165	RP11-44F21.2	ANTISENSE
ENSG00000189132	FAM47B	PROTEIN_CODING
ENSG00000259464	RP11-14C10.1	PSEUDOGENE
ENSG00000264788	MIR3148	MIRNA
ENSG00000252268	RN5S417	RRNA
ENSG00000260105	RP11-506G7.1	PSEUDOGENE
ENSG00000259611	CTD-2544M6.2	LINCRNA
ENSG00000228135	AC073128.10	ANTISENSE
ENSG00000130349	C6ORF203	PROTEIN_CODING
ENSG00000113163	COL4A3BP	PROTEIN_CODING
ENSG00000224855	OPA1-AS1	ANTISENSE
ENSG00000232977	LINC00327	LINCRNA
ENSG00000182333	LIPF	PROTEIN_CODING
ENSG00000155760	FZD7	PROTEIN_CODING
ENSG00000263245	AC012314.6	ANTISENSE
ENSG00000125266	EFNB2	PROTEIN_CODING
ENSG00000207137	SNORD116-13	SNORNA
ENSG00000264966	MIR5094	MIRNA
ENSG00000211876	TRAJ13	TR_J_GENE
ENSG00000235926	RP13-650G11.1	PSEUDOGENE
ENSG00000227841	MTND5P31	PSEUDOGENE
ENSG00000107404	DVL1	PROTEIN_CODING
ENSG00000227666	RP11-490F3.1	PSEUDOGENE
ENSG00000228964	HLA-B	PROTEIN_CODING
ENSG00000206874	SNORD26	SNORNA
ENSG00000241880	RPL23AP1	PSEUDOGENE
ENSG00000232415	CTB-51J22.1	ANTISENSE
ENSG00000105829	BET1	PROTEIN_CODING
ENSG00000249494	CTB-161M19.4	ANTISENSE
ENSG00000222899	AL110292.1	MIRNA
ENSG00000262709	Y_RNA	MISC_RNA
ENSG00000261424	RP11-490B18.3	PSEUDOGENE
ENSG00000202027	Y_RNA	MISC_RNA
ENSG00000222419	RN5S511	RRNA
ENSG00000257379	RP11-793H13.8	PROCESSED_TRANSCRIPT
ENSG00000160111	CPAMD8	PROTEIN_CODING
ENSG00000165985	C1QL3	PROTEIN_CODING
ENSG00000169026	MFSD7	PROTEIN_CODING
ENSG00000196220	SRGAP3	PROTEIN_CODING
ENSG00000232811	RP11-96K19.2	ANTISENSE
ENSG00000131238	PPT1	PROTEIN_CODING
ENSG00000215206	TRBV24OR9-2	TR_V_PSEUDOGENE
ENSG00000206435	HLA-C	PROTEIN_CODING
ENSG00000232044	AC073479.1	LINCRNA
ENSG00000088451	TGDS	PROTEIN_CODING
ENSG00000240057	RP11-572M11.4	ANTISENSE
ENSG00000257325	RP11-263E1.1	ANTISENSE
ENSG00000229866	OR2J3	PROTEIN_CODING
ENSG00000239001	U6	SNRNA
ENSG00000099330	OCEL1	PROTEIN_CODING
ENSG00000155792	DEPTOR	PROTEIN_CODING
ENSG00000234890	AC008070.1	PSEUDOGENE
ENSG00000218890	NUFIP1P	PSEUDOGENE
ENSG00000266013	CTD-2206N4.2	LINCRNA
ENSG00000224028	AC073928.2	LINCRNA
ENSG00000262775	CNOT3	PROTEIN_CODING
ENSG00000238692	SNOU13	SNORNA
ENSG00000101146	RAE1	PROTEIN_CODING
ENSG00000266854	AP003096.1	MIRNA
ENSG00000252219	AL445258.2	MIRNA
ENSG00000206491	PRR3	PROTEIN_CODING
ENSG00000105053	VRK3	PROTEIN_CODING
ENSG00000121671	CRY2	PROTEIN_CODING
ENSG00000226724	RP11-795A2.3	PSEUDOGENE
ENSG00000197550	RP11-460N11.2	PSEUDOGENE
ENSG00000100577	GSTZ1	PROTEIN_CODING
ENSG00000256691	RP11-476M19.3	ANTISENSE
ENSG00000241002	RP11-119H12.1	PSEUDOGENE
ENSG00000241406	METAZOA_SRP	MISC_RNA
ENSG00000236697	GPSM3	PROTEIN_CODING
ENSG00000213963	AC074286.1	PROCESSED_TRANSCRIPT
ENSG00000211590	MIR802	MIRNA
ENSG00000235777	DPYD-AS2	ANTISENSE
ENSG00000216179	MIR541	MIRNA
ENSG00000230718	RP11-272L13.2	PSEUDOGENE
ENSG00000231004	CECR9	PROCESSED_TRANSCRIPT
ENSG00000223450	RP11-52I18.1	PSEUDOGENE
ENSG00000266052	MIR4500	MIRNA
ENSG00000078114	NEBL	PROTEIN_CODING
ENSG00000259026	RP11-907D1.1	LINCRNA
ENSG00000263923	RP11-571L19.7	PROCESSED_TRANSCRIPT
ENSG00000181852	RNF41	PROTEIN_CODING
ENSG00000167553	TUBA1C	PROTEIN_CODING
ENSG00000211638	IGLV8-61	IG_V_GENE
ENSG00000235136	RP13-146A14.1	PSEUDOGENE
ENSG00000251818	SCARNA20	SNORNA
ENSG00000205946	USP17L6P	PSEUDOGENE
ENSG00000132139	GAS2L2	PROTEIN_CODING
ENSG00000082258	CCNT2	PROTEIN_CODING
ENSG00000116062	MSH6	PROTEIN_CODING
ENSG00000254496	CBX3P8	PSEUDOGENE
ENSG00000207139	Y_RNA	MISC_RNA
ENSG00000235532	LINC00402	LINCRNA
ENSG00000263235	RP11-461A8.4	SENSE_OVERLAPPING
ENSG00000211855	TRAJ34	TR_J_GENE
ENSG00000175841	FAM172BP	PSEUDOGENE
ENSG00000186577	C6ORF1	PROTEIN_CODING
ENSG00000197943	PLCG2	PROTEIN_CODING
ENSG00000224634	ZNF736P6Y	PSEUDOGENE
ENSG00000154222	CC2D1B	PROTEIN_CODING
ENSG00000207339	U1	SNRNA
ENSG00000047315	POLR2B	PROTEIN_CODING
ENSG00000224310	AC012317.1	LINCRNA
ENSG00000265297	U1	SNRNA
ENSG00000215866	RP11-426L16.8	LINCRNA
ENSG00000186281	GPAT2	PROTEIN_CODING
ENSG00000199994	RN5S145	RRNA
ENSG00000143217	PVRL4	PROTEIN_CODING
ENSG00000244550	RP5-905H7.3	PROCESSED_TRANSCRIPT
ENSG00000162636	FAM102B	PROTEIN_CODING
ENSG00000232394	AC090696.2	ANTISENSE
ENSG00000115159	GPD2	PROTEIN_CODING
ENSG00000255080	RP11-1082L8.3	LINCRNA
ENSG00000257318	AC138688.3	PROTEIN_CODING
ENSG00000044115	CTNNA1	PROTEIN_CODING
ENSG00000223350	IGLV9-49	IG_V_GENE
ENSG00000203914	HSP90B3P	PSEUDOGENE
ENSG00000207590	MIR215	MIRNA
ENSG00000219592	NCSTNP1	PSEUDOGENE
ENSG00000212694	AC084018.1	LINCRNA
ENSG00000263046	CEP95	PROTEIN_CODING
ENSG00000251779	Y_RNA	MISC_RNA
ENSG00000240341	AL162853.1	MIRNA
ENSG00000137321	RANP1	PSEUDOGENE
ENSG00000237877	AC097500.2	LINCRNA
ENSG00000088766	CRLS1	PROTEIN_CODING
ENSG00000249581	CLRN2	PROTEIN_CODING
ENSG00000143921	ABCG8	PROTEIN_CODING
ENSG00000221779	AL590403.1	MIRNA
ENSG00000244245	RP11-120B7.1	PSEUDOGENE
ENSG00000238636	SNOU13	SNORNA
ENSG00000234650	PCCA-AS1	ANTISENSE
ENSG00000198211	TUBB3	PROTEIN_CODING
ENSG00000251014	RP11-159K7.1	PSEUDOGENE
ENSG00000223986	RP11-528A4.3	PSEUDOGENE
ENSG00000143457	GOLPH3L	PROTEIN_CODING
ENSG00000207930	MIR603	MIRNA
ENSG00000132612	VPS4A	PROTEIN_CODING
ENSG00000225612	AC099552.2	LINCRNA
ENSG00000258534	CTD-2134A5.4	LINCRNA
ENSG00000185269	NOTUM	PROTEIN_CODING
ENSG00000163481	RNF25	PROTEIN_CODING
ENSG00000239624	CU013544.1	MIRNA
ENSG00000222833	AC069067.1	MIRNA
ENSG00000240590	RP11-403P13.1	PSEUDOGENE
ENSG00000145868	FBXO38	PROTEIN_CODING
ENSG00000070669	ASNS	PROTEIN_CODING
ENSG00000219451	RPL23P8	PSEUDOGENE
ENSG00000198899	MT-ATP6	PROTEIN_CODING
ENSG00000157306	RP11-66N24.4	PROCESSED_TRANSCRIPT
ENSG00000178585	CTNNBIP1	PROTEIN_CODING
ENSG00000234921	RP11-85O21.5	ANTISENSE
ENSG00000229903	HCG23	PROCESSED_TRANSCRIPT
ENSG00000257773	ST13P3	PSEUDOGENE
ENSG00000184730	APOBR	PROTEIN_CODING
ENSG00000215930	MIR942	MIRNA
ENSG00000248362	CTC-327F10.5	ANTISENSE
ENSG00000253138	RP11-366K18.3	LINCRNA
ENSG00000240254	B4GALT4-AS1	ANTISENSE
ENSG00000181101	SDCCAG3P2	PSEUDOGENE
ENSG00000213735	ANAPC10P1	PSEUDOGENE
ENSG00000187550	SBK2	PROTEIN_CODING
ENSG00000258357	RP11-778J16.2	PSEUDOGENE
ENSG00000077312	SNRPA	PROTEIN_CODING
ENSG00000234397	RP11-415K20.1	PSEUDOGENE
ENSG00000206846	Y_RNA	MISC_RNA
ENSG00000255403	AP000641.1	PSEUDOGENE
ENSG00000132275	RRP8	PROTEIN_CODING
ENSG00000204160	ZDHHC18	PROTEIN_CODING
ENSG00000237628	RP11-522L3.4	PSEUDOGENE
ENSG00000221040	U3	SNORNA
ENSG00000240905	METAZOA_SRP	MISC_RNA
ENSG00000115310	RTN4	PROTEIN_CODING
ENSG00000224122	POU6F2-AS1	ANTISENSE
ENSG00000119669	IRF2BPL	PROTEIN_CODING
ENSG00000248946	RP11-1281K21.7	PSEUDOGENE
ENSG00000257829	RP11-845M18.6	PROCESSED_TRANSCRIPT
ENSG00000240427	RPS26P34	PSEUDOGENE
ENSG00000186063	AIDA	PROTEIN_CODING
ENSG00000223829	AC004870.4	LINCRNA
ENSG00000180376	CCDC66	PROTEIN_CODING
ENSG00000243720	RPL21P127	PSEUDOGENE
ENSG00000255446	CTD-2531D15.4	ANTISENSE
ENSG00000010319	SEMA3G	PROTEIN_CODING
ENSG00000260527	RP11-73O6.4	PROTEIN_CODING
ENSG00000254131	RP11-1007J8.1	PSEUDOGENE
ENSG00000159712	ANKRD18CP	PROCESSED_TRANSCRIPT
ENSG00000074356	C17ORF85	PROTEIN_CODING
ENSG00000241484	ARHGAP8	PROTEIN_CODING
ENSG00000007384	RHBDF1	PROTEIN_CODING
ENSG00000145861	C1QTNF2	PROTEIN_CODING
ENSG00000199311	SNORD115-34	SNORNA
ENSG00000265183	SNORD60	SNORNA
ENSG00000231691	RP11-203F10.5	ANTISENSE
ENSG00000232314	PSMC1P13	PSEUDOGENE
ENSG00000261457	AC002519.6	PSEUDOGENE
ENSG00000199444	Y_RNA	MISC_RNA
ENSG00000222268	RN5S425	RRNA
ENSG00000254089	RP11-388K12.2	LINCRNA
ENSG00000222741	RN5S229	RRNA
ENSG00000252640	SNOU109	SNORNA
ENSG00000129559	NEDD8	PROTEIN_CODING
ENSG00000253940	CTD-2127O16.2	PSEUDOGENE
ENSG00000231200	AC068490.2	LINCRNA
ENSG00000186051	TAL2	PROTEIN_CODING
ENSG00000175518	UBQLNL	PROTEIN_CODING
ENSG00000254893	RP11-466P24.2	PSEUDOGENE
ENSG00000199782	SNORD115-9	SNORNA
ENSG00000222522	U6	SNRNA
ENSG00000234701	PRDX3P3	PSEUDOGENE
ENSG00000256683	ZNF350	PROTEIN_CODING
ENSG00000234133	AC005154.9	LINCRNA
ENSG00000229356	LRRC3-AS1	ANTISENSE
ENSG00000226936	B3GALT4	PROTEIN_CODING
ENSG00000233892	PAIP1P1	PSEUDOGENE
ENSG00000259313	CTA-313A17.5	LINCRNA
ENSG00000041353	RAB27B	PROTEIN_CODING
ENSG00000233782	ZNF90P3	PSEUDOGENE
ENSG00000203623	C6ORF47	PROTEIN_CODING
ENSG00000081985	IL12RB2	PROTEIN_CODING
ENSG00000266778	AC068312.1	MIRNA
ENSG00000224278	RP11-405P11.1	PSEUDOGENE
ENSG00000232433	RP11-341A11.2	PSEUDOGENE
ENSG00000264264	METAZOA_SRP	MISC_RNA
ENSG00000148229	POLE3	PROTEIN_CODING
ENSG00000237075	RP11-497H16.2	PSEUDOGENE
ENSG00000129152	MYOD1	PROTEIN_CODING
ENSG00000223680	DDR1	PROTEIN_CODING
ENSG00000263833	Y_RNA	MISC_RNA
ENSG00000235050	MLIP-AS1	ANTISENSE
ENSG00000185264	TEX33	PROTEIN_CODING
ENSG00000143545	RAB13	PROTEIN_CODING
ENSG00000197213	ZSCAN5B	PROTEIN_CODING
ENSG00000092470	WDR76	PROTEIN_CODING
ENSG00000215522	DDR1	PROTEIN_CODING
ENSG00000264644	KRT18P8	PSEUDOGENE
ENSG00000119688	ABCD4	PROTEIN_CODING
ENSG00000180662	RP11-382E15.1	PSEUDOGENE
ENSG00000155622	XAGE2B	PROTEIN_CODING
ENSG00000149328	GLB1L2	PROTEIN_CODING
ENSG00000204291	COL15A1	PROTEIN_CODING
ENSG00000263599	METAZOA_SRP	MISC_RNA
ENSG00000236601	RP4-669L17.2	LINCRNA
ENSG00000170989	S1PR1	PROTEIN_CODING
ENSG00000108381	ASPA	PROTEIN_CODING
ENSG00000250637	RP11-359P18.1	PSEUDOGENE
ENSG00000182118	FAM89A	PROTEIN_CODING
ENSG00000162739	SLAMF6	PROTEIN_CODING
ENSG00000239930	AP001625.4	PROCESSED_TRANSCRIPT
ENSG00000251334	RP11-317G22.2	PSEUDOGENE
ENSG00000139168	ZCRB1	PROTEIN_CODING
ENSG00000263064	AC118758.2	PROTEIN_CODING
ENSG00000255345	CTD-2337I7.1	LINCRNA
ENSG00000212864	RNF208	PROTEIN_CODING
ENSG00000254508	RP11-646J21.5	ANTISENSE
ENSG00000238895	SNOU13	SNORNA
ENSG00000234732	AC092841.3	PSEUDOGENE
ENSG00000198939	ZFP2	PROTEIN_CODING
ENSG00000124164	VAPB	PROTEIN_CODING
ENSG00000228392	RP11-343J18.1	LINCRNA
ENSG00000254879	AC103828.1	ANTISENSE
ENSG00000223449	RP11-93P10.2	PSEUDOGENE
ENSG00000237050	TRIM31-AS1	PROCESSED_TRANSCRIPT
ENSG00000212961	RP11-632K5.5	PSEUDOGENE
ENSG00000229335	RP1-241P17.1	ANTISENSE
ENSG00000136834	OR1J1	PROTEIN_CODING
ENSG00000237614	AC073257.2	LINCRNA
ENSG00000187003	ACTL7A	PROTEIN_CODING
ENSG00000260471	AC009120.8	PSEUDOGENE
ENSG00000233010	CTA-256D12.12	PSEUDOGENE
ENSG00000263178	RPL13P	PSEUDOGENE
ENSG00000253339	RP11-434I12.3	LINCRNA
ENSG00000166974	MAPRE2	PROTEIN_CODING
ENSG00000140650	PMM2	PROTEIN_CODING
ENSG00000225942	AC093326.2	LINCRNA
ENSG00000130856	ZNF236	PROTEIN_CODING
ENSG00000228252	COL6A4P2	PSEUDOGENE
ENSG00000162704	ARPC5	PROTEIN_CODING
ENSG00000199921	U6	SNRNA
ENSG00000175305	CCNE2	PROTEIN_CODING
ENSG00000257223	CR753309.1	PSEUDOGENE
ENSG00000096006	CRISP3	PROTEIN_CODING
ENSG00000196810	CTBP1-AS1	PROCESSED_TRANSCRIPT
ENSG00000171396	KRTAP4-4	PROTEIN_CODING
ENSG00000204764	RANBP17	PROTEIN_CODING
ENSG00000136982	DSCC1	PROTEIN_CODING
ENSG00000224167	RP3-522D1.1	LINCRNA
ENSG00000134588	USP26	PROTEIN_CODING
ENSG00000107566	ERLIN1	PROTEIN_CODING
ENSG00000145919	BOD1	PROTEIN_CODING
ENSG00000184792	OSBP2	PROTEIN_CODING
ENSG00000260880	RP11-346C20.2	LINCRNA
ENSG00000265589	AL359753.1	MIRNA
ENSG00000248925	CTD-2083E4.6	ANTISENSE
ENSG00000225109	PAIP1P1	PSEUDOGENE
ENSG00000151746	BICD1	PROTEIN_CODING
ENSG00000163125	RPRD2	PROTEIN_CODING
ENSG00000065613	SLK	PROTEIN_CODING
ENSG00000241599	RP11-34P13.9	LINCRNA
ENSG00000258417	RP11-240B13.2	PROTEIN_CODING
ENSG00000226782	RP11-706D8.3	LINCRNA
ENSG00000244565	RP11-222O23.1	PSEUDOGENE
ENSG00000228295	LINC00392	LINCRNA
ENSG00000200287	Y_RNA	MISC_RNA
ENSG00000230132	RP5-1193P9.2	PSEUDOGENE
ENSG00000250550	PPBPP1	PSEUDOGENE
ENSG00000237436	RP11-312B8.1	ANTISENSE
ENSG00000178665	ZNF713	PROTEIN_CODING
ENSG00000229432	C6ORF15	PROTEIN_CODING
ENSG00000168646	AXIN2	PROTEIN_CODING
ENSG00000141371	C17ORF64	PROTEIN_CODING
ENSG00000014914	MTMR11	PROTEIN_CODING
ENSG00000207168	SNORA15	SNORNA
ENSG00000265135	MIR5687	MIRNA
ENSG00000266723	RP11-533N14.3	LINCRNA
ENSG00000263473	MIR548O2	MIRNA
ENSG00000238315	AL360154.2	MIRNA
ENSG00000225648	SBDSP1	PSEUDOGENE
ENSG00000260035	CTD-2651B20.6	SENSE_INTRONIC
ENSG00000231416	RP11-422P24.9	PSEUDOGENE
ENSG00000229835	KHSRPP1	PSEUDOGENE
ENSG00000113391	FAM172A	PROTEIN_CODING
ENSG00000231118	PPIAP9	PSEUDOGENE
ENSG00000204913	LRRC3C	PROTEIN_CODING
ENSG00000207781	MIR625	MIRNA
ENSG00000229018	RP11-313P13.3	PSEUDOGENE
ENSG00000233579	KRT8P15	PSEUDOGENE
ENSG00000234729	AGER	PROTEIN_CODING
ENSG00000227597	AC019100.7	PSEUDOGENE
ENSG00000263062	NAIP	PROTEIN_CODING
ENSG00000241539	RP11-740N7.4	PSEUDOGENE
ENSG00000253099	U2	SNRNA
ENSG00000254342	RP11-726G23.6	PSEUDOGENE
ENSG00000252092	AC098830.1	MIRNA
ENSG00000230661	RP11-104F15.7	PSEUDOGENE
ENSG00000262495	RP11-46I8.1	PSEUDOGENE
ENSG00000066135	KDM4A	PROTEIN_CODING
ENSG00000234101	OR2W1	PROTEIN_CODING
ENSG00000251045	CTC-321K16.4	LINCRNA
ENSG00000241213	RP11-768G7.2	PROCESSED_TRANSCRIPT
ENSG00000152078	TMEM56	PROTEIN_CODING
ENSG00000151718	WWC2	PROTEIN_CODING
ENSG00000266701	AC005702.5	MIRNA
ENSG00000186594	MIR22HG	LINCRNA
ENSG00000229372	SZT2-AS1	ANTISENSE
ENSG00000238688	SNOU13	SNORNA
ENSG00000163331	DAPL1	PROTEIN_CODING
ENSG00000251517	RP11-109E24.1	LINCRNA
ENSG00000204188	GGNBP1	PROTEIN_CODING
ENSG00000243187	CCDC39-AS1	ANTISENSE
ENSG00000069849	ATP1B3	PROTEIN_CODING
ENSG00000241743	RP5-964N17.1	LINCRNA
ENSG00000264669	AL136090.1	MIRNA
ENSG00000174403	C20ORF166-AS1	ANTISENSE
ENSG00000228663	PSMD10P1	PSEUDOGENE
ENSG00000253240	IGHV3-36	IG_V_PSEUDOGENE
ENSG00000188755	TBC1D3P2	PSEUDOGENE
ENSG00000207867	MIR514A3	MIRNA
ENSG00000141569	TRIM65	PROTEIN_CODING
ENSG00000135476	ESPL1	PROTEIN_CODING
ENSG00000226667	RP11-292F22.5	LINCRNA
ENSG00000198380	GFPT1	PROTEIN_CODING
ENSG00000262729	GP6	PROTEIN_CODING
ENSG00000011143	MKS1	PROTEIN_CODING
ENSG00000152904	GGPS1	PROTEIN_CODING
ENSG00000206800	RNY3P7	MISC_RNA
ENSG00000115762	PLEKHB2	PROTEIN_CODING
ENSG00000164035	EMCN	PROTEIN_CODING
ENSG00000231267	PPIAL4E	PSEUDOGENE
ENSG00000199516	Y_RNA	MISC_RNA
ENSG00000241246	METAZOA_SRP	MISC_RNA
ENSG00000255291	RP11-701I24.1	PSEUDOGENE
ENSG00000129595	EPB41L4A	PROTEIN_CODING
ENSG00000248205	RP11-321E2.11	PSEUDOGENE
ENSG00000258562	CTD-2313J17.3	PSEUDOGENE
ENSG00000235305	DDX39BP2	PSEUDOGENE
ENSG00000225127	LINC00237	LINCRNA
ENSG00000168918	INPP5D	PROTEIN_CODING
ENSG00000254409	RP11-613D13.4	PROCESSED_TRANSCRIPT
ENSG00000125355	FAM70A	PROTEIN_CODING
ENSG00000231209	GLUD1P6	PSEUDOGENE
ENSG00000266612	HSA-MIR-1236	MIRNA
ENSG00000253141	CTB-164N12.1	LINCRNA
ENSG00000247199	RP11-373N22.3	LINCRNA
ENSG00000202189	SNORA30	SNORNA
ENSG00000248636	RP11-768F21.1	LINCRNA
ENSG00000136098	NEK3	PROTEIN_CODING
ENSG00000257043	RP11-137N23.1	PSEUDOGENE
ENSG00000238062	AC105344.2	LINCRNA
ENSG00000180305	WFDC10A	PROTEIN_CODING
ENSG00000260229	RP11-391L3.5	PSEUDOGENE
ENSG00000240403	KIR3DL2	PROTEIN_CODING
ENSG00000258693	RP11-436M15.3	LINCRNA
ENSG00000226867	RP13-77O11.8	PSEUDOGENE
ENSG00000040933	INPP4A	PROTEIN_CODING
ENSG00000224208	AL590762.6	PSEUDOGENE
ENSG00000258457	RP11-298I3.4	ANTISENSE
ENSG00000254696	RP11-72M10.7	PSEUDOGENE
ENSG00000206761	U3	SNORNA
ENSG00000241158	ADAMTS9-AS1	PROCESSED_TRANSCRIPT
ENSG00000255670	RP11-253I19.3	LINCRNA
ENSG00000265219	AC011652.1	MIRNA
ENSG00000223886	RP11-251G23.2	PSEUDOGENE
ENSG00000266145	RHOT1P1	PSEUDOGENE
ENSG00000166664	CHRFAM7A	PROTEIN_CODING
ENSG00000115944	COX7A2L	PROTEIN_CODING
ENSG00000115266	APC2	PROTEIN_CODING
ENSG00000265782	RP11-69D4.5	ANTISENSE
ENSG00000164896	FASTK	PROTEIN_CODING
ENSG00000158022	TRIM63	PROTEIN_CODING
ENSG00000201466	Y_RNA	MISC_RNA
ENSG00000264282	FAM25E	PROTEIN_CODING
ENSG00000004864	SLC25A13	PROTEIN_CODING
ENSG00000237167	AC128709.2	LINCRNA
ENSG00000213863	XX-C2158C12.2	LINCRNA
ENSG00000250293	RP11-369I16.1	PSEUDOGENE
ENSG00000236591	RP11-162J8.3	ANTISENSE
ENSG00000139613	SMARCC2	PROTEIN_CODING
ENSG00000151846	PABPC3	PROTEIN_CODING
ENSG00000237100	C6ORF136	PROTEIN_CODING
ENSG00000260536	RP5-1085F17.4	ANTISENSE
ENSG00000262635	TDO2	PROTEIN_CODING
ENSG00000252686	U6	SNRNA
ENSG00000265630	GLUD1P6	PSEUDOGENE
ENSG00000047188	YTHDC2	PROTEIN_CODING
ENSG00000198797	FAM5B	PROTEIN_CODING
ENSG00000092421	SEMA6A	PROTEIN_CODING
ENSG00000187266	EPOR	PROTEIN_CODING
ENSG00000113580	NR3C1	PROTEIN_CODING
ENSG00000111652	COPS7A	PROTEIN_CODING
ENSG00000158864	NDUFS2	PROTEIN_CODING
ENSG00000232004	CAP1P2	PSEUDOGENE
ENSG00000260216	TRBV7-6	TR_V_GENE
ENSG00000168268	NT5DC2	PROTEIN_CODING
ENSG00000166710	B2M	PROTEIN_CODING
ENSG00000202473	7SK	MISC_RNA
ENSG00000078142	PIK3C3	PROTEIN_CODING
ENSG00000207792	MIR151A	MIRNA
ENSG00000229897	SEPT7P7	PSEUDOGENE
ENSG00000207652	MIR621	MIRNA
ENSG00000221303	SNORA79	SNORNA
ENSG00000225413	AP000345.4	LINCRNA
