entrez_gene_symbol	gene_long_name	interaction_claim_source	interaction_types	drug_name	drug_primary_name
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB07626	4-(2-AMINOETHOXY)-N-(3-CHLORO-2-ETHOXY-5-PIPERIDIN-1-YLPHENYL)-3,5-DIMETHYLBENZAMIDE
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB06854	2-(2-HYDROXY-BIPHENYL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB02551	6-[N-(4-ETHYL-1,2,3,4-TETRAHYDRO-6-ISOQUINOLINYL)CARBAMYL]-2-NAPHTHALENECARBOXAMIDINE
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB01905	2-(2-HYDROXY-5-METHOXY-PHENYL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB02473	6-[N-(1-ISOPROPYL-3,4-DIHYDRO-7-ISOQUINOLINYL)CARBAMYL]-2-NAPHTHALENECARBOXAMIDINE
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB06856	6-FLUORO-2-[2-HYDROXY-3-(2-METHYL-CYCLOHEXYLOXY)-PHENYL]-1H-INDOLE-5-CARBOXAMIDINE
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB03127	BENZAMIDINE
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB02705	6-[N-(1-ISOPROPYL-1,2,3,4-TETRAHYDRO-7-ISOQUINOLINYL)CARBAMYL]-2-NAPHTHALENECARBOXAMIDINE
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB06855	6-FLUORO-2-(2-HYDROXY-3-ISOBUTOXY-PHENYL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB03729	2-AMINO-5-HYDROXY-BENZIMIDAZOLE
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB03159	CRA_8696
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB00013	UROKINASE
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB02398	6-[N-(4-(AMINOMETHYL)PHENYL)CARBAMYL]-2-NAPHTHALENECARBOXAMIDINE
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB03476	TRANS-6-(2-PHENYLCYCLOPROPYL)-NAPHTHALENE-2-CARBOXAMIDINE
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB07625	4-(2-AMINOETHOXY)-N-(2,5-DIETHOXYPHENYL)-3,5-DIMETHYLBENZAMIDE
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB07129	(2R)-1-(2,6-DIMETHYLPHENOXY)PROPAN-2-AMINE
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB02526	CRA_10655
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	DrugBank	n/a	DB07999	{4-[(CARBOXYMETHOXY)CARBONYL]-3,3-DIOXIDO-1-OXONAPHTHO[1,2-D]ISOTHIAZOL-2(1H)-YL}ACETIC ACID
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	DrugBank	n/a	DB04272	CITRIC ACID
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	DrugBank	inhibitor	DB02712	SORBINIL
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	DrugBank	n/a	DB01689	INHIBITOR IDD 384
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	DrugBank	n/a	DB07028	(2-{[(4-BROMO-2-FLUOROBENZYL)AMINO]CARBONYL}-5-CHLOROPHENOXY)ACETIC ACID
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	DrugBank	n/a	DB00157	NADH
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	DrugBank	n/a	DB07187	6-[(5-CHLORO-3-METHYL-1-BENZOFURAN-2-YL)SULFONYL]PYRIDAZIN-3(2H)-ONE
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	DrugBank	n/a	DB03461	2'-MONOPHOSPHOADENOSINE 5'-DIPHOSPHORIBOSE
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	DrugBank	n/a	DB08772	3,4-DIHYDRO-4-OXO-3-((5-TRIFLUOROMETHYL-2-BENZOTHIAZOLYL)METHYL)-1-PHTHALAZINE ACETIC ACID
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	DrugBank	inhibitor	DB02021	FIDARESTAT
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	DrugBank	n/a	DB07063	{3-[(4,5,7-TRIFLUORO-1,3-BENZOTHIAZOL-2-YL)METHYL]-1H-INDOL-1-YL}ACETIC ACID
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	DrugBank	n/a	DB02007	ALPHA-D-GLUCOSE-6-PHOSPHATE
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	DrugBank	n/a	DB07450	2[4-BROMO-2-FLUOROPHENYL)METHYL]-6-FLUOROSPIRO[ISOQUINOLINE-4-(1H),3'-PYRROLIDINE]-1,2',3,5'(2H)-TETRONE
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	DrugBank	n/a	DB02994	HYDROXYDIMETHYLARSINE OXIDE
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	DrugBank	n/a	DB02101	FIDARESTAT(STEREOISOMER)
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	DrugBank	n/a	DB02834	IDD552
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	DrugBank	inhibitor	DB02383	TOLRESTAT
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	DrugBank	n/a	DB07030	(5-CHLORO-2-{[(3-NITROBENZYL)AMINO]CARBONYL}PHENOXY)ACETIC ACID
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	DrugBank	n/a	DB07093	{3-[(5-CHLORO-1,3-BENZOTHIAZOL-2-YL)METHYL]-2,4-DIOXO-3,4-DIHYDROPYRIMIDIN-1(2H)-YL}ACETIC ACID
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	DrugBank	n/a	DB02518	N-ACETYLALANINE
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	DrugBank	n/a	DB07139	3-[5-(3-NITROPHENYL)THIOPHEN-2-YL]PROPANOIC ACID
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	DrugBank	n/a	DB02020	ALRESTATIN
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	DrugBank	n/a	DB08000	2-(CARBOXYMETHYL)-1-OXO-1,2-DIHYDRONAPHTHO[1,2-D]ISOTHIAZOLE-4-CARBOXYLIC ACID 3,3-DIOXIDE
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	DrugBank	n/a	DB02132	[3-(4-BROMO-2-FLUORO-BENZYL)-7-CHLORO-2,4-DIOXO-3,4-DIHYDRO-2H-QUINAZOLIN-1-YL]-ACETIC ACID
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	DrugBank	n/a	DB08449	2-(3-((4,5,7-TRIFLUOROBENZO[D]THIAZOL-2-YL)METHYL)-1H-PYRROLO[2,3-B]PYRIDIN-1-YL)ACETIC ACID
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	DrugBank	n/a	DB08098	{[5-(5-NITRO-2-FURYL)-1,3,4-OXADIAZOL-2-YL]THIO}ACETIC ACID
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	DrugBank	inhibitor	DB00605	SULINDAC
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	DrugBank	n/a	DB07498	4-[3-(3-NITROPHENYL)-1,2,4-OXADIAZOL-5-YL]BUTANOIC ACID
AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	DrugBank	n/a	DB08084	IDD594
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	antagonist	DB01224	QUETIAPINE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	antagonist	DB00363	CLOZAPINE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	antagonist	DB01242	CLOMIPRAMINE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	antagonist	DB00334	OLANZAPINE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	agonist	DB00574	FENFLURAMINE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	antagonist	DB01142	DOXEPIN
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	antagonist	DB01403	METHOTRIMEPRAZINE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	antagonist	DB00246	ZIPRASIDONE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	antagonist	DB01238	ARIPIPRAZOLE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	agonist	DB01186	PERGOLIDE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	antagonist	DB01267	PALIPERIDONE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	agonist	DB01454	3,4-METHYLENEDIOXYMETHAMPHETAMINE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	antagonist	DB00805	MINAPRINE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	agonist	DB01200	BROMOCRIPTINE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	agonist	DB00268	ROPINIROLE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	antagonist	DB01079	TEGASEROD
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	antagonist	DB01239	CHLORPROTHIXENE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	antagonist	DB00420	PROMAZINE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	antagonist	DB01149	NEFAZODONE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	antagonist	DB00247	METHYSERGIDE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	agonist	DB00714	APOMORPHINE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	antagonist	DB00370	MIRTAZAPINE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	antagonist	DB00193	TRAMADOL
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	antagonist	DB06144	SERTINDOLE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	agonist	DB00656	TRAZODONE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	unknown	DB00413	PRAMIPEXOLE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	agonist	DB01191	DEXFENFLURAMINE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	n/a	DB06594	AGOMELATINE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	antagonist	DB00777	PROPIOMAZINE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	antagonist	DB01392	YOHIMBINE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	antagonist	DB00734	RISPERIDONE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	antagonist	DB06148	MIANSERIN
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	antagonist	DB00434	CYPROHEPTADINE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	agonist	DB00248	CABERGOLINE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	agonist	DB00589	LISURIDE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	DrugBank	antagonist	DB00408	LOXAPINE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	TEND	n/a	ZIPRASIDONE	ZIPRASIDONE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	TEND	n/a	THIETHYLPERAZINE	THIETHYLPERAZINE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	TEND	n/a	CHLORPROTHIXENE	CHLORPROTHIXENE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	TEND	n/a	MIRTAZAPINE	MIRTAZAPINE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	TEND	n/a	SERTINDOLE	SERTINDOLE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	TEND	n/a	CLOZAPINE	CLOZAPINE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	TEND	n/a	MINAPRINE	MINAPRINE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	TEND	n/a	OLANZAPINE	OLANZAPINE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	TEND	n/a	QUETIAPINE	QUETIAPINE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	TEND	n/a	TRAMADOL	TRAMADOL
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	TEND	n/a	PROMAZINE	PROMAZINE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	TEND	n/a	PROPIOMAZINE	PROPIOMAZINE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	TEND	n/a	MIANSERIN	MIANSERIN
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	TEND	n/a	METHYSERGIDE	METHYSERGIDE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	PharmGKB	n/a	PA450688	OLANZAPINE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	PharmGKB	n/a	PA449061	CLOZAPINE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	PharmGKB	n/a	PA451257	RISPERIDONE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	PharmGKB	n/a	PA162565877	AMISULPRIDE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	PharmGKB	n/a	PA449841	HALOPERIDOL
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	PharmGKB	n/a	PA10074	ESCITALOPRAM
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	PharmGKB	n/a	PA451974	ZIPRASIDONE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	PharmGKB	n/a	PA161199368	ILOPERIDONE
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	PharmGKB	n/a	PA452233	ANTIPSYCHOTICS
HTR2C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	PharmGKB	n/a	PA451201	QUETIAPINE
OPRK1	opioid receptor, kappa 1	DrugBank	antagonist	DB00704	NALTREXONE
OPRK1	opioid receptor, kappa 1	DrugBank	antagonist	DB01548	DIPRENORPHINE
OPRK1	opioid receptor, kappa 1	DrugBank	antagonist	DB01183	NALOXONE
OPRK1	opioid receptor, kappa 1	DrugBank	agonist	DB01497	ETORPHINE
OPRK1	opioid receptor, kappa 1	DrugBank	agonist	DB01571	3-METHYLFENTANYL
OPRK1	opioid receptor, kappa 1	DrugBank	antagonist	DB00921	BUPRENORPHINE
OPRK1	opioid receptor, kappa 1	DrugBank	agonist	DB00321	AMITRIPTYLINE
OPRK1	opioid receptor, kappa 1	DrugBank	agonist	DB01565	DIHYDROMORPHINE
OPRK1	opioid receptor, kappa 1	DrugBank	other	DB00708	SUFENTANIL
OPRK1	opioid receptor, kappa 1	DrugBank	antagonist	DB06274	ALVIMOPAN
OPRK1	opioid receptor, kappa 1	DrugBank	agonist	DB01452	HEROIN
OPRK1	opioid receptor, kappa 1	DrugBank	agonist	DB00899	REMIFENTANIL
OPRK1	opioid receptor, kappa 1	DrugBank	agonist	DB01439	3-METHYLTHIOFENTANYL
OPRK1	opioid receptor, kappa 1	DrugBank	agonist	DB00611	BUTORPHANOL
OPRK1	opioid receptor, kappa 1	DrugBank	antagonist	DB00647	PROPOXYPHENE
OPRK1	opioid receptor, kappa 1	DrugBank	agonist	DB00844	NALBUPHINE
OPRK1	opioid receptor, kappa 1	DrugBank	n/a	DB00454	MEPERIDINE
OPRK1	opioid receptor, kappa 1	DrugBank	agonist	DB00497	OXYCODONE
OPRK1	opioid receptor, kappa 1	DrugBank	agonist	DB00193	TRAMADOL
OPRK1	opioid receptor, kappa 1	DrugBank	agonist	DB00825	MENTHOL
OPRK1	opioid receptor, kappa 1	DrugBank	partial agonist	DB00318	CODEINE
OPRK1	opioid receptor, kappa 1	DrugBank	agonist	DB00652	PENTAZOCINE
OPRK1	opioid receptor, kappa 1	DrugBank	agonist	DB00370	MIRTAZAPINE
OPRK1	opioid receptor, kappa 1	DrugBank	agonist	DB00813	FENTANYL
OPRK1	opioid receptor, kappa 1	DrugBank	agonist	DB01535	CARFENTANIL
OPRK1	opioid receptor, kappa 1	DrugBank	antagonist	DB01209	DEZOCINE
OPRK1	opioid receptor, kappa 1	DrugBank	agonist	DB00854	LEVORPHANOL
OPRK1	opioid receptor, kappa 1	DrugBank	agonist	DB00836	LOPERAMIDE
OPRK1	opioid receptor, kappa 1	DrugBank	agonist	DB00327	HYDROMORPHONE
OPRK1	opioid receptor, kappa 1	DrugBank	agonist	DB00295	MORPHINE
OPRK1	opioid receptor, kappa 1	TTD	antagonist	DAP001100	DEZOCINE
OPRK1	opioid receptor, kappa 1	TTD	agonist	DCL000704	ASIMADOLINE
OPRK1	opioid receptor, kappa 1	TTD	antagonist	DPR000053	GNTI
OPRK1	opioid receptor, kappa 1	TEND	n/a	DEZOCINE	DEZOCINE
OPRK1	opioid receptor, kappa 1	TEND	n/a	MEPERIDINE	MEPERIDINE
OPRK1	opioid receptor, kappa 1	TEND	n/a	NALTREXONE	NALTREXONE
OPRK1	opioid receptor, kappa 1	TEND	n/a	HYDROMORPHONE	HYDROMORPHONE
OPRK1	opioid receptor, kappa 1	TEND	n/a	BUTORPHANOL	BUTORPHANOL
OPRK1	opioid receptor, kappa 1	TEND	n/a	COCAINE	COCAINE
OPRK1	opioid receptor, kappa 1	TEND	n/a	BUPRENORPHINE	BUPRENORPHINE
OPRK1	opioid receptor, kappa 1	TEND	n/a	NALBUPHINE	NALBUPHINE
OPRK1	opioid receptor, kappa 1	TEND	n/a	HYDROCODONE	HYDROCODONE
OPRK1	opioid receptor, kappa 1	TEND	n/a	TRAMADOL	TRAMADOL
OPRK1	opioid receptor, kappa 1	TEND	n/a	PENTAZOCINE	PENTAZOCINE
OPRK1	opioid receptor, kappa 1	TEND	n/a	CODEINE	CODEINE
OPRK1	opioid receptor, kappa 1	TEND	n/a	PROPOXYPHENE	PROPOXYPHENE
OPRK1	opioid receptor, kappa 1	TEND	n/a	MORPHINE	MORPHINE
OPRK1	opioid receptor, kappa 1	TEND	n/a	OXYCODONE	OXYCODONE
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB00334	OLANZAPINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB00450	DROPERIDOL
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB00346	ALFUZOSIN
ADRA1A	adrenoceptor alpha 1A	DrugBank	agonist	DB01200	BROMOCRIPTINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB00363	CLOZAPINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	agonist	DB00935	OXYMETAZOLINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	agonist	DB00449	DIPIVEFRIN
ADRA1A	adrenoceptor alpha 1A	DrugBank	agonist	DB00852	PSEUDOEPHEDRINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	agonist	DB06707	LEVONORDEFRIN
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB01238	ARIPIPRAZOLE
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB01287	DIHYDROERGOTOXINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	n/a	DB01364	EPHEDRINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	agonist	DB00964	APRACLONIDINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	agonist	DB00368	NOREPINEPHRINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB00543	AMOXAPINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	agonist	DB00668	EPINEPHRINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB01267	PALIPERIDONE
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB00477	CHLORPROMAZINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB00321	AMITRIPTYLINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	agonist	DB01186	PERGOLIDE
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB01403	METHOTRIMEPRAZINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	agonist	DB06262	DROXIDOPA
ADRA1A	adrenoceptor alpha 1A	DrugBank	agonist	DB01579	PHENDIMETRAZINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB01224	QUETIAPINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB00246	ZIPRASIDONE
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB01142	DOXEPIN
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB00298	DAPIPRAZOLE
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB00598	LABETALOL
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB00925	PHENOXYBENZAMINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB01614	ACEPROMAZINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB00420	PROMAZINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB01149	NEFAZODONE
ADRA1A	adrenoceptor alpha 1A	DrugBank	agonist	DB01253	ERGONOVINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	unknown	DB00751	EPINASTINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB00875	FLUPENTHIXOL
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB00458	IMIPRAMINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB00934	MAPROTILINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	agonist	DB00699	NICERGOLINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB00831	TRIFLUOPERAZINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	n/a	DB01576	DEXTROAMPHETAMINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB00457	PRAZOSIN
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB01136	CARVEDILOL
ADRA1A	adrenoceptor alpha 1A	DrugBank	agonist	DB00397	PHENYLPROPANOLAMINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB00726	TRIMIPRAMINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB00540	NORTRIPTYLINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	unknown	DB01069	PROMETHAZINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB01624	ZUCLOPENTHIXOL
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB01049	ERGOLOID MESYLATE
ADRA1A	adrenoceptor alpha 1A	DrugBank	agonist	DB00211	MIDODRINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	n/a	DB00388	PHENYLEPHRINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	antagonist	DB01162	TERAZOSIN
ADRA1A	adrenoceptor alpha 1A	DrugBank	partial agonist	DB00696	ERGOTAMINE
ADRA1A	adrenoceptor alpha 1A	DrugBank	agonist	DB00610	METARAMINOL
ADRA1A	adrenoceptor alpha 1A	DrugBank	agonist	DB01365	MEPHENTERMINE
