entrez_gene_symbol	gene_long_name	category_sources	category
ABCA3 	ATP-binding cassette, sub-family A (ABC1), member 3 	GO	TRANSPORTER
ABCA3 	ATP-binding cassette, sub-family A (ABC1), member 3 	RussLampel	DRUGGABLE GENOME
ABCA4 	ATP-binding cassette, sub-family A (ABC1), member 4 	GO	ABC TRANSPORTER
ABCA4 	ATP-binding cassette, sub-family A (ABC1), member 4 	GO	TRANSPORTER
ABCA4 	ATP-binding cassette, sub-family A (ABC1), member 4 	RussLampel	DRUGGABLE GENOME
ABCA5 	ATP-binding cassette, sub-family A (ABC1), member 5 	RussLampel	DRUGGABLE GENOME
ABCA6 	ATP-binding cassette, sub-family A (ABC1), member 6 	RussLampel	DRUGGABLE GENOME
ABCA7 	ATP-binding cassette, sub-family A (ABC1), member 7 	GO	TRANSPORTER
ABCA7 	ATP-binding cassette, sub-family A (ABC1), member 7 	RussLampel	DRUGGABLE GENOME
ABCA8 	ATP-binding cassette, sub-family A (ABC1), member 8 	GO	ABC TRANSPORTER
ABCA8 	ATP-binding cassette, sub-family A (ABC1), member 8 	GO	TRANSPORTER
ABCA8 	ATP-binding cassette, sub-family A (ABC1), member 8 	RussLampel	DRUGGABLE GENOME
ABCA9 	ATP-binding cassette, sub-family A (ABC1), member 9 	RussLampel	DRUGGABLE GENOME
ABCB1 	ATP-binding cassette, sub-family B (MDR/TAP), member 1 	GO	CELL SURFACE
ABCB1 	ATP-binding cassette, sub-family B (MDR/TAP), member 1 	GO	DRUG RESISTANCE
ABCB1 	ATP-binding cassette, sub-family B (MDR/TAP), member 1 	GO	TRANSPORTER
ABCB1 	ATP-binding cassette, sub-family B (MDR/TAP), member 1 	GO, HopkinsGroom	ABC TRANSPORTER
ABCB1 	ATP-binding cassette, sub-family B (MDR/TAP), member 1 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ABCB10 	ATP-binding cassette, sub-family B (MDR/TAP), member 10 	GO	TRANSPORTER
ABCB10 	ATP-binding cassette, sub-family B (MDR/TAP), member 10 	GO, HopkinsGroom	ABC TRANSPORTER
ABCB10 	ATP-binding cassette, sub-family B (MDR/TAP), member 10 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ABCB11 	ATP-binding cassette, sub-family B (MDR/TAP), member 11 	GO	TRANSPORTER
ABCB11 	ATP-binding cassette, sub-family B (MDR/TAP), member 11 	GO, HopkinsGroom	ABC TRANSPORTER
ABCB11 	ATP-binding cassette, sub-family B (MDR/TAP), member 11 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ABCB4 	ATP-binding cassette, sub-family B (MDR/TAP), member 4 	GO	DRUG RESISTANCE
ABCB4 	ATP-binding cassette, sub-family B (MDR/TAP), member 4 	GO	TRANSPORTER
ABCB4 	ATP-binding cassette, sub-family B (MDR/TAP), member 4 	GO, HopkinsGroom	ABC TRANSPORTER
ABCB4 	ATP-binding cassette, sub-family B (MDR/TAP), member 4 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ABCB5 	ATP-binding cassette, sub-family B (MDR/TAP), member 5 	GO	TRANSPORTER
ABCB5 	ATP-binding cassette, sub-family B (MDR/TAP), member 5 	GO, HopkinsGroom	ABC TRANSPORTER
ABCB5 	ATP-binding cassette, sub-family B (MDR/TAP), member 5 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ABCB6 	ATP-binding cassette, sub-family B (MDR/TAP), member 6 	GO	TRANSPORTER
ABCB6 	ATP-binding cassette, sub-family B (MDR/TAP), member 6 	GO, HopkinsGroom	ABC TRANSPORTER
ABCB6 	ATP-binding cassette, sub-family B (MDR/TAP), member 6 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ABCB7 	ATP-binding cassette, sub-family B (MDR/TAP), member 7 	GO	TRANSPORTER
ABCB7 	ATP-binding cassette, sub-family B (MDR/TAP), member 7 	GO, HopkinsGroom	ABC TRANSPORTER
ABCB7 	ATP-binding cassette, sub-family B (MDR/TAP), member 7 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ABCB8 	ATP-binding cassette, sub-family B (MDR/TAP), member 8 	GO	TRANSPORTER
ABCB8 	ATP-binding cassette, sub-family B (MDR/TAP), member 8 	GO, HopkinsGroom	ABC TRANSPORTER
ABCB8 	ATP-binding cassette, sub-family B (MDR/TAP), member 8 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ABCB9 	ATP-binding cassette, sub-family B (MDR/TAP), member 9 	GO	TRANSPORTER
ABCB9 	ATP-binding cassette, sub-family B (MDR/TAP), member 9 	GO, HopkinsGroom	ABC TRANSPORTER
ABCB9 	ATP-binding cassette, sub-family B (MDR/TAP), member 9 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ABCC1 	ATP-binding cassette, sub-family C (CFTR/MRP), member 1 	GO	DRUG RESISTANCE
ABCC1 	ATP-binding cassette, sub-family C (CFTR/MRP), member 1 	GO	TRANSPORTER
ABCC1 	ATP-binding cassette, sub-family C (CFTR/MRP), member 1 	GO, HopkinsGroom	ABC TRANSPORTER
ABCC1 	ATP-binding cassette, sub-family C (CFTR/MRP), member 1 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ABCC10 	ATP-binding cassette, sub-family C (CFTR/MRP), member 10 	GO	TRANSPORTER
ABCC10 	ATP-binding cassette, sub-family C (CFTR/MRP), member 10 	GO, HopkinsGroom	ABC TRANSPORTER
ABCC10 	ATP-binding cassette, sub-family C (CFTR/MRP), member 10 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ABCC11 	ATP-binding cassette, sub-family C (CFTR/MRP), member 11 	GO	TRANSPORTER
ABCC11 	ATP-binding cassette, sub-family C (CFTR/MRP), member 11 	GO, HopkinsGroom	ABC TRANSPORTER
ABCC11 	ATP-binding cassette, sub-family C (CFTR/MRP), member 11 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ABCC12 	ATP-binding cassette, sub-family C (CFTR/MRP), member 12 	GO	TRANSPORTER
ABCC12 	ATP-binding cassette, sub-family C (CFTR/MRP), member 12 	GO, HopkinsGroom	ABC TRANSPORTER
ABCC12 	ATP-binding cassette, sub-family C (CFTR/MRP), member 12 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ABCC13 	ATP-binding cassette, sub-family C (CFTR/MRP), member 13, pseudogene 	GO	TRANSPORTER
ABCC13 	ATP-binding cassette, sub-family C (CFTR/MRP), member 13, pseudogene 	GO, HopkinsGroom	ABC TRANSPORTER
ABCC13 	ATP-binding cassette, sub-family C (CFTR/MRP), member 13, pseudogene 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ABCC2 	ATP-binding cassette, sub-family C (CFTR/MRP), member 2 	GO	TRANSPORTER
ABCC2 	ATP-binding cassette, sub-family C (CFTR/MRP), member 2 	GO, HopkinsGroom	ABC TRANSPORTER
ABCC2 	ATP-binding cassette, sub-family C (CFTR/MRP), member 2 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ABCC3 	ATP-binding cassette, sub-family C (CFTR/MRP), member 3 	GO	TRANSPORTER
ABCC3 	ATP-binding cassette, sub-family C (CFTR/MRP), member 3 	GO, HopkinsGroom	ABC TRANSPORTER
ABCC3 	ATP-binding cassette, sub-family C (CFTR/MRP), member 3 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ABCC4 	ATP-binding cassette, sub-family C (CFTR/MRP), member 4 	GO	TRANSPORTER
ABCC4 	ATP-binding cassette, sub-family C (CFTR/MRP), member 4 	GO, HopkinsGroom	ABC TRANSPORTER
ABCC4 	ATP-binding cassette, sub-family C (CFTR/MRP), member 4 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ABCC5 	ATP-binding cassette, sub-family C (CFTR/MRP), member 5 	GO	TRANSPORTER
ABCC5 	ATP-binding cassette, sub-family C (CFTR/MRP), member 5 	GO, HopkinsGroom	ABC TRANSPORTER
ABCC5 	ATP-binding cassette, sub-family C (CFTR/MRP), member 5 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ABCC6 	ATP-binding cassette, sub-family C (CFTR/MRP), member 6 	GO	DRUG RESISTANCE
ABCC6 	ATP-binding cassette, sub-family C (CFTR/MRP), member 6 	GO	TRANSPORTER
ABCC6 	ATP-binding cassette, sub-family C (CFTR/MRP), member 6 	GO, HopkinsGroom	ABC TRANSPORTER
ABCC6 	ATP-binding cassette, sub-family C (CFTR/MRP), member 6 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ABCC8 	ATP-binding cassette, sub-family C (CFTR/MRP), member 8 	GO	TRANSPORTER
ABCC8 	ATP-binding cassette, sub-family C (CFTR/MRP), member 8 	GO, HopkinsGroom	ABC TRANSPORTER
ABCC8 	ATP-binding cassette, sub-family C (CFTR/MRP), member 8 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ABCC9 	ATP-binding cassette, sub-family C (CFTR/MRP), member 9 	GO	TRANSPORTER
ABCC9 	ATP-binding cassette, sub-family C (CFTR/MRP), member 9 	GO, HopkinsGroom	ABC TRANSPORTER
ABCC9 	ATP-binding cassette, sub-family C (CFTR/MRP), member 9 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ABCD1 	ATP-binding cassette, sub-family D (ALD), member 1 	GO	ABC TRANSPORTER
ABCD1 	ATP-binding cassette, sub-family D (ALD), member 1 	GO	TRANSPORTER
ABCD1 	ATP-binding cassette, sub-family D (ALD), member 1 	RussLampel	DRUGGABLE GENOME
ABCD2 	ATP-binding cassette, sub-family D (ALD), member 2 	RussLampel	DRUGGABLE GENOME
ABCD3 	ATP-binding cassette, sub-family D (ALD), member 3 	GO	ABC TRANSPORTER
ABCD3 	ATP-binding cassette, sub-family D (ALD), member 3 	GO	DRUG RESISTANCE
ABCD3 	ATP-binding cassette, sub-family D (ALD), member 3 	GO	TRANSPORTER
ABCD3 	ATP-binding cassette, sub-family D (ALD), member 3 	RussLampel	DRUGGABLE GENOME
ABCD4 	ATP-binding cassette, sub-family D (ALD), member 4 	GO	ABC TRANSPORTER
ABCD4 	ATP-binding cassette, sub-family D (ALD), member 4 	GO	TRANSPORTER
ABCD4 	ATP-binding cassette, sub-family D (ALD), member 4 	RussLampel	DRUGGABLE GENOME
ABCE1 	ATP-binding cassette, sub-family E (OABP), member 1 	RussLampel	DRUGGABLE GENOME
ABCF1 	ATP-binding cassette, sub-family F (GCN20), member 1 	RussLampel	DRUGGABLE GENOME
ABCF2 	ATP-binding cassette, sub-family F (GCN20), member 2 	GO	TRANSPORTER
ABCF2 	ATP-binding cassette, sub-family F (GCN20), member 2 	RussLampel	DRUGGABLE GENOME
ABCF3 	ATP-binding cassette, sub-family F (GCN20), member 3 	RussLampel	DRUGGABLE GENOME
ABCG1 	ATP-binding cassette, sub-family G (WHITE), member 1 	GO	ABC TRANSPORTER
ABCG1 	ATP-binding cassette, sub-family G (WHITE), member 1 	GO	CELL SURFACE
ABCG1 	ATP-binding cassette, sub-family G (WHITE), member 1 	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
ABCG1 	ATP-binding cassette, sub-family G (WHITE), member 1 	GO	TRANSPORTER
ABCG1 	ATP-binding cassette, sub-family G (WHITE), member 1 	RussLampel	DRUGGABLE GENOME
ABCG2 	ATP-binding cassette, sub-family G (WHITE), member 2 	GO	ABC TRANSPORTER
ABCG2 	ATP-binding cassette, sub-family G (WHITE), member 2 	GO	DRUG RESISTANCE
ABCG2 	ATP-binding cassette, sub-family G (WHITE), member 2 	GO	TRANSPORTER
ABCG2 	ATP-binding cassette, sub-family G (WHITE), member 2 	RussLampel	DRUGGABLE GENOME
ABCG4 	ATP-binding cassette, sub-family G (WHITE), member 4 	GO	TRANSPORTER
ABCG4 	ATP-binding cassette, sub-family G (WHITE), member 4 	RussLampel	DRUGGABLE GENOME
ABCG5 	ATP-binding cassette, sub-family G (WHITE), member 5 	GO	DRUG RESISTANCE
ABCG5 	ATP-binding cassette, sub-family G (WHITE), member 5 	GO	TRANSPORTER
ABCG5 	ATP-binding cassette, sub-family G (WHITE), member 5 	RussLampel	DRUGGABLE GENOME
ABCG8 	ATP-binding cassette, sub-family G (WHITE), member 8 	GO	TRANSPORTER
ABCG8 	ATP-binding cassette, sub-family G (WHITE), member 8 	RussLampel	DRUGGABLE GENOME
ABHD10 	abhydrolase domain containing 10 	GO, dGene	PROTEASE
ABHD5 	abhydrolase domain containing 5 	GO	PROTEASE
ABL1 	c-abl oncogene 1, non-receptor tyrosine kinase 	GO	DNA REPAIR
ABL1 	c-abl oncogene 1, non-receptor tyrosine kinase 	GO	TUMOR SUPPRESSOR
ABL1 	c-abl oncogene 1, non-receptor tyrosine kinase 	GO, HopkinsGroom	KINASE
ABL1 	c-abl oncogene 1, non-receptor tyrosine kinase 	GO, dGene	TYROSINE KINASE
ABL1 	c-abl oncogene 1, non-receptor tyrosine kinase 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ABL2 	v-abl Abelson murine leukemia viral oncogene homolog 2 	GO, HopkinsGroom	KINASE
ABL2 	v-abl Abelson murine leukemia viral oncogene homolog 2 	GO, dGene	TYROSINE KINASE
ABL2 	v-abl Abelson murine leukemia viral oncogene homolog 2 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ABP1 	amiloride binding protein 1 (amine oxidase (copper-containing)) 	GO	DRUG RESISTANCE
ABP1 	amiloride binding protein 1 (amine oxidase (copper-containing)) 	GO	ION CHANNEL
ABP1 	amiloride binding protein 1 (amine oxidase (copper-containing)) 	GO	TRANSPORTER
ABT1 	activator of basal transcription 1 	GO	TRANSCRIPTION FACTOR COMPLEX
ACACA 	acetyl-CoA carboxylase alpha 	GO	DRUG RESISTANCE
ACACA 	acetyl-CoA carboxylase alpha 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ACACB 	acetyl-CoA carboxylase beta 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ACADM 	acyl-CoA dehydrogenase, C-4 to C-12 straight chain 	GO	DRUG RESISTANCE
ACAN 	aggrecan 	GO	DRUG RESISTANCE
ACAP1 	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1 	GO	PHOSPHOLIPASE
ACE 	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1 	GO	CELL SURFACE
ACE 	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1 	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
ACE 	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1 	GO	NEUTRAL ZINC METALLOPEPTIDASE
ACE 	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1 	GO, dGene	PROTEASE
ACE 	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1 	RussLampel	DRUGGABLE GENOME
ACE2 	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2 	GO	CELL SURFACE
ACE2 	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2 	GO, dGene	PROTEASE
ACE2 	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2 	RussLampel	DRUGGABLE GENOME
ACER2 	alkaline ceramidase 2 	GO	DRUG RESISTANCE
ACHE 	acetylcholinesterase 	GO	CELL SURFACE
ACHE 	acetylcholinesterase 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ACP1 	acid phosphatase 1, soluble 	GO, dGene	PROTEIN PHOSPHATASE
ACP2 	acid phosphatase 2, lysosomal 	GO	PROTEIN PHOSPHATASE
ACR 	acrosin 	GO, HopkinsGroom, dGene	PROTEASE
ACR 	acrosin 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ACTB 	actin, beta 	GO	TRANSCRIPTION FACTOR BINDING
ACTC1 	actin, alpha, cardiac muscle 1 	GO	DRUG RESISTANCE
ACTL6A 	actin-like 6A 	GO	DNA REPAIR
ACTL6A 	actin-like 6A 	GO	HISTONE MODIFICATION
ACTR5 	ARP5 actin-related protein 5 homolog (yeast) 	GO	DNA REPAIR
ACTR8 	ARP8 actin-related protein 8 homolog (yeast) 	GO	DNA REPAIR
ACVR1 	activin A receptor, type I 	GO	KINASE
ACVR1 	activin A receptor, type I 	GO, dGene	SERINE THREONINE KINASE
ACVR1 	activin A receptor, type I 	RussLampel	DRUGGABLE GENOME
ACVR1B 	activin A receptor, type IB 	GO	CELL SURFACE
ACVR1B 	activin A receptor, type IB 	GO	KINASE
ACVR1B 	activin A receptor, type IB 	GO, dGene	SERINE THREONINE KINASE
ACVR1B 	activin A receptor, type IB 	RussLampel	DRUGGABLE GENOME
ACVR1C 	activin A receptor, type IC 	GO	KINASE
ACVR1C 	activin A receptor, type IC 	GO, dGene	SERINE THREONINE KINASE
ACVR1C 	activin A receptor, type IC 	RussLampel	DRUGGABLE GENOME
ACVR2A 	activin A receptor, type IIA 	GO	CELL SURFACE
ACVR2A 	activin A receptor, type IIA 	GO	KINASE
ACVR2A 	activin A receptor, type IIA 	GO, dGene	SERINE THREONINE KINASE
ACVR2A 	activin A receptor, type IIA 	RussLampel	DRUGGABLE GENOME
ACVR2B 	activin A receptor, type IIB 	GO	CELL SURFACE
ACVR2B 	activin A receptor, type IIB 	GO	KINASE
ACVR2B 	activin A receptor, type IIB 	GO, dGene	SERINE THREONINE KINASE
ACVR2B 	activin A receptor, type IIB 	RussLampel	DRUGGABLE GENOME
ACVRL1 	activin A receptor type II-like 1 	GO	CELL SURFACE
ACVRL1 	activin A receptor type II-like 1 	GO	KINASE
ACVRL1 	activin A receptor type II-like 1 	GO, dGene	SERINE THREONINE KINASE
ACVRL1 	activin A receptor type II-like 1 	RussLampel	DRUGGABLE GENOME
ACY1 	aminoacylase 1 	GO	NEUTRAL ZINC METALLOPEPTIDASE
ACY1 	aminoacylase 1 	GO, dGene	PROTEASE
ACY1 	aminoacylase 1 	RussLampel	DRUGGABLE GENOME
ADA 	adenosine deaminase 	GO	CELL SURFACE
ADA 	adenosine deaminase 	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
ADA 	adenosine deaminase 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ADAL 	adenosine deaminase-like 	GO	DRUG METABOLISM
ADAL 	adenosine deaminase-like 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ADAM10 	ADAM metallopeptidase domain 10 	GO	CELL SURFACE
ADAM10 	ADAM metallopeptidase domain 10 	GO	NEUTRAL ZINC METALLOPEPTIDASE
ADAM10 	ADAM metallopeptidase domain 10 	GO, dGene	PROTEASE
ADAM10 	ADAM metallopeptidase domain 10 	RussLampel	DRUGGABLE GENOME
ADAM11 	ADAM metallopeptidase domain 11 	GO	NEUTRAL ZINC METALLOPEPTIDASE
ADAM11 	ADAM metallopeptidase domain 11 	GO, dGene	PROTEASE
ADAM11 	ADAM metallopeptidase domain 11 	RussLampel	DRUGGABLE GENOME
ADAM12 	ADAM metallopeptidase domain 12 	GO	NEUTRAL ZINC METALLOPEPTIDASE
ADAM12 	ADAM metallopeptidase domain 12 	GO, dGene	PROTEASE
ADAM12 	ADAM metallopeptidase domain 12 	RussLampel	DRUGGABLE GENOME
ADAM15 	ADAM metallopeptidase domain 15 	GO	NEUTRAL ZINC METALLOPEPTIDASE
ADAM15 	ADAM metallopeptidase domain 15 	GO, dGene	PROTEASE
ADAM15 	ADAM metallopeptidase domain 15 	RussLampel	DRUGGABLE GENOME
ADAM17 	ADAM metallopeptidase domain 17 	GO	CELL SURFACE
ADAM17 	ADAM metallopeptidase domain 17 	GO	DRUG RESISTANCE
ADAM17 	ADAM metallopeptidase domain 17 	GO	NEUTRAL ZINC METALLOPEPTIDASE
ADAM17 	ADAM metallopeptidase domain 17 	GO	TUMOR SUPPRESSOR
ADAM17 	ADAM metallopeptidase domain 17 	GO, dGene	PROTEASE
ADAM17 	ADAM metallopeptidase domain 17 	RussLampel	DRUGGABLE GENOME
ADAM18 	ADAM metallopeptidase domain 18 	GO	NEUTRAL ZINC METALLOPEPTIDASE
ADAM18 	ADAM metallopeptidase domain 18 	GO, dGene	PROTEASE
ADAM18 	ADAM metallopeptidase domain 18 	RussLampel	DRUGGABLE GENOME
ADAM19 	ADAM metallopeptidase domain 19 	GO	NEUTRAL ZINC METALLOPEPTIDASE
ADAM19 	ADAM metallopeptidase domain 19 	GO, dGene	PROTEASE
ADAM19 	ADAM metallopeptidase domain 19 	RussLampel	DRUGGABLE GENOME
ADAM1A 	ADAM metallopeptidase domain 1A, pseudogene 	dGene	PROTEASE
ADAM2 	ADAM metallopeptidase domain 2 	GO	NEUTRAL ZINC METALLOPEPTIDASE
ADAM2 	ADAM metallopeptidase domain 2 	GO, dGene	PROTEASE
ADAM2 	ADAM metallopeptidase domain 2 	RussLampel	DRUGGABLE GENOME
ADAM20 	ADAM metallopeptidase domain 20 	GO	NEUTRAL ZINC METALLOPEPTIDASE
ADAM20 	ADAM metallopeptidase domain 20 	GO, dGene	PROTEASE
ADAM20 	ADAM metallopeptidase domain 20 	RussLampel	DRUGGABLE GENOME
ADAM21 	ADAM metallopeptidase domain 21 	GO	NEUTRAL ZINC METALLOPEPTIDASE
ADAM21 	ADAM metallopeptidase domain 21 	GO, dGene	PROTEASE
ADAM21 	ADAM metallopeptidase domain 21 	RussLampel	DRUGGABLE GENOME
ADAM21P1 	ADAM metallopeptidase domain 21 pseudogene 1 	dGene	PROTEASE
ADAM22 	ADAM metallopeptidase domain 22 	GO	NEUTRAL ZINC METALLOPEPTIDASE
ADAM22 	ADAM metallopeptidase domain 22 	GO, dGene	PROTEASE
ADAM22 	ADAM metallopeptidase domain 22 	RussLampel	DRUGGABLE GENOME
ADAM23 	ADAM metallopeptidase domain 23 	GO	NEUTRAL ZINC METALLOPEPTIDASE
ADAM23 	ADAM metallopeptidase domain 23 	GO, dGene	PROTEASE
ADAM23 	ADAM metallopeptidase domain 23 	RussLampel	DRUGGABLE GENOME
ADAM28 	ADAM metallopeptidase domain 28 	GO	NEUTRAL ZINC METALLOPEPTIDASE
ADAM28 	ADAM metallopeptidase domain 28 	GO, dGene	PROTEASE
ADAM28 	ADAM metallopeptidase domain 28 	RussLampel	DRUGGABLE GENOME
ADAM29 	ADAM metallopeptidase domain 29 	GO	NEUTRAL ZINC METALLOPEPTIDASE
ADAM29 	ADAM metallopeptidase domain 29 	GO, dGene	PROTEASE
ADAM29 	ADAM metallopeptidase domain 29 	RussLampel	DRUGGABLE GENOME
ADAM30 	ADAM metallopeptidase domain 30 	GO	NEUTRAL ZINC METALLOPEPTIDASE
ADAM30 	ADAM metallopeptidase domain 30 	GO, dGene	PROTEASE
ADAM30 	ADAM metallopeptidase domain 30 	RussLampel	DRUGGABLE GENOME
ADAM32 	ADAM metallopeptidase domain 32 	GO	NEUTRAL ZINC METALLOPEPTIDASE
ADAM32 	ADAM metallopeptidase domain 32 	GO, dGene	PROTEASE
ADAM33 	ADAM metallopeptidase domain 33 	GO	NEUTRAL ZINC METALLOPEPTIDASE
ADAM33 	ADAM metallopeptidase domain 33 	GO, dGene	PROTEASE
ADAM33 	ADAM metallopeptidase domain 33 	RussLampel	DRUGGABLE GENOME
ADAM3A 	ADAM metallopeptidase domain 3A (pseudogene) 	RussLampel	DRUGGABLE GENOME
ADAM3A 	ADAM metallopeptidase domain 3A (pseudogene) 	dGene	PROTEASE
ADAM3B 	ADAM metallopeptidase domain 3B (pseudogene) 	dGene	PROTEASE
ADAM5 	ADAM metallopeptidase domain 5, pseudogene 	GO	NEUTRAL ZINC METALLOPEPTIDASE
ADAM5 	ADAM metallopeptidase domain 5, pseudogene 	GO	PROTEASE
ADAM5 	ADAM metallopeptidase domain 5, pseudogene 	RussLampel	DRUGGABLE GENOME
ADAM7 	ADAM metallopeptidase domain 7 	GO	NEUTRAL ZINC METALLOPEPTIDASE
ADAM7 	ADAM metallopeptidase domain 7 	GO, dGene	PROTEASE
ADAM7 	ADAM metallopeptidase domain 7 	RussLampel	DRUGGABLE GENOME
ADAM8 	ADAM metallopeptidase domain 8 	GO	CELL SURFACE
ADAM8 	ADAM metallopeptidase domain 8 	GO	NEUTRAL ZINC METALLOPEPTIDASE
ADAM8 	ADAM metallopeptidase domain 8 	GO, dGene	PROTEASE
ADAM8 	ADAM metallopeptidase domain 8 	RussLampel	DRUGGABLE GENOME
ADAM9 	ADAM metallopeptidase domain 9 	GO	CELL SURFACE
ADAM9 	ADAM metallopeptidase domain 9 	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
ADAM9 	ADAM metallopeptidase domain 9 	GO	NEUTRAL ZINC METALLOPEPTIDASE
ADAM9 	ADAM metallopeptidase domain 9 	GO, dGene	PROTEASE
ADAM9 	ADAM metallopeptidase domain 9 	RussLampel	DRUGGABLE GENOME
ADAMDEC1 	ADAM-like, decysin 1 	GO	NEUTRAL ZINC METALLOPEPTIDASE
ADAMDEC1 	ADAM-like, decysin 1 	GO, dGene	PROTEASE
ADAMDEC1 	ADAM-like, decysin 1 	RussLampel	DRUGGABLE GENOME
ADAMTS1 	ADAM metallopeptidase with thrombospondin type 1 motif, 1 	GO	NEUTRAL ZINC METALLOPEPTIDASE
ADAMTS1 	ADAM metallopeptidase with thrombospondin type 1 motif, 1 	GO, dGene	PROTEASE
ADAMTS1 	ADAM metallopeptidase with thrombospondin type 1 motif, 1 	RussLampel	DRUGGABLE GENOME
ADAMTS10 	ADAM metallopeptidase with thrombospondin type 1 motif, 10 	GO	NEUTRAL ZINC METALLOPEPTIDASE
ADAMTS10 	ADAM metallopeptidase with thrombospondin type 1 motif, 10 	GO, dGene	PROTEASE
ADAMTS10 	ADAM metallopeptidase with thrombospondin type 1 motif, 10 	RussLampel	DRUGGABLE GENOME
